[2026-05-12 10:27:39] PAMAP2 class 1 (sitting) start T=0.8
[2026-05-12 10:27:39]   1989 windows
[2026-05-12 10:28:02] #0001/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 13:30:32] #0450/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 13:30:47] #0451/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 13:31:00] #0452/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 13:31:41] #0453/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 13:32:15] #0454/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=1.114 conf=0.450 gap=0.100
[2026-05-12 13:32:52] #0455/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 13:33:23] #0456/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 13:33:35] #0457/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.226 conf=0.450 gap=0.150
[2026-05-12 13:34:01] #0458/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 13:34:28] #0459/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:34:40] #0460/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.007 conf=0.470 gap=0.090
[2026-05-12 13:34:40]   [460/1989] acc=331/460=72% filt=432
[2026-05-12 13:34:52] #0461/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 13:35:13] #0462/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 13:35:26] #0463/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 13:35:33] #0464/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.951 conf=0.650 gap=0.400
[2026-05-12 13:35:46] #0465/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=1.067 conf=0.600 gap=0.350
[2026-05-12 13:35:56] #0466/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.236 conf=0.450 gap=0.200
[2026-05-12 13:36:17] #0467/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 13:36:46] #0468/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.120 conf=0.550 gap=0.250
[2026-05-12 13:37:06] #0469/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 13:37:30] #0470/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 13:37:47] #0471/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 13:38:02] #0472/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:38:13] #0473/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 13:38:33] #0474/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:38:53] #0475/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 13:39:07] #0476/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 13:39:32] #0477/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.764 conf=0.750 gap=0.570
[2026-05-12 13:39:59] #0478/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.608 conf=0.820 gap=0.680
[2026-05-12 13:40:30] #0479/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:41:10] #0480/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.426 conf=0.900 gap=0.850
[2026-05-12 13:41:10]   [480/1989] acc=343/480=71% filt=451
[2026-05-12 13:41:24] #0481/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 13:41:40] #0482/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 13:42:09] #0483/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 13:42:31] #0484/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.781 conf=0.780 gap=0.660
[2026-05-12 13:42:52] #0485/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:43:05] #0486/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.907 conf=0.720 gap=0.570
[2026-05-12 13:43:29] #0487/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 13:43:54] #0488/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 13:44:08] #0489/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 13:44:23] #0490/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 13:44:46] #0491/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 13:45:04] #0492/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 13:45:35] #0493/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.379 conf=0.920 gap=0.890
[2026-05-12 13:45:47] #0494/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.016 conf=0.650 gap=0.450
[2026-05-12 13:45:59] #0495/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.743 conf=0.800 gap=0.700
[2026-05-12 13:46:19] #0496/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 13:46:33] #0497/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:46:58] #0498/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:47:04] #0499/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 13:47:18] #0500/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 13:47:18]   [500/1989] acc=357/500=71% filt=471
[2026-05-12 13:47:40] #0501/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 13:47:53] #0502/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.660 conf=0.800 gap=0.650
[2026-05-12 13:48:14] #0503/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 13:48:34] #0504/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 13:48:47] #0505/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 13:49:01] #0506/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.734 conf=0.800 gap=0.700
[2026-05-12 13:49:17] #0507/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 13:49:40] #0508/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:50:04] #0509/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.703 conf=0.800 gap=0.700
[2026-05-12 13:51:06] #0510/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.595 conf=0.820 gap=0.720
[2026-05-12 13:51:19] #0511/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.010 conf=0.450 gap=0.050
[2026-05-12 13:52:00] #0512/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 13:52:26] #0513/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 13:52:48] #0514/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 13:53:33] #0515/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 13:54:01] #0516/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.001 conf=0.600 gap=0.300
[2026-05-12 13:54:12] #0517/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.022 conf=0.550 gap=0.200
[2026-05-12 13:54:41] #0518/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 13:55:04] #0519/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:55:25] #0520/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 13:55:25]   [520/1989] acc=371/520=71% filt=490
[2026-05-12 13:55:53] #0521/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:56:17] #0522/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 13:56:50] #0523/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 13:57:10] #0524/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 13:57:37] #0525/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 13:58:23] #0526/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 13:58:38] #0527/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 13:58:57] #0528/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:59:09] #0529/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 13:59:34] #0530/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 13:59:44] #0531/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.143 conf=0.550 gap=0.300
[2026-05-12 14:00:22] #0532/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 14:00:41] #0533/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.783 conf=0.780 gap=0.680
[2026-05-12 14:01:22] #0534/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 14:01:44] #0535/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.844 conf=0.650 gap=0.350
[2026-05-12 14:02:13] #0536/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 14:02:28] #0537/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 14:02:50] #0538/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 14:03:04] #0539/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 14:03:30] #0540/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.860 conf=0.750 gap=0.650
[2026-05-12 14:03:30]   [540/1989] acc=387/540=72% filt=510
[2026-05-12 14:03:47] #0541/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 14:04:12] #0542/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 14:04:43] #0543/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 14:04:58] #0544/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.907 conf=0.720 gap=0.570
[2026-05-12 14:05:36] #0545/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 14:05:56] #0546/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:06:23] #0547/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 14:06:36] #0548/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.896 conf=0.700 gap=0.500
[2026-05-12 14:06:42] #0549/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 14:06:56] #0550/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.371 conf=0.450 gap=0.200
[2026-05-12 14:07:23] #0551/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 14:07:38] #0552/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 14:07:48] #0553/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.844 conf=0.720 gap=0.520
[2026-05-12 14:08:02] #0554/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 14:08:28] #0555/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.966 conf=0.720 gap=0.620
[2026-05-12 14:08:51] #0556/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 14:09:15] #0557/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 14:09:36] #0558/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.419 conf=0.900 gap=0.830
[2026-05-12 14:09:55] #0559/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 14:10:17] #0560/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 14:10:17]   [560/1989] acc=400/560=71% filt=529
[2026-05-12 14:10:31] #0561/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 14:11:12] #0562/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:11:34] #0563/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 14:12:14] #0564/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 14:12:41] #0565/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 14:13:23] #0566/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:13:52] #0567/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.140 conf=0.450 gap=0.050
[2026-05-12 14:14:27] #0568/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.119 conf=0.500 gap=0.150
[2026-05-12 14:14:49] #0569/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:15:10] #0570/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 14:15:34] #0571/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 14:16:01] #0572/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 14:16:26] #0573/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.675 conf=0.820 gap=0.740
[2026-05-12 14:16:50] #0574/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:17:12] #0575/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 14:17:38] #0576/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.277 conf=0.500 gap=0.250
[2026-05-12 14:17:49] #0577/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.913 conf=0.700 gap=0.550
[2026-05-12 14:18:03] #0578/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.278 conf=0.550 gap=0.400
[2026-05-12 14:18:17] #0579/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 14:18:59] #0580/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 14:18:59]   [580/1989] acc=414/580=71% filt=545
[2026-05-12 14:19:23] #0581/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.608 conf=0.820 gap=0.680
[2026-05-12 14:19:52] #0582/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.839 conf=0.720 gap=0.540
[2026-05-12 14:20:04] #0583/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 14:20:28] #0584/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.673 conf=0.820 gap=0.720
[2026-05-12 14:20:58] #0585/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 14:21:09] #0586/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.105 conf=0.450 gap=0.050
[2026-05-12 14:21:33] #0587/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 14:21:54] #0588/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:22:15] #0589/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 14:22:38] #0590/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 14:22:52] #0591/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.949 conf=0.700 gap=0.550
[2026-05-12 14:23:15] #0592/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:23:27] #0593/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 14:23:52] #0594/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.348 conf=0.930 gap=0.910
[2026-05-12 14:24:15] #0595/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:24:42] #0596/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 14:25:08] #0597/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 14:25:22] #0598/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 14:25:41] #0599/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 14:25:52] #0600/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 14:25:52]   [600/1989] acc=427/600=71% filt=564
[2026-05-12 14:26:21] #0601/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 14:26:35] #0602/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 14:26:47] #0603/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.158 conf=0.600 gap=0.400
[2026-05-12 14:27:09] #0604/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 14:27:26] #0605/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 14:27:51] #0606/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.598 conf=0.850 gap=0.780
[2026-05-12 14:28:12] #0607/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=1.007 conf=0.650 gap=0.450
[2026-05-12 14:28:34] #0608/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:28:51] #0609/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 14:29:13] #0610/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.799 conf=0.720 gap=0.500
[2026-05-12 14:29:30] #0611/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 14:29:56] #0612/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 14:30:23] #0613/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 14:30:52] #0614/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.907 conf=0.720 gap=0.570
[2026-05-12 14:31:09] #0615/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:30] #0616/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 14:31:55] #0617/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 14:32:08] #0618/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.397 conf=0.450 gap=0.200
[2026-05-12 14:32:32] #0619/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 14:33:09] #0620/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:33:09]   [620/1989] acc=442/620=71% filt=583
[2026-05-12 14:33:23] #0621/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 14:33:47] #0622/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 14:34:15] #0623/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.017 conf=0.650 gap=0.450
[2026-05-12 14:34:28] #0624/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 14:34:47] #0625/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:35:01] #0626/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.261 conf=0.550 gap=0.350
[2026-05-12 14:35:18] #0627/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 14:35:40] #0628/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 14:35:59] #0629/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.790 conf=0.640 gap=0.310
[2026-05-12 14:36:23] #0630/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 14:37:04] #0631/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 14:37:29] #0632/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 14:37:55] #0633/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 14:38:20] #0634/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 14:38:46] #0635/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.501 conf=0.880 gap=0.810
[2026-05-12 14:39:14] #0636/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 14:39:27] #0637/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 14:39:49] #0638/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 14:40:20] #0639/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 14:40:45] #0640/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 14:40:45]   [640/1989] acc=455/640=71% filt=603
[2026-05-12 14:41:02] #0641/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 14:41:14] #0642/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 14:41:42] #0643/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 14:41:53] #0644/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 14:42:36] #0645/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 14:43:01] #0646/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 14:43:28] #0647/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:43:55] #0648/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.860 conf=0.750 gap=0.650
[2026-05-12 14:44:13] #0649/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 14:44:42] #0650/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 14:45:04] #0651/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
