=== PAMAP2 correct ===


--- Class 0 ---
[2026-05-12 10:27:50] #0001/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 16:38:45] #1056/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 16:38:57] #1057/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.016 conf=0.650 gap=0.450
[2026-05-12 16:39:09] #1058/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:39:36] #1059/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 16:39:49] #1060/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 16:40:18] #1062/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 16:40:40] #1063/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 16:40:55] #1064/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 16:41:16] #1065/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 16:42:00] #1067/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 16:42:14] #1068/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.358 conf=0.900 gap=0.810
[2026-05-12 16:42:24] #1069/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 16:42:52] #1070/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.794 conf=0.750 gap=0.600
[2026-05-12 16:43:07] #1071/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 16:44:00] #1074/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 16:44:17] #1075/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.777 conf=0.750 gap=0.570
[2026-05-12 16:44:34] #1076/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.334 conf=0.920 gap=0.880
[2026-05-12 16:45:22] #1078/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.552 conf=0.820 gap=0.670
[2026-05-12 16:46:13] #1080/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.550 conf=0.850 gap=0.750
[2026-05-12 16:46:25] #1081/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.396 conf=0.900 gap=0.820
[2026-05-12 16:46:38] #1082/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.719 conf=0.750 gap=0.550
[2026-05-12 16:47:02] #1083/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 16:47:15] #1084/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.896 conf=0.700 gap=0.500
[2026-05-12 16:47:33] #1085/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.900 conf=0.550 gap=0.150
[2026-05-12 16:47:43] #1086/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 16:48:07] #1087/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 16:48:30] #1088/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 16:48:56] #1089/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.550 conf=0.850 gap=0.750
[2026-05-12 16:49:09] #1090/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.654 conf=0.780 gap=0.600
[2026-05-12 16:49:29] #1091/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.654 conf=0.780 gap=0.600
[2026-05-12 16:49:45] #1092/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 16:50:01] #1093/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 16:50:26] #1094/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 16:50:52] #1095/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 16:51:13] #1096/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:51:35] #1097/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 16:51:45] #1098/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 16:52:23] #1100/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 16:52:46] #1101/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 16:53:12] #1102/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 16:53:42] #1104/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.821 conf=0.650 gap=0.350
[2026-05-12 16:53:53] #1105/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.093 conf=0.500 gap=0.150
[2026-05-12 16:54:03] #1106/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 16:54:29] #1107/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.661 conf=0.780 gap=0.600
[2026-05-12 16:54:56] #1108/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.552 conf=0.820 gap=0.670
[2026-05-12 16:55:21] #1109/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.594 conf=0.780 gap=0.580
[2026-05-12 16:55:36] #1110/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 16:55:49] #1111/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.777 conf=0.750 gap=0.570
[2026-05-12 16:56:00] #1112/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.893 conf=0.550 gap=0.150
[2026-05-12 16:56:25] #1113/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 16:56:37] #1114/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 16:56:46] #1115/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 16:57:13] #1116/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.155 conf=0.500 gap=0.150
[2026-05-12 16:57:25] #1117/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 16:57:48] #1118/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.459 conf=0.850 gap=0.710
[2026-05-12 16:58:17] #1119/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.631 conf=0.780 gap=0.600
[2026-05-12 16:58:47] #1120/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 16:59:12] #1121/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 16:59:41] #1122/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.596 conf=0.820 gap=0.680
[2026-05-12 17:00:08] #1123/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 17:00:34] #1124/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.579 conf=0.850 gap=0.770
[2026-05-12 17:00:47] #1125/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 17:01:18] #1127/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.257 conf=0.450 gap=0.100
[2026-05-12 17:01:37] #1128/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 17:02:08] #1130/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:02:19] #1131/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:02:40] #1132/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:03:04] #1133/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.878 conf=0.720 gap=0.540
[2026-05-12 17:03:19] #1134/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 17:03:45] #1135/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.777 conf=0.750 gap=0.570
[2026-05-12 17:03:58] #1136/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.866 conf=0.700 gap=0.500
[2026-05-12 17:04:34] #1138/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 17:04:48] #1139/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.024 conf=0.500 gap=0.100
[2026-05-12 17:04:58] #1140/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.128 conf=0.500 gap=0.150
[2026-05-12 17:05:12] #1141/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 17:05:38] #1142/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 17:06:02] #1143/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 17:06:14] #1144/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:06:24] #1145/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 17:06:43] #1146/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 17:06:57] #1147/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 17:07:28] #1149/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.719 conf=0.750 gap=0.550
[2026-05-12 17:07:54] #1150/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 17:08:05] #1151/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 17:08:35] #1153/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.069 conf=0.550 gap=0.250
[2026-05-12 17:08:47] #1154/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.140 conf=0.450 gap=0.050
[2026-05-12 17:09:04] #1155/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.819 conf=0.720 gap=0.520
[2026-05-12 17:09:35] #1156/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:10:06] #1158/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 17:10:18] #1159/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 17:10:30] #1160/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:11:16] #1163/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:11:46] #1165/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.906 conf=0.700 gap=0.500
[2026-05-12 17:11:56] #1166/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.852 conf=0.700 gap=0.500
[2026-05-12 17:12:20] #1167/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.550 conf=0.850 gap=0.750
[2026-05-12 17:12:42] #1168/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.064 conf=0.620 gap=0.440
[2026-05-12 17:12:56] #1169/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 17:13:19] #1170/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:13:27] #1171/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 17:13:42] #1172/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 17:13:57] #1173/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 17:14:12] #1174/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.839 conf=0.650 gap=0.350
[2026-05-12 17:14:29] #1175/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.712 conf=0.750 gap=0.550
[2026-05-12 17:14:41] #1176/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 17:15:31] #1178/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.772 conf=0.720 gap=0.490
[2026-05-12 17:15:43] #1179/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 17:15:57] #1180/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.929 conf=0.680 gap=0.460
[2026-05-12 17:16:19] #1181/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:16:30] #1182/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:16:59] #1184/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.776 conf=0.700 gap=0.450
[2026-05-12 17:17:12] #1185/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.654 conf=0.780 gap=0.600
[2026-05-12 17:17:23] #1186/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:17:50] #1187/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 17:18:06] #1188/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.162 conf=0.450 gap=0.050
[2026-05-12 17:18:14] #1189/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.839 conf=0.650 gap=0.350
[2026-05-12 17:18:37] #1190/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 17:18:49] #1191/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.625 conf=0.820 gap=0.690
[2026-05-12 17:19:26] #1192/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.567 conf=0.820 gap=0.680
[2026-05-12 17:19:50] #1193/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.660 conf=0.800 gap=0.650
[2026-05-12 17:20:31] #1195/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:20:41] #1196/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.866 conf=0.700 gap=0.500
[2026-05-12 17:21:07] #1197/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:21:35] #1198/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:21:49] #1199/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:22:00] #1200/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.459 conf=0.850 gap=0.710
[2026-05-12 17:22:23] #1201/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.720 conf=0.780 gap=0.630
[2026-05-12 17:22:46] #1202/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 17:23:10] #1203/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.772 conf=0.720 gap=0.500
[2026-05-12 17:23:33] #1204/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.819 conf=0.720 gap=0.520
[2026-05-12 17:23:45] #1205/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.766 conf=0.750 gap=0.570
[2026-05-12 17:24:12] #1206/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 17:24:47] #1208/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 17:25:02] #1209/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.860 conf=0.620 gap=0.290
[2026-05-12 17:25:25] #1210/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 17:25:37] #1211/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 17:26:00] #1212/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 17:26:24] #1213/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.932 conf=0.620 gap=0.320
[2026-05-12 17:26:38] #1214/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 17:26:49] #1215/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:27:03] #1216/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:27:26] #1217/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:27:50] #1219/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 17:27:55] #1220/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 17:28:06] #1221/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.021 conf=0.550 gap=0.200
[2026-05-12 17:28:16] #1222/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-12 17:28:27] #1223/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.007 conf=0.500 gap=0.100
[2026-05-12 17:28:47] #1224/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 17:29:30] #1226/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 17:29:45] #1227/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 17:29:57] #1228/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 17:30:35] #1230/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.141 conf=0.450 gap=0.050
[2026-05-12 17:31:07] #1231/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 17:31:23] #1232/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.677 conf=0.780 gap=0.610
[2026-05-12 17:32:02] #1234/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 17:32:23] #1235/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:33:02] #1237/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.120 conf=0.550 gap=0.250
[2026-05-12 17:33:17] #1238/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:33:43] #1239/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.625 conf=0.820 gap=0.690
[2026-05-12 17:34:00] #1240/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 17:34:17] #1241/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 17:34:41] #1242/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 17:34:56] #1243/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 17:35:06] #1244/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 17:35:31] #1245/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:35:41] #1246/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 17:35:52] #1247/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.839 conf=0.650 gap=0.350
[2026-05-12 17:36:16] #1248/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 17:36:28] #1249/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 17:36:37] #1250/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 17:36:58] #1251/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.635 conf=0.820 gap=0.700
[2026-05-12 17:37:28] #1252/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.140 conf=0.450 gap=0.050
[2026-05-12 17:38:01] #1254/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:38:25] #1255/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 17:38:52] #1256/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.543 conf=0.850 gap=0.750
[2026-05-12 17:39:16] #1257/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 17:39:41] #1258/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:40:10] #1259/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.309 conf=0.920 gap=0.850
[2026-05-12 17:40:25] #1260/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:40:41] #1261/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 17:40:52] #1262/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.128 conf=0.500 gap=0.150
[2026-05-12 17:41:36] #1264/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:41:44] #1265/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.552 conf=0.820 gap=0.670
[2026-05-12 17:41:54] #1266/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.794 conf=0.750 gap=0.600
[2026-05-12 17:42:07] #1267/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.052 conf=0.450 gap=0.000
[2026-05-12 17:42:30] #1268/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 17:42:53] #1269/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 17:43:03] #1270/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 17:43:15] #1271/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:43:44] #1272/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.692 conf=0.780 gap=0.610
[2026-05-12 17:44:20] #1274/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 17:44:32] #1275/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.624 conf=0.820 gap=0.700
[2026-05-12 17:44:55] #1276/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.756 conf=0.720 gap=0.490
[2026-05-12 17:45:07] #1277/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.140 conf=0.450 gap=0.050
[2026-05-12 17:45:17] #1278/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.988 conf=0.550 gap=0.200
[2026-05-12 17:45:27] #1279/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.589 conf=0.820 gap=0.680
[2026-05-12 17:46:13] #1281/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.543 conf=0.850 gap=0.750
[2026-05-12 17:46:32] #1282/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-12 17:46:46] #1283/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.766 conf=0.750 gap=0.570
[2026-05-12 17:47:00] #1284/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.062 conf=0.520 gap=0.170
[2026-05-12 17:47:16] #1285/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-12 17:47:28] #1286/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.688 conf=0.720 gap=0.470
[2026-05-12 17:47:43] #1287/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 17:48:17] #1289/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.961 conf=0.650 gap=0.400
[2026-05-12 17:48:32] #1290/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.865 conf=0.720 gap=0.540
[2026-05-12 17:48:40] #1291/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.631 conf=0.780 gap=0.600
[2026-05-12 17:48:59] #1292/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 17:49:21] #1293/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:49:34] #1294/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 17:49:50] #1295/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 17:50:11] #1296/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.596 conf=0.820 gap=0.680
[2026-05-12 17:50:23] #1297/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.812 conf=0.620 gap=0.290
[2026-05-12 17:50:35] #1298/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:50:56] #1299/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.876 conf=0.650 gap=0.370
[2026-05-12 17:51:08] #1300/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
