[2026-05-11 11:03:49] #0001/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:30:49] #0200/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:32:06] #0202/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.627 | conf=0.850 | gap=0.800
[2026-05-11 12:32:21] #0203/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:32:51] #0204/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 12:33:01] #0205/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:34:05] #0208/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:34:20] #0209/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:34:29] #0210/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:34:52] #0211/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:35:18] #0212/05607 | true=Lay-stand(6) | pred=Stand-sit(4) | ✗ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 12:35:51] #0213/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.497 | conf=0.867 | gap=0.765
[2026-05-11 12:36:22] #0214/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.571 | conf=0.850 | gap=0.750
[2026-05-11 12:36:56] #0215/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:37:28] #0216/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:37:39] #0217/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:38:04] #0218/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:38:29] #0219/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:42] #0221/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.124 | conf=0.694 | gap=0.541
[2026-05-11 12:39:56] #0222/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:40:20] #0223/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:41:15] #0225/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 12:41:45] #0226/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:42:15] #0227/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:42:43] #0228/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.689 | conf=0.789 | gap=0.632
[2026-05-11 12:42:56] #0229/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:43:22] #0230/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.282 | conf=0.647 | gap=0.588
[2026-05-11 12:43:32] #0231/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 12:43:44] #0232/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:44:11] #0233/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:44:37] #0234/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 12:45:02] #0235/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:45:17] #0236/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:45:44] #0237/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:46:02] #0238/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:46:31] #0239/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:47:01] #0240/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 12:47:55] #0242/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:48:24] #0243/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:48:36] #0244/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:48:57] #0245/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:49:31] #0246/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 12:49:42] #0247/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:50:01] #0248/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.056 | conf=0.750 | gap=0.700
[2026-05-11 12:50:27] #0249/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.175 | conf=0.714 | gap=0.663
[2026-05-11 12:50:41] #0250/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 12:50:54] #0251/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 12:51:23] #0252/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:51:59] #0253/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:52:27] #0254/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:52:41] #0255/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:52:52] #0256/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 12:53:45] #0258/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:53:55] #0259/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:54:24] #0260/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 12:54:38] #0261/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 12:54:51] #0262/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.674 | conf=0.830 | gap=0.760
[2026-05-11 12:55:21] #0263/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 12:55:35] #0264/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:55:59] #0265/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 12:56:12] #0266/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.836 | conf=0.780 | gap=0.680
[2026-05-11 12:56:39] #0267/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:57:33] #0269/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:57:56] #0270/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:58:29] #0271/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 12:58:59] #0272/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:00:02] #0274/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.948 | conf=0.720 | gap=0.600
[2026-05-11 13:00:19] #0275/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 13:00:47] #0277/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 13:01:13] #0278/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 13:01:46] #0279/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 13:01:59] #0280/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 13:02:12] #0281/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:02:26] #0282/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:02:53] #0283/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:03:10] #0284/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.343 | conf=0.926 | gap=0.895
[2026-05-11 13:04:03] #0286/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:04:17] #0287/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.070 | conf=0.550 | gap=0.250
[2026-05-11 13:04:31] #0288/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 13:04:57] #0289/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.515 | conf=0.789 | gap=0.579
[2026-05-11 13:05:23] #0290/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 13:05:40] #0291/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:05:52] #0292/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 13:06:19] #0293/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:06:32] #0294/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 13:07:02] #0295/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.596 | conf=0.880 | gap=0.860
[2026-05-11 13:07:26] #0296/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:07:38] #0297/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:08:04] #0298/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 13:08:55] #0300/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:09:06] #0301/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:09:18] #0302/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:09:30] #0303/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 13:09:42] #0304/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:10:11] #0305/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:10:40] #0306/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=1.104 | conf=0.550 | gap=0.250
[2026-05-11 13:10:51] #0307/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:11:07] #0308/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.456 | conf=0.891 | gap=0.837
[2026-05-11 13:11:29] #0309/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.785 | conf=0.837 | gap=0.816
[2026-05-11 13:11:57] #0310/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.927 | conf=0.737 | gap=0.632
[2026-05-11 13:12:07] #0311/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:12:18] #0312/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:12:29] #0313/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 13:12:40] #0314/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:13:10] #0315/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 13:13:35] #0316/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:14:00] #0317/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:14:26] #0318/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:14:55] #0319/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:15:08] #0320/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:15:21] #0321/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:15:33] #0322/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:15:44] #0323/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 13:16:09] #0324/05607 | true=Lay-stand(6) | pred=Sit(1) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:16:41] #0325/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:17:20] #0327/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:17:54] #0328/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 13:18:18] #0329/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.307 | conf=0.700 | gap=0.650
[2026-05-11 13:18:29] #0330/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 13:18:45] #0331/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 13:19:14] #0332/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.071 | conf=0.720 | gap=0.640
[2026-05-11 13:20:14] #0334/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:20:43] #0335/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 13:20:56] #0336/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 13:21:06] #0337/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 13:21:18] #0338/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:21:28] #0339/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:22:08] #0340/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.514 | conf=0.900 | gap=0.880
[2026-05-11 13:22:37] #0341/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:23:04] #0342/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 13:23:30] #0343/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.713 | conf=0.850 | gap=0.820
[2026-05-11 13:23:56] #0344/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 13:24:23] #0345/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 13:24:52] #0346/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-11 13:25:23] #0347/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:25:33] #0348/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:25:58] #0349/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 13:26:09] #0350/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:26:53] #0352/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.991 | conf=0.780 | gap=0.730
[2026-05-11 13:27:39] #0353/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=1.110 | conf=0.550 | gap=0.300
[2026-05-11 13:28:08] #0354/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:28:22] #0355/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.651 | conf=0.850 | gap=0.800
[2026-05-11 13:28:35] #0356/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 13:29:15] #0358/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:29:47] #0359/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:30:17] #0360/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:30:45] #0361/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 13:31:29] #0362/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 13:31:54] #0363/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:32:08] #0364/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:32:19] #0365/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 13:32:33] #0366/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 13:32:44] #0367/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:33:09] #0368/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:33:22] #0369/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:33:44] #0370/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:35:06] #0372/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:35:36] #0373/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:36:31] #0375/05607 | true=Lay-stand(6) | pred=Stand-sit(4) | ✗ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 13:37:00] #0376/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:38:06] #0378/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 13:38:29] #0379/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.924 | conf=0.700 | gap=0.500
[2026-05-11 13:38:58] #0380/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 13:39:10] #0381/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:39:42] #0382/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:40:05] #0383/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:40:26] #0384/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:41:14] #0385/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:41:30] #0386/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 13:41:40] #0387/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 13:42:11] #0388/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 13:42:46] #0389/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 13:43:10] #0390/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.307 | conf=0.700 | gap=0.650
[2026-05-11 13:43:39] #0391/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.090 | conf=0.750 | gap=0.700
[2026-05-11 13:44:15] #0392/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:44:48] #0393/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.263 | conf=0.700 | gap=0.650
[2026-05-11 13:45:33] #0394/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 13:46:01] #0395/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:46:30] #0396/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:47:10] #0397/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:47:23] #0398/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:47:34] #0399/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 13:48:03] #0400/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:48:43] #0401/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:48:54] #0402/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 13:49:06] #0403/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:49:39] #0404/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
