[2026-05-11 23:15:44] #0003/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:00:10] #0262/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 01:00:38] #0263/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:00:54] #0264/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 01:01:20] #0265/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:01:54] #0267/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.890 conf=0.750 gap=0.650
[2026-05-12 01:02:17] #0268/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 01:02:34] #0269/01395 | true=downstairs | pred=walking | ✗ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 01:03:09] #0271/01395 | true=downstairs | pred=walking | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:03:26] #0272/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.918 conf=0.740 gap=0.640
[2026-05-12 01:03:34] #0273/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.681 conf=0.820 gap=0.720
[2026-05-12 01:03:56] #0274/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:05:35] #0275/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.119 conf=0.580 gap=0.330
[2026-05-12 01:05:42] #0276/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.007 conf=0.650 gap=0.410
[2026-05-12 01:06:03] #0277/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:06:45] #0278/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.801 conf=0.780 gap=0.660
[2026-05-12 01:06:52] #0279/01395 | true=downstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 01:07:17] #0280/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:07:39] #0281/01395 | true=downstairs | pred=jogging | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 01:08:01] #0282/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 01:08:49] #0284/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 01:09:23] #0285/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 01:10:07] #0286/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 01:10:30] #0288/01395 | true=downstairs | pred=jogging | ✗ | ent=0.819 conf=0.780 gap=0.700
[2026-05-12 01:10:47] #0289/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.760 conf=0.720 gap=0.520
[2026-05-12 01:10:58] #0290/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:11:30] #0291/01395 | true=downstairs | pred=walking | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:12:00] #0292/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.129 conf=0.520 gap=0.200
[2026-05-12 01:12:39] #0293/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 01:14:03] #0294/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.007 conf=0.650 gap=0.410
[2026-05-12 01:14:29] #0295/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.362 conf=0.930 gap=0.910
[2026-05-12 01:15:12] #0296/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 01:15:33] #0297/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.070 conf=0.650 gap=0.480
[2026-05-12 01:16:17] #0299/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:16:52] #0300/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:18:01] #0301/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 01:20:44] #0302/01395 | true=downstairs | pred=walking | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:21:28] #0303/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:22:56] #0305/01395 | true=downstairs | pred=walking | ✗ | ent=0.951 conf=0.680 gap=0.530
[2026-05-12 01:24:09] #0306/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:24:45] #0307/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.073 conf=0.620 gap=0.370
[2026-05-12 01:25:19] #0308/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:25:40] #0309/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.998 conf=0.700 gap=0.550
[2026-05-12 01:26:02] #0310/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.166 conf=0.550 gap=0.350
[2026-05-12 01:26:09] #0311/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:26:21] #0312/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:26:53] #0313/01395 | true=downstairs | pred=walking | ✗ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 01:27:11] #0314/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 01:27:35] #0315/01395 | true=downstairs | pred=walking | ✗ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 01:27:51] #0316/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.706 conf=0.780 gap=0.630
[2026-05-12 01:28:14] #0317/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:28:28] #0318/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:29:00] #0320/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 01:29:22] #0321/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.018 conf=0.720 gap=0.640
[2026-05-12 01:30:30] #0322/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:30:49] #0323/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:31:04] #0324/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.162 conf=0.550 gap=0.300
[2026-05-12 01:31:20] #0325/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.019 conf=0.620 gap=0.360
[2026-05-12 01:31:23] #0326/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 01:32:05] #0327/01395 | true=downstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 01:32:33] #0328/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 01:32:48] #0329/01395 | true=downstairs | pred=walking | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 01:33:05] #0330/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.779 conf=0.780 gap=0.650
[2026-05-12 01:33:32] #0331/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:33:43] #0332/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:33:59] #0333/01395 | true=downstairs | pred=walking | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 01:34:21] #0334/01395 | true=downstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:34:45] #0335/01395 | true=downstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:34:59] #0336/01395 | true=downstairs | pred=walking | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 01:35:10] #0337/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:35:26] #0338/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:35:41] #0339/01395 | true=downstairs | pred=jogging | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:36:45] #0340/01395 | true=downstairs | pred=walking | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 01:37:13] #0341/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:37:28] #0342/01395 | true=downstairs | pred=jogging | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:37:51] #0343/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 01:37:58] #0344/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:38:55] #0346/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.019 conf=0.620 gap=0.360
[2026-05-12 01:39:38] #0347/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.857 conf=0.720 gap=0.570
[2026-05-12 01:39:56] #0348/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:40:03] #0349/01395 | true=downstairs | pred=walking | ✗ | ent=0.965 conf=0.650 gap=0.430
[2026-05-12 01:40:54] #0351/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:41:00] #0352/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.268 conf=0.550 gap=0.350
[2026-05-12 01:41:11] #0353/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.035 conf=0.650 gap=0.450
[2026-05-12 01:41:32] #0354/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 01:41:52] #0355/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 01:43:23] #0357/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 01:43:54] #0358/01395 | true=downstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:45:01] #0360/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 01:45:16] #0361/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 01:45:40] #0362/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.721 conf=0.750 gap=0.550
[2026-05-12 01:46:49] #0365/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 01:47:20] #0366/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.681 conf=0.840 gap=0.790
[2026-05-12 01:47:48] #0367/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-12 01:48:12] #0368/01395 | true=downstairs | pred=walking | ✗ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 01:48:35] #0369/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.163 conf=0.580 gap=0.370
[2026-05-12 01:48:59] #0370/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:49:47] #0371/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:50:02] #0372/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.681 conf=0.820 gap=0.720
[2026-05-12 01:50:25] #0373/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.645 conf=0.820 gap=0.740
[2026-05-12 01:51:38] #0374/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 01:51:44] #0375/01395 | true=downstairs | pred=walking | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 01:52:14] #0376/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:52:35] #0377/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:53:18] #0378/01395 | true=downstairs | pred=walking | ✗ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 01:53:31] #0379/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:54:13] #0380/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 01:54:29] #0381/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 01:54:35] #0382/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:55:02] #0384/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:56:38] #0387/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.945 conf=0.650 gap=0.450
[2026-05-12 01:57:19] #0388/01395 | true=downstairs | pred=walking | ✗ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 01:57:33] #0389/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:57:40] #0390/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 01:58:02] #0391/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:58:53] #0393/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:59:51] #0394/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:00:21] #0395/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.890 conf=0.750 gap=0.650
[2026-05-12 02:00:54] #0396/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:02:52] #0397/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:03:16] #0398/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 02:03:57] #0399/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 02:04:53] #0400/01395 | true=downstairs | pred=walking | ✗ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 02:05:35] #0402/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.139 conf=0.620 gap=0.400
[2026-05-12 02:06:00] #0403/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 02:06:29] #0404/01395 | true=downstairs | pred=walking | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:06:45] #0405/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:07:13] #0406/01395 | true=downstairs | pred=walking | ✗ | ent=1.021 conf=0.650 gap=0.500
[2026-05-12 02:07:53] #0408/01395 | true=downstairs | pred=walking | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:08:06] #0409/01395 | true=downstairs | pred=walking | ✗ | ent=1.106 conf=0.600 gap=0.450
[2026-05-12 02:08:35] #0410/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.949 conf=0.720 gap=0.580
[2026-05-12 02:09:02] #0411/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 02:09:52] #0413/01395 | true=downstairs | pred=walking | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:10:17] #0415/01395 | true=downstairs | pred=walking | ✗ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:11:03] #0416/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:11:30] #0417/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:11:38] #0418/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.659 conf=0.780 gap=0.600
[2026-05-12 02:12:53] #0419/01395 | true=downstairs | pred=jogging | ✗ | ent=0.736 conf=0.720 gap=0.480
[2026-05-12 02:13:31] #0420/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 02:13:56] #0421/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 02:15:05] #0422/01395 | true=downstairs | pred=walking | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:17:00] #0424/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 02:18:08] #0425/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:18:15] #0426/01395 | true=downstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:18:22] #0427/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:20:44] #0430/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.781 conf=0.750 gap=0.600
[2026-05-12 02:21:04] #0431/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:21:25] #0433/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:21:39] #0434/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 02:21:54] #0435/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.153 conf=0.600 gap=0.400
[2026-05-12 02:22:31] #0436/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 02:23:18] #0438/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:23:34] #0439/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:24:49] #0440/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 02:25:23] #0441/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:25:40] #0443/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.275 conf=0.550 gap=0.300
[2026-05-12 02:26:06] #0444/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:26:52] #0446/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:28:03] #0448/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:28:21] #0449/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 02:28:53] #0450/01395 | true=downstairs | pred=walking | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 02:29:17] #0451/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:29:42] #0452/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.702 conf=0.800 gap=0.660
[2026-05-12 02:31:05] #0454/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 02:31:29] #0456/01395 | true=downstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:31:44] #0457/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:32:25] #0458/01395 | true=downstairs | pred=walking | ✗ | ent=1.009 conf=0.700 gap=0.550
[2026-05-12 02:32:41] #0459/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.892 conf=0.750 gap=0.620
[2026-05-12 02:35:27] #0460/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:35:44] #0461/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:36:17] #0462/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.864 conf=0.650 gap=0.370
[2026-05-12 02:36:39] #0463/01395 | true=downstairs | pred=walking | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 02:36:58] #0464/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:37:41] #0465/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 02:38:50] #0466/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:39:54] #0467/01395 | true=downstairs | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:40:08] #0468/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:40:30] #0469/01395 | true=downstairs | pred=walking | ✗ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 02:41:04] #0470/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.825 conf=0.720 gap=0.540
[2026-05-12 02:41:11] #0471/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:41:41] #0472/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:41:54] #0473/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 02:42:27] #0475/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.661 conf=0.820 gap=0.700
[2026-05-12 02:42:41] #0476/01395 | true=downstairs | pred=walking | ✗ | ent=0.813 conf=0.760 gap=0.610
[2026-05-12 02:42:50] #0477/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 02:42:59] #0478/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:43:24] #0480/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:43:50] #0481/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:44:46] #0482/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 02:44:51] #0483/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.108 conf=0.650 gap=0.500
[2026-05-12 02:45:34] #0484/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.839 conf=0.680 gap=0.480
[2026-05-12 02:46:02] #0486/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 02:46:45] #0488/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.902 conf=0.720 gap=0.560
[2026-05-12 02:47:32] #0490/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:47:54] #0491/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 02:48:17] #0492/01395 | true=downstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:48:31] #0493/01395 | true=downstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:48:48] #0494/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:49:22] #0496/01395 | true=downstairs | pred=walking | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:49:38] #0497/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.950 conf=0.600 gap=0.400
[2026-05-12 02:49:43] #0498/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:49:54] #0499/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 02:50:16] #0500/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 02:50:53] #0502/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:51:08] #0503/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:51:38] #0504/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.760 conf=0.720 gap=0.520
[2026-05-12 02:51:46] #0505/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:52:04] #0506/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:52:26] #0507/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:53:05] #0509/01395 | true=downstairs | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:54:04] #0510/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:54:17] #0511/01395 | true=downstairs | pred=walking | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:55:10] #0513/01395 | true=downstairs | pred=walking | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:55:22] #0514/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 02:55:37] #0515/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:56:15] #0516/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 02:56:21] #0517/01395 | true=downstairs | pred=walking | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:57:09] #0518/01395 | true=downstairs | pred=walking | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:57:25] #0519/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:57:30] #0520/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 02:58:11] #0522/01395 | true=downstairs | pred=jogging | ✗ | ent=1.067 conf=0.580 gap=0.330
[2026-05-12 02:58:33] #0523/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:59:22] #0524/01395 | true=downstairs | pred=jogging | ✗ | ent=0.423 conf=0.850 gap=0.700
