[2026-05-11 11:04:47] Class 15 (Stair-up) 软标签生成开始
[2026-05-11 11:04:47]   QUICK=False LIMIT=50
[2026-05-11 11:04:47]   温度=0.8 (from api_config)
[2026-05-11 11:04:48]   本类: 2708窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:48]   实际生成: 2708 窗口
[2026-05-11 11:05:25] #0001/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 15:51:00] #0601/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 15:52:42] #0602/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:53:01] #0603/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 15:53:29] #0604/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:54:01] #0605/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 15:54:38] #0606/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:54:58] #0607/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.591 | conf=0.450 | gap=0.250
[2026-05-11 15:55:30] #0608/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.544 | conf=0.880 | gap=0.840
[2026-05-11 15:56:04] #0609/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 15:56:38] #0610/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-11 15:57:15] #0611/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 15:57:43] #0612/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:58:17] #0613/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 15:58:32] #0614/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:59:11] #0615/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 15:59:34] #0616/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 16:00:05] #0617/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.421 | conf=0.880 | gap=0.780
[2026-05-11 16:00:46] #0618/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 16:01:02] #0619/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 16:01:36] #0620/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:01:36]   [620/2708] acc=414/620=66.8% filtered=571/620
[2026-05-11 16:02:22] #0621/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:02:44] #0622/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 16:03:01] #0623/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:03:22] #0624/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 16:03:51] #0625/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:04:23] #0626/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:04:56] #0627/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 16:05:30] #0628/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:05:46] #0629/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 16:06:33] #0630/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 16:07:08] #0631/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 16:07:39] #0632/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 16:08:14] #0633/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.991 | conf=0.750 | gap=0.670
[2026-05-11 16:08:51] #0634/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 16:09:07] #0635/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 16:09:40] #0636/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.743 | conf=0.800 | gap=0.700
[2026-05-11 16:10:12] #0637/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:10:41] #0638/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.474 | conf=0.900 | gap=0.870
[2026-05-11 16:11:11] #0639/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:11:44] #0640/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.324 | conf=0.930 | gap=0.900
[2026-05-11 16:11:44]   [640/2708] acc=427/640=66.7% filtered=591/640
[2026-05-11 16:12:19] #0641/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.963 | conf=0.750 | gap=0.650
[2026-05-11 16:13:23] #0642/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 16:14:02] #0643/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-11 16:14:16] #0644/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:14:30] #0645/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:15:02] #0646/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.453 | conf=0.900 | gap=0.860
[2026-05-11 16:15:53] #0647/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.765 | conf=0.300 | gap=0.100
[2026-05-11 16:16:35] #0648/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.879 | conf=0.750 | gap=0.650
[2026-05-11 16:16:54] #0649/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:17:31] #0650/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:17:58] #0651/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 16:18:42] #0652/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 16:19:12] #0653/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:19:48] #0654/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 16:20:38] #0655/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 16:21:09] #0656/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 16:21:34] #0657/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 16:22:03] #0658/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=1.060 | conf=0.579 | gap=0.316
[2026-05-11 16:22:48] #0659/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:23:37] #0660/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 16:23:37]   [660/2708] acc=437/660=66.2% filtered=610/660
[2026-05-11 16:24:12] #0661/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 16:24:47] #0662/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 16:25:12] #0663/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:25:29] #0664/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.937 | conf=0.750 | gap=0.670
[2026-05-11 16:26:00] #0665/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:27:08] #0666/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.571 | conf=0.880 | gap=0.850
[2026-05-11 16:27:37] #0667/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 16:27:54] #0668/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 16:28:20] #0669/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.608 | conf=0.450 | gap=0.300
[2026-05-11 16:29:02] #0670/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:29:22] #0671/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 16:29:56] #0672/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 16:30:30] #0673/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.646 | conf=0.850 | gap=0.800
[2026-05-11 16:30:48] #0674/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 16:31:26] #0675/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 16:32:05] #0676/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:32:38] #0677/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.504 | conf=0.880 | gap=0.830
[2026-05-11 16:33:38] #0678/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.158 | conf=0.600 | gap=0.400
[2026-05-11 16:34:15] #0679/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:34:51] #0680/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:34:51]   [680/2708] acc=451/680=66.3% filtered=629/680
[2026-05-11 16:35:08] #0681/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 16:35:51] #0682/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 16:36:26] #0683/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:37:09] #0684/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:37:52] #0685/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 16:38:32] #0686/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.626 | conf=0.400 | gap=0.250
[2026-05-11 16:38:49] #0687/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.826 | conf=0.800 | gap=0.720
[2026-05-11 16:39:08] #0688/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.626 | conf=0.400 | gap=0.250
[2026-05-11 16:39:43] #0689/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:40:19] #0690/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.161 | conf=0.450 | gap=0.100
[2026-05-11 16:40:52] #0691/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 16:41:47] #0692/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 16:42:22] #0693/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.937 | conf=0.750 | gap=0.670
[2026-05-11 16:42:52] #0694/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 16:43:20] #0695/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 16:43:53] #0696/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 16:44:38] #0697/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.429 | conf=0.550 | gap=0.430
[2026-05-11 16:45:08] #0698/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 16:45:33] #0699/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.006 | conf=0.700 | gap=0.580
[2026-05-11 16:46:13] #0700/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:46:13]   [700/2708] acc=463/700=66.1% filtered=646/700
[2026-05-11 16:46:30] #0701/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:47:03] #0702/02708 | true=Stair-up(15) | pred=Run(14) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:47:32] #0703/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:48:27] #0704/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 16:48:57] #0705/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:49:24] #0706/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 16:49:40] #0707/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.140 | conf=0.700 | gap=0.630
[2026-05-11 16:50:09] #0708/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:50:40] #0709/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.653 | conf=0.400 | gap=0.200
[2026-05-11 16:50:57] #0710/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.110 | conf=0.700 | gap=0.620
[2026-05-11 16:51:39] #0711/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:52:03] #0712/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 16:52:51] #0713/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 16:53:37] #0714/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 16:53:49] #0715/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:54:16] #0716/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.735 | conf=0.820 | gap=0.760
[2026-05-11 16:54:53] #0717/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.827 | conf=0.780 | gap=0.710
[2026-05-11 16:55:09] #0718/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.639 | conf=0.350 | gap=0.050
[2026-05-11 16:55:55] #0719/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:56:24] #0720/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.286 | conf=0.950 | gap=0.940
[2026-05-11 16:56:24]   [720/2708] acc=475/720=66.0% filtered=664/720
[2026-05-11 16:56:40] #0721/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.187 | conf=0.650 | gap=0.520
[2026-05-11 16:57:21] #0722/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 16:58:07] #0723/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 16:58:37] #0724/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:58:54] #0725/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=2.483 | conf=0.178 | gap=0.030
[2026-05-11 16:59:26] #0726/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.730 | conf=0.820 | gap=0.760
[2026-05-11 16:59:56] #0727/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 17:00:28] #0728/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 17:01:14] #0729/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 17:01:54] #0730/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 17:02:34] #0731/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:03:01] #0732/02708 | true=Stair-up(15) | pred=Run(14) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:03:39] #0733/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 17:03:57] #0734/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:04:16] #0735/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:05:10] #0736/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.110 | conf=0.700 | gap=0.620
[2026-05-11 17:06:43] #0737/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.197 | conf=0.960 | gap=0.939
[2026-05-11 17:09:36] #0738/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:19:47] Class 15 (Stair-up) 软标签生成开始
[2026-05-11 17:19:47]   QUICK=False LIMIT=50
[2026-05-11 17:19:47]   温度=0.8 (from api_config)
[2026-05-11 17:19:47]   本类: 2708窗口 (仅加载本类, 内存友好)
[2026-05-11 17:19:47]   实际生成: 2708 窗口
[2026-05-11 17:19:47]   续传: 735/2708
[2026-05-11 17:20:22] #0736/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 17:21:04] #0737/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.690 | conf=0.820 | gap=0.740
[2026-05-11 17:21:22] #0738/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 17:21:42] #0739/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.886 | conf=0.780 | gap=0.700
[2026-05-11 17:22:00] #0740/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.722 | conf=0.400 | gap=0.250
[2026-05-11 17:22:00]   [740/2708] acc=489/740=66.1% filtered=4/740
[2026-05-11 17:22:29] #0741/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:23:09] #0742/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 17:23:25] #0743/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 17:23:48] #0744/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 17:24:06] #0745/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-11 17:24:44] #0746/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 17:25:39] #0747/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 17:26:11] #0748/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.380 | conf=0.550 | gap=0.350
[2026-05-11 17:26:27] #0749/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 17:27:01] #0750/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:27:17] #0751/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:28:15] #0752/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.495 | conf=0.900 | gap=0.870
[2026-05-11 17:28:48] #0753/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 17:28:59] #0754/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:29:27] #0755/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:29:58] #0756/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:30:24] #0757/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 17:30:53] #0758/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:31:20] #0759/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 17:32:02] #0760/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 17:32:02]   [760/2708] acc=503/760=66.2% filtered=24/760
[2026-05-11 17:32:17] #0761/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.990 | conf=0.750 | gap=0.680
[2026-05-11 17:32:33] #0762/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:32:58] #0763/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 17:33:27] #0764/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 17:33:45] #0765/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:34:03] #0766/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.591 | conf=0.450 | gap=0.250
[2026-05-11 17:35:09] #0767/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:35:46] #0768/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.540 | conf=0.880 | gap=0.840
[2026-05-11 17:36:14] #0769/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:36:41] #0770/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:37:08] #0771/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 17:37:41] #0772/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 17:38:25] #0773/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 17:38:59] #0774/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.298 | conf=0.929 | gap=0.879
[2026-05-11 17:40:41] #0775/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 17:40:57] #0776/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:41:18] #0777/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.522 | conf=0.450 | gap=0.250
[2026-05-11 17:41:45] #0778/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-11 17:42:06] #0779/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.261 | conf=0.550 | gap=0.350
