[2026-05-11 21:52:20] HARTH class 7 (lying) T=0.8
[2026-05-11 21:52:20]   4689 windows
[2026-05-11 21:52:27] #0001/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:19:07] #1418/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:19:15] #1419/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:19:22] #1420/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:19:22]   [1420/4689] acc=42% filt=1372
[2026-05-12 05:19:28] #1421/04689 | true=lying | pred=stand | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 05:19:50] #1422/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:19:59] #1423/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:20:07] #1424/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:20:13] #1425/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:20:22] #1426/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:20:34] #1427/04689 | true=lying | pred=sit | ✗ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 05:21:00] #1428/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:21:11] #1429/04689 | true=lying | pred=stand | ✗ | ent=0.880 conf=0.750 gap=0.600
[2026-05-12 05:21:18] #1430/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:21:35] #1431/04689 | true=lying | pred=lying | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 05:22:23] #1432/04689 | true=lying | pred=stand | ✗ | ent=0.781 conf=0.750 gap=0.600
[2026-05-12 05:22:38] #1433/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:23:06] #1434/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:23:14] #1435/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:23:28] #1436/04689 | true=lying | pred=stand | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-12 05:23:38] #1437/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 05:24:01] #1438/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:24:39] #1439/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:24:56] #1440/04689 | true=lying | pred=stand | ✗ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 05:24:56]   [1440/4689] acc=41% filt=1392
[2026-05-12 05:25:21] #1441/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:25:41] #1442/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:25:47] #1443/04689 | true=lying | pred=stand | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 05:25:50] #1444/04689 | true=lying | pred=lying | ✓ | ent=0.821 conf=0.790 gap=0.710
[2026-05-12 05:26:36] #1445/04689 | true=lying | pred=sit | ✗ | ent=0.332 conf=0.941 gap=0.931
[2026-05-12 05:26:43] #1446/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:27:24] #1447/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:27:47] #1448/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:28:06] #1449/04689 | true=lying | pred=sit | ✗ | ent=0.467 conf=0.910 gap=0.880
[2026-05-12 05:28:29] #1450/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:28:49] #1451/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:29:01] #1452/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:29:13] #1453/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 05:29:35] #1454/04689 | true=lying | pred=stand | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 05:30:17] #1455/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 05:30:32] #1456/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:30:39] #1457/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 05:30:43] #1458/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 05:31:39] #1459/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:31:57] #1460/04689 | true=lying | pred=lying | ✓ | ent=0.945 conf=0.750 gap=0.650
[2026-05-12 05:31:57]   [1460/4689] acc=41% filt=1411
[2026-05-12 05:32:24] #1461/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:32:36] #1462/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:32:42] #1463/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:33:06] #1464/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:33:30] #1465/04689 | true=lying | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 05:33:40] #1466/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:33:56] #1467/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:34:17] #1468/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:34:35] #1469/04689 | true=lying | pred=stand | ✗ | ent=0.995 conf=0.700 gap=0.550
[2026-05-12 05:34:43] #1470/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 05:34:54] #1471/04689 | true=lying | pred=lying | ✓ | ent=1.097 conf=0.690 gap=0.570
[2026-05-12 05:35:08] #1472/04689 | true=lying | pred=stand | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 05:36:05] #1473/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:36:18] #1474/04689 | true=lying | pred=lying | ✓ | ent=0.543 conf=0.850 gap=0.750
[2026-05-12 05:36:43] #1475/04689 | true=lying | pred=sit | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 05:36:56] #1476/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:37:04] #1477/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:37:17] #1478/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:37:20] #1479/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:37:28] #1480/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:37:28]   [1480/4689] acc=41% filt=1430
[2026-05-12 05:37:31] #1481/04689 | true=lying | pred=lying | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-12 05:37:39] #1482/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:37:52] #1483/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:38:17] #1484/04689 | true=lying | pred=sit | ✗ | ent=0.750 conf=0.830 gap=0.780
[2026-05-12 05:38:28] #1485/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 05:38:36] #1486/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:38:43] #1487/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:38:47] #1488/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:38:50] #1489/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:39:15] #1490/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:39:35] #1491/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:39:54] #1492/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:40:13] #1493/04689 | true=lying | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 05:40:29] #1494/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:40:48] #1495/04689 | true=lying | pred=stand | ✗ | ent=1.493 conf=0.550 gap=0.400
[2026-05-12 05:40:52] #1496/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:40:58] #1497/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:41:27] #1498/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:41:34] #1499/04689 | true=lying | pred=lying | ✓ | ent=0.389 conf=0.910 gap=0.870
[2026-05-12 05:41:55] #1500/04689 | true=lying | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 05:41:55]   [1500/4689] acc=41% filt=1449
[2026-05-12 05:42:01] #1501/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:42:09] #1502/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:42:19] #1503/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:42:30] #1504/04689 | true=lying | pred=lying | ✓ | ent=0.629 conf=0.800 gap=0.650
[2026-05-12 05:42:40] #1505/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 05:43:10] #1506/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:44:12] #1507/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:44:17] #1508/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:44:30] #1509/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:45:01] #1510/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:45:03] #1511/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:45:26] #1512/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:45:55] #1513/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:46:04] #1514/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:46:13] #1515/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:46:38] #1516/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:46:47] #1517/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:46:57] #1518/04689 | true=lying | pred=lying | ✓ | ent=0.585 conf=0.880 gap=0.850
[2026-05-12 05:47:07] #1519/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:47:17] #1520/04689 | true=lying | pred=lying | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 05:47:17]   [1520/4689] acc=41% filt=1469
[2026-05-12 05:47:44] #1521/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:47:55] #1522/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:48:09] #1523/04689 | true=lying | pred=stand | ✗ | ent=0.839 conf=0.800 gap=0.730
[2026-05-12 05:48:19] #1524/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:48:26] #1525/04689 | true=lying | pred=stand | ✗ | ent=1.430 conf=0.400 gap=0.050
[2026-05-12 05:48:57] #1526/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:49:01] #1527/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:49:27] #1528/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:49:53] #1529/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:49:59] #1530/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:50:24] #1531/04689 | true=lying | pred=lying | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 05:50:43] #1532/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:51:53] #1533/04689 | true=lying | pred=stand | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-12 05:52:02] #1534/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:52:06] #1535/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:53:58] #1536/04689 | true=lying | pred=stand | ✗ | ent=0.431 conf=0.920 gap=0.900
[2026-05-12 05:54:01] #1537/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:54:06] #1538/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:54:09] #1539/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:54:40] #1540/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:54:40]   [1540/4689] acc=41% filt=1488
[2026-05-12 05:55:03] #1541/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 05:55:06] #1542/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:55:13] #1543/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:55:44] #1544/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 05:56:11] #1545/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 05:56:28] #1546/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:57:28] #1547/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:57:44] #1548/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 05:58:09] #1549/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:58:22] #1550/04689 | true=lying | pred=stand | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 05:58:25] #1551/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:58:38] #1552/04689 | true=lying | pred=stand | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-12 05:58:44] #1553/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:58:47] #1554/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:59:07] #1555/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:59:13] #1556/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:59:25] #1557/04689 | true=lying | pred=sit | ✗ | ent=0.068 conf=0.991 gap=0.988
[2026-05-12 05:59:56] #1558/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:00:14] #1559/04689 | true=lying | pred=lying | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 06:00:19] #1560/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:00:19]   [1560/4689] acc=41% filt=1507
[2026-05-12 06:00:25] #1561/04689 | true=lying | pred=lying | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 06:00:34] #1562/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:00:49] #1563/04689 | true=lying | pred=stand | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 06:01:21] #1564/04689 | true=lying | pred=stand | ✗ | ent=0.821 conf=0.770 gap=0.620
[2026-05-12 06:01:25] #1565/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:01:40] #1566/04689 | true=lying | pred=stand | ✗ | ent=0.665 conf=0.850 gap=0.780
[2026-05-12 06:01:47] #1567/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:01:52] #1568/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:02:58] #1569/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:03:14] #1570/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:03:48] #1571/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:04:01] #1572/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:04:14] #1573/04689 | true=lying | pred=stand | ✗ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 06:04:44] #1574/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 06:04:58] #1575/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:05:31] #1576/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:05:45] #1577/04689 | true=lying | pred=shuffle | ✗ | ent=1.515 conf=0.550 gap=0.430
[2026-05-12 06:06:00] #1578/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:06:08] #1579/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:06:32] #1580/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:06:32]   [1580/4689] acc=41% filt=1525
[2026-05-12 06:07:02] #1581/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:07:24] #1582/04689 | true=lying | pred=stand | ✗ | ent=0.486 conf=0.900 gap=0.860
[2026-05-12 06:07:29] #1583/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:07:37] #1584/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:08:08] #1585/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:08:11] #1586/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:08:18] #1587/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:08:28] #1588/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:08:46] #1589/04689 | true=lying | pred=stand | ✗ | ent=0.845 conf=0.800 gap=0.720
[2026-05-12 06:08:57] #1590/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:09:09] #1591/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:09:26] #1592/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 06:09:41] #1593/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:10:15] #1594/04689 | true=lying | pred=lying | ✓ | ent=0.901 conf=0.730 gap=0.580
[2026-05-12 06:10:30] #1595/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 06:10:52] #1596/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:11:12] #1597/04689 | true=lying | pred=stand | ✗ | ent=0.892 conf=0.750 gap=0.600
[2026-05-12 06:11:15] #1598/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:11:31] #1599/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:11:38] #1600/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:11:38]   [1600/4689] acc=41% filt=1544
[2026-05-12 06:12:40] #1601/04689 | true=lying | pred=lying | ✓ | ent=0.532 conf=0.850 gap=0.740
[2026-05-12 06:12:54] #1602/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:13:28] #1603/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 06:13:39] #1604/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 06:13:52] #1605/04689 | true=lying | pred=sit | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 06:14:06] #1606/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:14:33] #1607/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:14:48] #1608/04689 | true=lying | pred=lying | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 06:15:04] #1609/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:15:28] #1610/04689 | true=lying | pred=stand | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 06:15:44] #1611/04689 | true=lying | pred=sit | ✗ | ent=0.434 conf=0.910 gap=0.880
[2026-05-12 06:15:59] #1612/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:16:14] #1613/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 06:16:18] #1614/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:16:25] #1615/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:16:33] #1616/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:16:54] #1617/04689 | true=lying | pred=stand | ✗ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 06:17:00] #1618/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:17:15] #1619/04689 | true=lying | pred=lying | ✓ | ent=0.919 conf=0.750 gap=0.630
[2026-05-12 06:17:30] #1620/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:17:30]   [1620/4689] acc=41% filt=1564
[2026-05-12 06:17:52] #1621/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:17:59] #1622/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:18:04] #1623/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:18:31] #1624/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:18:41] #1625/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:18:51] #1626/04689 | true=lying | pred=lying | ✓ | ent=0.998 conf=0.750 gap=0.670
[2026-05-12 06:19:07] #1627/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:19:24] #1628/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:19:28] #1629/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:19:34] #1630/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:19:43] #1631/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:19:58] #1632/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:20:05] #1633/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:20:09] #1634/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:20:21] #1635/04689 | true=lying | pred=lying | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 06:20:36] #1636/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:20:44] #1637/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:21:17] #1638/04689 | true=lying | pred=shuffle | ✗ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 06:21:29] #1639/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:21:32] #1640/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:21:32]   [1640/4689] acc=41% filt=1583
[2026-05-12 06:21:40] #1641/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:21:44] #1642/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:22:14] #1643/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:22:23] #1644/04689 | true=lying | pred=lying | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 06:22:36] #1645/04689 | true=lying | pred=sit | ✗ | ent=0.063 conf=0.990 gap=0.985
