[2026-05-11 21:53:27] #0006/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:50:02] #1111/04689 | true=lying | pred=lying | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:51:32] #1114/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:51:35] #1115/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:52:06] #1116/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:53:53] #1119/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:54:23] #1121/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:54:26] #1122/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:55:34] #1126/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:55:44] #1127/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:56:29] #1129/04689 | true=lying | pred=lying | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 03:56:58] #1131/04689 | true=lying | pred=lying | ✓ | ent=0.654 conf=0.850 gap=0.800
[2026-05-12 03:57:07] #1132/04689 | true=lying | pred=lying | ✓ | ent=0.689 conf=0.840 gap=0.790
[2026-05-12 03:57:21] #1133/04689 | true=lying | pred=lying | ✓ | ent=0.837 conf=0.800 gap=0.740
[2026-05-12 03:57:36] #1134/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:58:14] #1136/04689 | true=lying | pred=lying | ✓ | ent=0.688 conf=0.800 gap=0.680
[2026-05-12 03:58:50] #1137/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:59:29] #1140/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:59:40] #1141/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:01:06] #1146/04689 | true=lying | pred=lying | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 04:01:13] #1147/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:01:46] #1149/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:02:12] #1151/04689 | true=lying | pred=lying | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 04:02:15] #1152/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:02:19] #1153/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:03:18] #1157/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:03:25] #1158/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:04:19] #1162/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:05:09] #1164/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:05:14] #1165/04689 | true=lying | pred=lying | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-12 04:06:21] #1167/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 04:06:25] #1168/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:06:45] #1170/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:07:18] #1172/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:08:10] #1175/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:08:49] #1176/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:09:11] #1178/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.850 gap=0.800
[2026-05-12 04:09:14] #1179/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:09:41] #1181/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:10:14] #1182/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 04:10:54] #1185/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:13:06] #1191/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:13:19] #1193/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:14:00] #1195/04689 | true=lying | pred=lying | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 04:14:22] #1197/04689 | true=lying | pred=lying | ✓ | ent=1.093 conf=0.700 gap=0.600
[2026-05-12 04:15:41] #1198/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 04:17:30] #1206/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:18:09] #1208/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:18:18] #1209/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 04:19:56] #1216/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:20:27] #1218/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:21:24] #1221/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:21:28] #1222/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:22:56] #1228/04689 | true=lying | pred=lying | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 04:23:08] #1229/04689 | true=lying | pred=lying | ✓ | ent=0.912 conf=0.740 gap=0.590
[2026-05-12 04:23:15] #1230/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:23:40] #1233/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:23:57] #1234/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:24:01] #1235/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:24:06] #1236/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:24:27] #1237/04689 | true=lying | pred=lying | ✓ | ent=0.781 conf=0.750 gap=0.600
[2026-05-12 04:26:00] #1241/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:26:23] #1243/04689 | true=lying | pred=lying | ✓ | ent=0.970 conf=0.680 gap=0.480
[2026-05-12 04:27:28] #1248/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:27:44] #1250/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:27:57] #1252/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:28:16] #1254/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:28:37] #1255/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:28:57] #1256/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:29:01] #1257/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:29:18] #1258/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:29:23] #1259/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:31:47] #1267/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:33:36] #1272/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:33:48] #1274/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:33:51] #1275/04689 | true=lying | pred=lying | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 04:34:53] #1277/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:35:19] #1278/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 04:36:35] #1282/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 04:37:04] #1284/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:38:29] #1286/04689 | true=lying | pred=lying | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 04:39:20] #1289/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:39:31] #1290/04689 | true=lying | pred=lying | ✓ | ent=0.585 conf=0.850 gap=0.790
[2026-05-12 04:40:36] #1295/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:40:42] #1296/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:42:15] #1299/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:43:27] #1304/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:43:47] #1305/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 04:43:55] #1306/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:43:58] #1307/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:44:02] #1308/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:44:24] #1309/04689 | true=lying | pred=lying | ✓ | ent=0.724 conf=0.830 gap=0.750
[2026-05-12 04:45:12] #1312/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:46:36] #1316/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:46:47] #1317/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:47:26] #1319/04689 | true=lying | pred=lying | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 04:47:35] #1320/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 04:48:03] #1322/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:50:47] #1335/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 04:51:11] #1336/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:51:32] #1338/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 04:52:35] #1341/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:53:06] #1342/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 04:53:24] #1344/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:54:37] #1348/04689 | true=lying | pred=lying | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 04:55:40] #1350/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 04:58:34] #1358/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:58:46] #1359/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 04:59:28] #1362/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:59:37] #1363/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:59:46] #1364/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:00:49] #1365/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:04:59] #1371/04689 | true=lying | pred=lying | ✓ | ent=0.685 conf=0.850 gap=0.810
[2026-05-12 05:05:02] #1372/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:05:11] #1373/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:06:31] #1377/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 05:06:56] #1378/04689 | true=lying | pred=lying | ✓ | ent=0.647 conf=0.800 gap=0.650
[2026-05-12 05:07:01] #1379/04689 | true=lying | pred=lying | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-12 05:07:33] #1382/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:08:55] #1388/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:09:47] #1391/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:09:56] #1392/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 05:10:16] #1394/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:10:36] #1395/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:10:57] #1396/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:11:29] #1397/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:11:57] #1399/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:14:10] #1405/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:14:34] #1406/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:15:02] #1407/04689 | true=lying | pred=lying | ✓ | ent=0.516 conf=0.890 gap=0.840
[2026-05-12 05:15:41] #1409/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:15:46] #1410/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:17:02] #1415/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:19:07] #1418/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:19:50] #1422/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:21:35] #1431/04689 | true=lying | pred=lying | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 05:23:14] #1435/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:23:38] #1437/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 05:25:41] #1442/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:25:50] #1444/04689 | true=lying | pred=lying | ✓ | ent=0.821 conf=0.790 gap=0.710
[2026-05-12 05:28:29] #1450/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:30:39] #1457/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 05:30:43] #1458/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 05:31:57] #1460/04689 | true=lying | pred=lying | ✓ | ent=0.945 conf=0.750 gap=0.650
[2026-05-12 05:32:42] #1463/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:34:17] #1468/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:34:43] #1470/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 05:34:54] #1471/04689 | true=lying | pred=lying | ✓ | ent=1.097 conf=0.690 gap=0.570
[2026-05-12 05:36:18] #1474/04689 | true=lying | pred=lying | ✓ | ent=0.543 conf=0.850 gap=0.750
[2026-05-12 05:37:04] #1477/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:37:20] #1479/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:37:31] #1481/04689 | true=lying | pred=lying | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-12 05:38:28] #1485/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 05:38:36] #1486/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:38:47] #1488/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:38:50] #1489/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:39:35] #1491/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:39:54] #1492/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:40:52] #1496/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:40:58] #1497/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:41:34] #1499/04689 | true=lying | pred=lying | ✓ | ent=0.389 conf=0.910 gap=0.870
[2026-05-12 05:42:30] #1504/04689 | true=lying | pred=lying | ✓ | ent=0.629 conf=0.800 gap=0.650
[2026-05-12 05:42:40] #1505/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 05:44:17] #1508/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:45:01] #1510/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:45:03] #1511/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:46:13] #1515/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:46:38] #1516/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:46:47] #1517/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 05:46:57] #1518/04689 | true=lying | pred=lying | ✓ | ent=0.585 conf=0.880 gap=0.850
[2026-05-12 05:47:07] #1519/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:47:17] #1520/04689 | true=lying | pred=lying | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 05:48:57] #1526/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:49:01] #1527/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:50:24] #1531/04689 | true=lying | pred=lying | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 05:50:43] #1532/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:52:06] #1535/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:54:01] #1537/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 05:54:06] #1538/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 05:54:09] #1539/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 05:55:03] #1541/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 05:55:06] #1542/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:56:11] #1545/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 05:57:28] #1547/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:57:44] #1548/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 05:58:09] #1549/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:58:25] #1551/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 05:58:47] #1554/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 05:59:56] #1558/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:00:14] #1559/04689 | true=lying | pred=lying | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 06:00:19] #1560/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:00:25] #1561/04689 | true=lying | pred=lying | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 06:01:25] #1565/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:01:52] #1568/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:04:44] #1574/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 06:06:32] #1580/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:07:29] #1583/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:08:11] #1586/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:08:18] #1587/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:08:28] #1588/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:09:26] #1592/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 06:10:15] #1594/04689 | true=lying | pred=lying | ✓ | ent=0.901 conf=0.730 gap=0.580
[2026-05-12 06:10:52] #1596/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:11:15] #1598/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:11:38] #1600/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:12:40] #1601/04689 | true=lying | pred=lying | ✓ | ent=0.532 conf=0.850 gap=0.740
[2026-05-12 06:13:39] #1604/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 06:14:06] #1606/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:14:48] #1608/04689 | true=lying | pred=lying | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 06:16:18] #1614/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:17:15] #1619/04689 | true=lying | pred=lying | ✓ | ent=0.919 conf=0.750 gap=0.630
[2026-05-12 06:18:51] #1626/04689 | true=lying | pred=lying | ✓ | ent=0.998 conf=0.750 gap=0.670
[2026-05-12 06:19:07] #1627/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:19:28] #1629/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:19:43] #1631/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:20:09] #1634/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:20:21] #1635/04689 | true=lying | pred=lying | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 06:20:44] #1637/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:21:32] #1640/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 06:21:40] #1641/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:21:44] #1642/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:22:23] #1644/04689 | true=lying | pred=lying | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 06:23:34] #1647/04689 | true=lying | pred=lying | ✓ | ent=0.055 conf=0.993 gap=0.992
[2026-05-12 06:23:41] #1648/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:24:55] #1650/04689 | true=lying | pred=lying | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 06:25:56] #1653/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:26:00] #1654/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:26:13] #1655/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 06:26:18] #1656/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:28:13] #1659/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:29:36] #1664/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:30:45] #1666/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:31:22] #1667/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 06:32:53] #1673/04689 | true=lying | pred=lying | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 06:33:30] #1675/04689 | true=lying | pred=lying | ✓ | ent=0.681 conf=0.820 gap=0.720
[2026-05-12 06:33:46] #1676/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:33:58] #1677/04689 | true=lying | pred=lying | ✓ | ent=1.350 conf=0.510 gap=0.310
