[2026-05-11 21:52:46] #0002/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:51:48] #2250/08147 | true=stand | pred=stand | ✓ | ent=0.608 conf=0.860 gap=0.780
[2026-05-12 06:51:52] #2251/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:51:58] #2252/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:52:15] #2253/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:52:45] #2254/08147 | true=stand | pred=stand | ✓ | ent=0.641 conf=0.850 gap=0.790
[2026-05-12 06:52:59] #2255/08147 | true=stand | pred=stand | ✓ | ent=1.104 conf=0.650 gap=0.430
[2026-05-12 06:53:03] #2256/08147 | true=stand | pred=stand | ✓ | ent=1.512 conf=0.550 gap=0.400
[2026-05-12 06:53:06] #2257/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:53:09] #2258/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 06:53:12] #2259/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:53:15] #2260/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:53:41] #2261/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:53:44] #2262/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:53:58] #2263/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:54:03] #2264/08147 | true=stand | pred=stand | ✓ | ent=0.927 conf=0.760 gap=0.640
[2026-05-12 06:54:13] #2265/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 06:54:21] #2266/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 06:54:50] #2267/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:54:54] #2268/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:55:02] #2269/08147 | true=stand | pred=stand | ✓ | ent=0.923 conf=0.700 gap=0.480
[2026-05-12 06:55:58] #2270/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 06:56:04] #2271/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 06:56:16] #2272/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 06:56:21] #2273/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 06:56:30] #2274/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:56:54] #2275/08147 | true=stand | pred=stand | ✓ | ent=0.852 conf=0.800 gap=0.730
[2026-05-12 06:57:06] #2276/08147 | true=stand | pred=stand | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 06:57:09] #2277/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 06:57:12] #2278/08147 | true=stand | pred=stand | ✓ | ent=1.442 conf=0.500 gap=0.250
[2026-05-12 06:58:21] #2281/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 06:58:33] #2282/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 06:58:38] #2283/08147 | true=stand | pred=stand | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 07:00:02] #2284/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:00:27] #2285/08147 | true=stand | pred=stand | ✓ | ent=0.787 conf=0.780 gap=0.630
[2026-05-12 07:00:38] #2286/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:00:54] #2288/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 07:01:07] #2289/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:01:16] #2290/08147 | true=stand | pred=stand | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 07:01:54] #2292/08147 | true=stand | pred=stand | ✓ | ent=0.958 conf=0.750 gap=0.630
[2026-05-12 07:02:02] #2293/08147 | true=stand | pred=stand | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 07:03:27] #2296/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:03:36] #2297/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:03:40] #2298/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:03:51] #2299/08147 | true=stand | pred=stand | ✓ | ent=1.181 conf=0.650 gap=0.500
[2026-05-12 07:04:04] #2301/08147 | true=stand | pred=stand | ✓ | ent=0.707 conf=0.812 gap=0.683
[2026-05-12 07:04:13] #2302/08147 | true=stand | pred=stand | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 07:04:16] #2303/08147 | true=stand | pred=stand | ✓ | ent=0.699 conf=0.850 gap=0.810
[2026-05-12 07:04:21] #2304/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:05:12] #2306/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:05:26] #2307/08147 | true=stand | pred=stand | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 07:05:29] #2308/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:05:49] #2309/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.820 gap=0.700
[2026-05-12 07:06:13] #2310/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:06:17] #2311/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:06:28] #2312/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:06:39] #2313/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 07:06:42] #2314/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:06:50] #2315/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:06:54] #2316/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:07:14] #2317/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:07:50] #2319/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:08:10] #2321/08147 | true=stand | pred=stand | ✓ | ent=1.379 conf=0.450 gap=0.100
[2026-05-12 07:08:27] #2323/08147 | true=stand | pred=stand | ✓ | ent=0.936 conf=0.500 gap=0.050
[2026-05-12 07:08:30] #2324/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:08:55] #2325/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:09:02] #2326/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:09:05] #2327/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:09:24] #2328/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:09:29] #2329/08147 | true=stand | pred=stand | ✓ | ent=0.653 conf=0.840 gap=0.740
[2026-05-12 07:09:59] #2330/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:10:11] #2331/08147 | true=stand | pred=stand | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 07:10:31] #2332/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:10:34] #2333/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:10:37] #2334/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:10:57] #2335/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:11:04] #2336/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:11:13] #2337/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:11:41] #2339/08147 | true=stand | pred=stand | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 07:11:53] #2341/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:12:13] #2342/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 07:12:21] #2343/08147 | true=stand | pred=stand | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 07:12:41] #2344/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:12:45] #2345/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:12:50] #2346/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:12:56] #2347/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:13:06] #2348/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:13:25] #2349/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 07:13:54] #2351/08147 | true=stand | pred=stand | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 07:14:24] #2352/08147 | true=stand | pred=stand | ✓ | ent=0.981 conf=0.700 gap=0.550
[2026-05-12 07:14:27] #2353/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:14:34] #2354/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:14:53] #2355/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:15:47] #2358/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:15:52] #2359/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:15:54] #2360/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:16:04] #2361/08147 | true=stand | pred=stand | ✓ | ent=0.653 conf=0.840 gap=0.740
[2026-05-12 07:16:09] #2362/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:17:13] #2363/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:17:32] #2364/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:17:36] #2365/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 07:18:04] #2366/08147 | true=stand | pred=stand | ✓ | ent=1.862 conf=0.250 gap=0.020
[2026-05-12 07:18:12] #2367/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:18:19] #2368/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:18:24] #2369/08147 | true=stand | pred=stand | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-12 07:18:27] #2370/08147 | true=stand | pred=stand | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 07:18:56] #2372/08147 | true=stand | pred=stand | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 07:19:04] #2373/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:19:07] #2374/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:19:29] #2376/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:20:32] #2377/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:21:37] #2379/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:21:44] #2380/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 07:22:09] #2382/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:22:13] #2383/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:22:16] #2384/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:22:43] #2385/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:23:02] #2388/08147 | true=stand | pred=stand | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 07:23:12] #2389/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:23:43] #2390/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:23:46] #2391/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:23:53] #2392/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:23:57] #2393/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:24:43] #2395/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:24:54] #2396/08147 | true=stand | pred=stand | ✓ | ent=0.431 conf=0.920 gap=0.900
[2026-05-12 07:25:20] #2398/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:25:29] #2399/08147 | true=stand | pred=stand | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-12 07:25:32] #2400/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:26:00] #2401/08147 | true=stand | pred=stand | ✓ | ent=0.895 conf=0.750 gap=0.600
[2026-05-12 07:26:10] #2402/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:26:49] #2404/08147 | true=stand | pred=stand | ✓ | ent=0.540 conf=0.870 gap=0.790
[2026-05-12 07:26:59] #2405/08147 | true=stand | pred=stand | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 07:27:08] #2406/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:28:02] #2407/08147 | true=stand | pred=stand | ✓ | ent=0.950 conf=0.600 gap=0.400
[2026-05-12 07:28:06] #2408/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:28:34] #2410/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:28:46] #2411/08147 | true=stand | pred=stand | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 07:29:08] #2413/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:29:20] #2414/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:29:50] #2416/08147 | true=stand | pred=stand | ✓ | ent=0.844 conf=0.800 gap=0.750
[2026-05-12 07:30:29] #2418/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:30:59] #2419/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.800 gap=0.680
[2026-05-12 07:31:03] #2420/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:31:06] #2421/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:31:09] #2422/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:31:15] #2423/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:31:25] #2424/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 07:31:29] #2425/08147 | true=stand | pred=stand | ✓ | ent=1.677 conf=0.450 gap=0.300
[2026-05-12 07:31:56] #2426/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:31:59] #2427/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:32:13] #2428/08147 | true=stand | pred=stand | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 07:33:06] #2429/08147 | true=stand | pred=stand | ✓ | ent=0.742 conf=0.792 gap=0.644
[2026-05-12 07:33:19] #2430/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:33:22] #2431/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:33:28] #2432/08147 | true=stand | pred=stand | ✓ | ent=1.046 conf=0.650 gap=0.410
[2026-05-12 07:33:30] #2433/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 07:33:51] #2434/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:33:53] #2435/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 07:33:58] #2436/08147 | true=stand | pred=stand | ✓ | ent=0.880 conf=0.750 gap=0.600
[2026-05-12 07:34:04] #2437/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:34:07] #2438/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:34:14] #2439/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:34:22] #2440/08147 | true=stand | pred=stand | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-12 07:34:26] #2441/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:34:45] #2442/08147 | true=stand | pred=stand | ✓ | ent=0.334 conf=0.940 gap=0.930
[2026-05-12 07:34:55] #2443/08147 | true=stand | pred=stand | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 07:35:22] #2446/08147 | true=stand | pred=stand | ✓ | ent=0.585 conf=0.880 gap=0.850
[2026-05-12 07:35:26] #2447/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:35:29] #2448/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:35:31] #2449/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:36:00] #2450/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 07:36:04] #2451/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:36:08] #2452/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:36:11] #2453/08147 | true=stand | pred=stand | ✓ | ent=0.977 conf=0.700 gap=0.500
[2026-05-12 07:36:21] #2455/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 07:36:32] #2456/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:36:35] #2457/08147 | true=stand | pred=stand | ✓ | ent=1.286 conf=0.400 gap=0.050
[2026-05-12 07:36:55] #2458/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:37:04] #2459/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:37:07] #2460/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:37:19] #2461/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:37:24] #2462/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:37:27] #2463/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:37:40] #2464/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:37:51] #2465/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:38:22] #2466/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:38:25] #2467/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:38:33] #2468/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:38:35] #2469/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:39:06] #2471/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:39:09] #2472/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 07:39:12] #2473/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:39:34] #2474/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:39:37] #2475/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:40:09] #2477/08147 | true=stand | pred=stand | ✓ | ent=0.950 conf=0.720 gap=0.540
[2026-05-12 07:40:25] #2478/08147 | true=stand | pred=stand | ✓ | ent=1.440 conf=0.450 gap=0.200
[2026-05-12 07:40:43] #2479/08147 | true=stand | pred=stand | ✓ | ent=1.189 conf=0.600 gap=0.350
[2026-05-12 07:40:46] #2480/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:40:48] #2481/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:40:56] #2482/08147 | true=stand | pred=stand | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-12 07:41:00] #2483/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:41:22] #2484/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.800 gap=0.650
[2026-05-12 07:41:29] #2485/08147 | true=stand | pred=stand | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 07:41:52] #2486/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:42:54] #2488/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:43:28] #2490/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:44:28] #2492/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:44:39] #2493/08147 | true=stand | pred=stand | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 07:45:04] #2494/08147 | true=stand | pred=stand | ✓ | ent=0.786 conf=0.820 gap=0.750
[2026-05-12 07:45:16] #2495/08147 | true=stand | pred=stand | ✓ | ent=0.413 conf=0.890 gap=0.800
[2026-05-12 07:45:21] #2496/08147 | true=stand | pred=stand | ✓ | ent=0.923 conf=0.700 gap=0.480
[2026-05-12 07:45:42] #2497/08147 | true=stand | pred=stand | ✓ | ent=1.830 conf=0.300 gap=0.100
[2026-05-12 07:45:53] #2498/08147 | true=stand | pred=stand | ✓ | ent=0.892 conf=0.750 gap=0.600
[2026-05-12 07:46:01] #2499/08147 | true=stand | pred=stand | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 07:46:57] #2501/08147 | true=stand | pred=stand | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 07:47:09] #2502/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:47:17] #2503/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:48:24] #2506/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 07:49:08] #2508/08147 | true=stand | pred=stand | ✓ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 07:49:12] #2509/08147 | true=stand | pred=stand | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 07:49:15] #2510/08147 | true=stand | pred=stand | ✓ | ent=1.630 conf=0.400 gap=0.150
[2026-05-12 07:49:18] #2511/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:49:22] #2512/08147 | true=stand | pred=stand | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 07:49:26] #2513/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:49:34] #2514/08147 | true=stand | pred=stand | ✓ | ent=0.486 conf=0.900 gap=0.860
[2026-05-12 07:49:42] #2515/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:49:51] #2516/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:49:56] #2517/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:50:13] #2519/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:50:21] #2520/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 07:51:03] #2522/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:51:07] #2523/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 07:51:19] #2524/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:51:23] #2525/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:51:35] #2526/08147 | true=stand | pred=stand | ✓ | ent=0.847 conf=0.780 gap=0.700
[2026-05-12 07:51:39] #2527/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:52:31] #2528/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
