[2026-05-11 21:51:59] HARTH class 5 (stand) T=0.8
[2026-05-11 21:51:59]   8147 windows
[2026-05-11 21:52:24] #0001/08147 | true=stand | pred=stairs_up | ✗ | ent=1.808 conf=0.250 gap=0.050
[2026-05-12 10:57:24] #3335/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 10:57:27] #3336/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 10:57:30] #3337/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 10:57:34] #3338/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 10:57:42] #3339/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 10:57:47] #3340/08147 | true=stand | pred=stand | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-12 10:57:47]   [3340/8147] acc=85% filt=3097
[2026-05-12 10:58:07] #3341/08147 | true=stand | pred=stand | ✓ | ent=1.184 conf=0.650 gap=0.470
[2026-05-12 10:58:16] #3342/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:58:57] #3343/08147 | true=stand | pred=stand | ✓ | ent=1.119 conf=0.650 gap=0.450
[2026-05-12 10:59:23] #3344/08147 | true=stand | pred=stand | ✓ | ent=1.141 conf=0.580 gap=0.280
[2026-05-12 10:59:33] #3345/08147 | true=stand | pred=stand | ✓ | ent=0.466 conf=0.880 gap=0.800
[2026-05-12 10:59:38] #3346/08147 | true=stand | pred=lying | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 10:59:41] #3347/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 10:59:51] #3348/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:00:04] #3349/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:00:13] #3350/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:00:25] #3351/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:00:36] #3352/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:00:56] #3353/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:01:24] #3354/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 11:01:33] #3355/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:01:38] #3356/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:01:47] #3357/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 11:01:52] #3358/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:02:00] #3359/08147 | true=stand | pred=stand | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 11:02:03] #3360/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:02:03]   [3360/8147] acc=85% filt=3117
[2026-05-12 11:02:11] #3361/08147 | true=stand | pred=stand | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 11:02:15] #3362/08147 | true=stand | pred=stand | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 11:02:19] #3363/08147 | true=stand | pred=stand | ✓ | ent=1.143 conf=0.700 gap=0.620
[2026-05-12 11:02:22] #3364/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:02:25] #3365/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:02:29] #3366/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:02:32] #3367/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 11:02:43] #3368/08147 | true=stand | pred=stand | ✓ | ent=0.852 conf=0.800 gap=0.730
[2026-05-12 11:02:52] #3369/08147 | true=stand | pred=stand | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:02:56] #3370/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:03:11] #3371/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:03:22] #3372/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:03:27] #3373/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:03:29] #3374/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:03:45] #3375/08147 | true=stand | pred=shuffle | ✗ | ent=1.034 conf=0.700 gap=0.550
[2026-05-12 11:03:58] #3376/08147 | true=stand | pred=lying | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 11:04:18] #3377/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:04:31] #3378/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:04:35] #3379/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:04:45] #3380/08147 | true=stand | pred=stand | ✓ | ent=0.444 conf=0.900 gap=0.860
[2026-05-12 11:04:45]   [3380/8147] acc=85% filt=3137
[2026-05-12 11:04:48] #3381/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:04:58] #3382/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:05:23] #3383/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:05:40] #3384/08147 | true=stand | pred=shuffle | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:05:48] #3385/08147 | true=stand | pred=stand | ✓ | ent=1.170 conf=0.600 gap=0.350
[2026-05-12 11:05:53] #3386/08147 | true=stand | pred=stand | ✓ | ent=0.716 conf=0.830 gap=0.750
[2026-05-12 11:06:02] #3387/08147 | true=stand | pred=stand | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 11:06:07] #3388/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:06:11] #3389/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 11:06:22] #3390/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:06:28] #3391/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:06:41] #3392/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:06:54] #3393/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:07:02] #3394/08147 | true=stand | pred=stand | ✓ | ent=0.979 conf=0.750 gap=0.670
[2026-05-12 11:07:10] #3395/08147 | true=stand | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 11:07:14] #3396/08147 | true=stand | pred=stand | ✓ | ent=0.952 conf=0.700 gap=0.500
[2026-05-12 11:07:19] #3397/08147 | true=stand | pred=stand | ✓ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 11:07:36] #3398/08147 | true=stand | pred=lying | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:07:40] #3399/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 11:08:05] #3400/08147 | true=stand | pred=stairs_up | ✗ | ent=1.342 conf=0.550 gap=0.300
[2026-05-12 11:08:05]   [3400/8147] acc=85% filt=3156
[2026-05-12 11:08:12] #3401/08147 | true=stand | pred=stairs_down | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 11:08:24] #3402/08147 | true=stand | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 11:08:34] #3403/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:08:47] #3404/08147 | true=stand | pred=stand | ✓ | ent=0.362 conf=0.920 gap=0.870
[2026-05-12 11:09:08] #3405/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:09:11] #3406/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:09:42] #3407/08147 | true=stand | pred=walk | ✗ | ent=1.074 conf=0.700 gap=0.600
[2026-05-12 11:09:46] #3408/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:10:14] #3409/08147 | true=stand | pred=stand | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 11:10:17] #3410/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:11:10] #3411/08147 | true=stand | pred=lying | ✗ | ent=1.283 conf=0.610 gap=0.460
[2026-05-12 11:11:48] #3412/08147 | true=stand | pred=stand | ✓ | ent=1.007 conf=0.750 gap=0.670
[2026-05-12 11:12:12] #3413/08147 | true=stand | pred=stand | ✓ | ent=1.087 conf=0.550 gap=0.200
[2026-05-12 11:12:19] #3414/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:12:22] #3415/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:12:35] #3416/08147 | true=stand | pred=stand | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 11:12:38] #3417/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:12:51] #3418/08147 | true=stand | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:13:21] #3419/08147 | true=stand | pred=shuffle | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:13:26] #3420/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:13:26]   [3420/8147] acc=85% filt=3175
[2026-05-12 11:13:35] #3421/08147 | true=stand | pred=stand | ✓ | ent=1.103 conf=0.700 gap=0.580
[2026-05-12 11:13:55] #3422/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:14:26] #3423/08147 | true=stand | pred=stand | ✓ | ent=1.506 conf=0.400 gap=0.050
[2026-05-12 11:14:39] #3424/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 11:14:46] #3425/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:15:02] #3426/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:15:08] #3427/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:15:23] #3428/08147 | true=stand | pred=stand | ✓ | ent=0.995 conf=0.700 gap=0.550
[2026-05-12 11:15:30] #3429/08147 | true=stand | pred=stand | ✓ | ent=0.904 conf=0.600 gap=0.250
[2026-05-12 11:15:34] #3430/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 11:15:53] #3431/08147 | true=stand | pred=shuffle | ✗ | ent=1.030 conf=0.500 gap=0.200
[2026-05-12 11:16:01] #3432/08147 | true=stand | pred=shuffle | ✗ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 11:17:01] #3433/08147 | true=stand | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 11:17:12] #3434/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 11:17:16] #3435/08147 | true=stand | pred=stand | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 11:17:20] #3436/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 11:17:56] #3437/08147 | true=stand | pred=shuffle | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 11:17:59] #3438/08147 | true=stand | pred=stand | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 11:18:11] #3439/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:18:21] #3440/08147 | true=stand | pred=stand | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 11:18:21]   [3440/8147] acc=85% filt=3191
[2026-05-12 11:18:25] #3441/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:18:33] #3442/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:18:43] #3443/08147 | true=stand | pred=lying | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:18:46] #3444/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:19:00] #3445/08147 | true=stand | pred=stand | ✓ | ent=1.262 conf=0.450 gap=0.050
[2026-05-12 11:19:12] #3446/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:19:17] #3447/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:19:21] #3448/08147 | true=stand | pred=stand | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-12 11:20:14] #3449/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:20:18] #3450/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:20:35] #3451/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:20:39] #3452/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:20:42] #3453/08147 | true=stand | pred=stand | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-12 11:20:47] #3454/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:21:07] #3455/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:21:19] #3456/08147 | true=stand | pred=stand | ✓ | ent=0.630 conf=0.850 gap=0.770
[2026-05-12 11:21:43] #3457/08147 | true=stand | pred=stairs_down | ✗ | ent=1.089 conf=0.600 gap=0.400
[2026-05-12 11:22:13] #3458/08147 | true=stand | pred=shuffle | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 11:23:14] #3459/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:23:20] #3460/08147 | true=stand | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:23:20]   [3460/8147] acc=85% filt=3208
[2026-05-12 11:23:23] #3461/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:23:27] #3462/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:23:30] #3463/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:23:42] #3464/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:23:57] #3465/08147 | true=stand | pred=shuffle | ✗ | ent=0.984 conf=0.620 gap=0.320
[2026-05-12 11:24:01] #3466/08147 | true=stand | pred=stand | ✓ | ent=1.293 conf=0.650 gap=0.550
[2026-05-12 11:24:11] #3467/08147 | true=stand | pred=stand | ✓ | ent=0.971 conf=0.700 gap=0.500
[2026-05-12 11:24:21] #3468/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:24:25] #3469/08147 | true=stand | pred=stand | ✓ | ent=0.964 conf=0.720 gap=0.600
[2026-05-12 11:24:34] #3470/08147 | true=stand | pred=stand | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 11:24:41] #3471/08147 | true=stand | pred=stand | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 11:25:36] #3472/08147 | true=stand | pred=shuffle | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 11:25:43] #3473/08147 | true=stand | pred=stand | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 11:25:51] #3474/08147 | true=stand | pred=stand | ✓ | ent=1.073 conf=0.600 gap=0.300
[2026-05-12 11:25:56] #3475/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:26:03] #3476/08147 | true=stand | pred=stand | ✓ | ent=0.435 conf=0.880 gap=0.780
[2026-05-12 11:26:30] #3477/08147 | true=stand | pred=stand | ✓ | ent=1.003 conf=0.700 gap=0.520
[2026-05-12 11:26:33] #3478/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:26:48] #3479/08147 | true=stand | pred=stand | ✓ | ent=0.959 conf=0.730 gap=0.580
[2026-05-12 11:26:51] #3480/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:26:51]   [3480/8147] acc=85% filt=3228
[2026-05-12 11:27:02] #3481/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:27:33] #3482/08147 | true=stand | pred=shuffle | ✗ | ent=1.474 conf=0.550 gap=0.400
[2026-05-12 11:27:41] #3483/08147 | true=stand | pred=stand | ✓ | ent=1.009 conf=0.700 gap=0.550
[2026-05-12 11:27:50] #3484/08147 | true=stand | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 11:28:02] #3485/08147 | true=stand | pred=stand | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-12 11:28:10] #3486/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 11:28:58] #3487/08147 | true=stand | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 11:29:02] #3488/08147 | true=stand | pred=stand | ✓ | ent=0.367 conf=0.880 gap=0.760
[2026-05-12 11:29:06] #3489/08147 | true=stand | pred=stand | ✓ | ent=0.789 conf=0.800 gap=0.700
[2026-05-12 11:29:11] #3490/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:29:27] #3491/08147 | true=stand | pred=shuffle | ✗ | ent=1.799 conf=0.300 gap=0.150
[2026-05-12 11:29:43] #3492/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:29:51] #3493/08147 | true=stand | pred=stand | ✓ | ent=0.269 conf=0.940 gap=0.910
[2026-05-12 11:29:56] #3494/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:30:22] #3495/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 11:30:50] #3496/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:30:53] #3497/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:30:57] #3498/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 11:31:04] #3499/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:31:08] #3500/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:31:08]   [3500/8147] acc=85% filt=3247
[2026-05-12 11:32:01] #3501/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 11:32:07] #3502/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:32:10] #3503/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 11:32:18] #3504/08147 | true=stand | pred=stand | ✓ | ent=0.486 conf=0.900 gap=0.860
[2026-05-12 11:32:42] #3505/08147 | true=stand | pred=sit | ✗ | ent=0.693 conf=0.800 gap=0.650
[2026-05-12 11:32:54] #3506/08147 | true=stand | pred=stand | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 11:33:18] #3507/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:33:22] #3508/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:33:26] #3509/08147 | true=stand | pred=stand | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 11:33:31] #3510/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:33:55] #3511/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:34:22] #3512/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:34:25] #3513/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 11:34:33] #3514/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 11:34:45] #3515/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:34:55] #3516/08147 | true=stand | pred=stand | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:35:05] #3517/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:35:11] #3518/08147 | true=stand | pred=stand | ✓ | ent=0.742 conf=0.500 gap=0.010
[2026-05-12 11:35:20] #3519/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:35:27] #3520/08147 | true=stand | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:35:27]   [3520/8147] acc=85% filt=3266
[2026-05-12 11:35:56] #3521/08147 | true=stand | pred=shuffle | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 11:36:02] #3522/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:36:20] #3523/08147 | true=stand | pred=stand | ✓ | ent=0.942 conf=0.750 gap=0.630
[2026-05-12 11:36:40] #3524/08147 | true=stand | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 11:36:45] #3525/08147 | true=stand | pred=stand | ✓ | ent=0.630 conf=0.850 gap=0.770
[2026-05-12 11:37:11] #3526/08147 | true=stand | pred=stand | ✓ | ent=0.467 conf=0.880 gap=0.790
[2026-05-12 11:37:14] #3527/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 11:37:18] #3528/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:37:33] #3529/08147 | true=stand | pred=stairs_up | ✗ | ent=0.936 conf=0.500 gap=0.050
[2026-05-12 11:37:45] #3530/08147 | true=stand | pred=stand | ✓ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 11:38:17] #3531/08147 | true=stand | pred=shuffle | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:38:22] #3532/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:38:25] #3533/08147 | true=stand | pred=stand | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 11:38:47] #3534/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:39:17] #3535/08147 | true=stand | pred=stand | ✓ | ent=1.197 conf=0.650 gap=0.500
[2026-05-12 11:39:28] #3536/08147 | true=stand | pred=stand | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:39:32] #3537/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:40:07] #3538/08147 | true=stand | pred=shuffle | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 11:40:11] #3539/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:40:20] #3540/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:40:20]   [3540/8147] acc=85% filt=3284
[2026-05-12 11:40:45] #3541/08147 | true=stand | pred=lying | ✗ | ent=0.647 conf=0.800 gap=0.650
[2026-05-12 11:40:55] #3542/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:41:23] #3543/08147 | true=stand | pred=lying | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:41:46] #3544/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 11:42:00] #3545/08147 | true=stand | pred=stand | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 11:42:21] #3546/08147 | true=stand | pred=stand | ✓ | ent=0.509 conf=0.900 gap=0.870
[2026-05-12 11:42:25] #3547/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:42:34] #3548/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:42:37] #3549/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:42:41] #3550/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:42:52] #3551/08147 | true=stand | pred=stand | ✓ | ent=0.731 conf=0.820 gap=0.740
[2026-05-12 11:43:03] #3552/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:43:18] #3553/08147 | true=stand | pred=stand | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 11:43:23] #3554/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:43:31] #3555/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 11:44:04] #3556/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:44:07] #3557/08147 | true=stand | pred=stand | ✓ | ent=1.477 conf=0.400 gap=0.050
[2026-05-12 11:44:11] #3558/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.900 gap=0.860
[2026-05-12 11:44:14] #3559/08147 | true=stand | pred=stand | ✓ | ent=1.237 conf=0.620 gap=0.470
[2026-05-12 11:44:31] #3560/08147 | true=stand | pred=lying | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:44:31]   [3560/8147] acc=85% filt=3303
[2026-05-12 11:44:41] #3561/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
