[2026-05-11 11:06:41] #0005/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:46:55] #0464/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:49:27] #0468/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.892 | conf=0.750 | gap=0.600
[2026-05-11 14:51:10] #0471/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 14:51:42] #0472/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:51:56] #0473/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:52:11] #0474/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 14:53:19] #0476/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 14:55:18] #0479/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:58:46] #0486/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 14:59:58] #0488/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.879 | conf=0.800 | gap=0.750
[2026-05-11 15:00:53] #0490/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:01:09] #0491/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 15:01:27] #0492/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.601 | conf=0.842 | gap=0.768
[2026-05-11 15:02:32] #0494/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:04:28] #0498/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:04:54] #0499/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 15:05:27] #0500/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.026 | conf=0.650 | gap=0.400
[2026-05-11 15:05:54] #0501/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.656 | conf=0.816 | gap=0.694
[2026-05-11 15:07:08] #0504/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:07:57] #0506/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 15:10:23] #0511/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 15:10:38] #0512/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 15:11:21] #0514/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:11:41] #0515/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 15:12:16] #0516/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 15:13:44] #0518/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.809 | conf=0.800 | gap=0.700
[2026-05-11 15:13:59] #0519/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 15:15:49] #0523/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 15:16:04] #0524/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 15:24:39] #0539/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 15:25:14] #0540/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-11 15:25:29] #0541/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 15:27:16] #0544/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.500 | conf=0.900 | gap=0.880
[2026-05-11 15:28:27] #0546/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 15:29:11] #0548/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 15:29:24] #0549/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:31:05] #0552/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.411 | conf=0.904 | gap=0.851
[2026-05-11 15:32:40] #0554/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.500 | conf=0.900 | gap=0.880
[2026-05-11 15:33:24] #0555/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.850 | gap=0.820
[2026-05-11 15:34:33] #0557/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 15:37:21] #0562/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 15:38:27] #0564/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.081 | conf=0.700 | gap=0.550
[2026-05-11 15:40:31] #0568/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-11 15:42:20] #0571/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:46:02] #0576/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 15:46:20] #0577/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.293 | conf=0.600 | gap=0.480
[2026-05-11 15:46:34] #0578/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 15:47:23] #0579/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.010 | conf=0.632 | gap=0.421
[2026-05-11 15:48:06] #0580/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:49:23] #0582/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:49:53] #0583/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 15:50:08] #0584/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 15:50:43] #0585/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.471 | conf=0.880 | gap=0.800
[2026-05-11 15:50:57] #0586/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 15:52:24] #0589/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:53:55] #0592/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 15:54:25] #0593/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 15:55:43] #0595/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:56:32] #0596/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.879 | conf=0.800 | gap=0.750
[2026-05-11 15:57:34] #0598/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:01:33] #0604/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:02:06] #0605/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 16:02:38] #0606/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.862 | conf=0.737 | gap=0.579
[2026-05-11 16:03:47] #0608/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 16:04:22] #0609/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 16:05:05] #0611/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.761 | conf=0.778 | gap=0.667
[2026-05-11 16:06:49] #0614/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 16:08:02] #0617/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:09:05] #0619/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 16:09:39] #0620/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.869 | conf=0.800 | gap=0.750
[2026-05-11 16:10:09] #0621/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:11:16] #0623/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:11:33] #0624/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 16:12:17] #0626/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:14:26] #0630/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:16:47] #0634/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:18:27] #0638/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.798 | conf=0.789 | gap=0.716
[2026-05-11 16:23:23] #0646/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:24:49] #0649/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 16:25:10] #0650/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.927 | conf=0.737 | gap=0.632
[2026-05-11 16:27:32] #0654/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 16:28:44] #0656/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:29:33] #0657/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.756 | conf=0.820 | gap=0.740
[2026-05-11 16:30:07] #0658/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:30:41] #0659/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.921 | conf=0.750 | gap=0.650
[2026-05-11 16:31:22] #0660/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:32:15] #0661/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:32:29] #0662/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:33:11] #0663/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:33:39] #0664/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 16:34:11] #0665/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 16:34:51] #0667/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:37:01] #0670/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 16:37:12] #0671/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:38:12] #0673/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:38:51] #0674/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 16:39:34] #0675/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.475 | conf=0.900 | gap=0.850
[2026-05-11 16:40:50] #0677/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.949 | conf=0.700 | gap=0.550
[2026-05-11 16:42:13] #0679/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.868 | conf=0.737 | gap=0.600
[2026-05-11 16:42:44] #0680/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:43:45] #0682/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:45:20] #0685/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.722 | gap=0.556
[2026-05-11 16:45:57] #0686/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.987 | conf=0.750 | gap=0.650
[2026-05-11 16:46:31] #0687/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.268 | conf=0.700 | gap=0.620
[2026-05-11 16:47:50] #0690/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:48:25] #0691/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:50:17] #0695/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:50:35] #0696/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 16:52:26] #0699/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:55:27] #0704/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:57:00] #0707/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.867 | conf=0.750 | gap=0.600
[2026-05-11 17:01:27] #0715/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:02:36] #0717/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:02:52] #0718/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 17:03:13] #0719/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:03:33] #0720/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:03:45] #0721/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:19:07] #0721/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:19:48] #0722/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.905 | conf=0.700 | gap=0.500
[2026-05-11 17:21:32] #0725/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:23:08] #0728/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:23:33] #0729/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 17:24:47] #0731/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:26:50] #0734/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.769 | conf=0.789 | gap=0.684
[2026-05-11 17:27:04] #0735/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:27:50] #0736/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:28:19] #0737/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 17:29:38] #0739/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 17:31:04] #0741/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:34:55] #0746/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 17:38:35] #0753/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:42:00] #0756/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 17:43:22] #0759/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 17:44:02] #0760/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 17:45:10] #0762/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 17:46:28] #0764/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=2.059 | conf=0.300 | gap=0.150
[2026-05-11 17:47:30] #0766/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:49:07] #0769/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 17:50:11] #0771/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:50:55] #0773/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:51:44] #0774/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:52:45] #0776/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 17:53:11] #0777/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.753 | conf=0.737 | gap=0.579
[2026-05-11 17:54:28] #0780/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.951 | conf=0.632 | gap=0.368
