[2026-05-11 11:04:24] #0001/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 17:23:33] #0729/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 17:24:08] #0730/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:24:47] #0731/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:25:20] #0732/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.282 | conf=0.700 | gap=0.650
[2026-05-11 17:26:50] #0734/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.769 | conf=0.789 | gap=0.684
[2026-05-11 17:27:04] #0735/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:27:50] #0736/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:28:19] #0737/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 17:28:48] #0738/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=0.778 | conf=0.722 | gap=0.556
[2026-05-11 17:29:38] #0739/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 17:30:48] #0740/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 17:31:04] #0741/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:31:53] #0742/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 17:32:26] #0743/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:33:18] #0744/03347 | true=Sit-up(10) | pred=Stair-down(16) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:33:56] #0745/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:34:55] #0746/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 17:35:24] #0747/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 17:36:05] #0748/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:37:18] #0750/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.682 | conf=0.820 | gap=0.720
[2026-05-11 17:37:48] #0751/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 17:38:17] #0752/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 17:38:35] #0753/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:40:03] #0754/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 17:41:11] #0755/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:42:00] #0756/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 17:43:06] #0758/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:43:22] #0759/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 17:44:02] #0760/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 17:44:34] #0761/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 17:45:10] #0762/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 17:46:14] #0763/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 17:46:54] #0765/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:47:30] #0766/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:47:58] #0767/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 17:48:51] #0768/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 17:49:07] #0769/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 17:49:37] #0770/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.371 | conf=0.918 | gap=0.888
[2026-05-11 17:50:11] #0771/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:50:42] #0772/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 17:50:55] #0773/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:51:44] #0774/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:52:13] #0775/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.982 | conf=0.750 | gap=0.670
[2026-05-11 17:52:45] #0776/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 17:53:11] #0777/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.753 | conf=0.737 | gap=0.579
[2026-05-11 17:53:39] #0778/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.967 | conf=0.765 | gap=0.684
[2026-05-11 17:54:12] #0779/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 17:54:28] #0780/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.951 | conf=0.632 | gap=0.368
[2026-05-11 17:55:05] #0781/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:55:33] #0782/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 17:58:35] #0783/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 18:21:40] #0781/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 18:22:10] #0782/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.943 | conf=0.750 | gap=0.650
[2026-05-11 18:22:44] #0783/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 18:23:20] #0784/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:24:21] #0786/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.807 | conf=0.789 | gap=0.737
[2026-05-11 18:24:38] #0787/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 18:24:54] #0788/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 18:25:21] #0789/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 18:25:45] #0790/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 18:26:11] #0791/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 18:26:41] #0792/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 18:27:08] #0793/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 18:27:22] #0794/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 18:27:52] #0795/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.242 | conf=0.947 | gap=0.916
[2026-05-11 18:28:27] #0796/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.071 | conf=0.720 | gap=0.640
[2026-05-11 18:28:53] #0797/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 18:29:38] #0798/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 18:30:04] #0799/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:30:29] #0800/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 18:30:56] #0801/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 18:31:50] #0802/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 18:32:15] #0803/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 18:32:41] #0804/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 18:33:11] #0805/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 18:33:29] #0806/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.769 | conf=0.789 | gap=0.684
[2026-05-11 18:34:20] #0807/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 18:34:51] #0808/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 18:35:10] #0809/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 18:35:23] #0810/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 18:35:51] #0811/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 18:36:31] #0812/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 18:36:57] #0813/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 18:37:55] #0814/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 18:38:27] #0815/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 18:38:54] #0816/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.223 | conf=0.684 | gap=0.579
[2026-05-11 18:39:26] #0817/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 18:39:41] #0818/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 18:40:28] #0819/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.275 | conf=0.550 | gap=0.300
[2026-05-11 18:40:39] #0820/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 18:41:28] #0821/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.029 | conf=0.750 | gap=0.700
[2026-05-11 18:41:54] #0822/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 18:42:21] #0823/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 18:43:38] #0825/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 18:44:52] #0827/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:45:06] #0828/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 18:45:26] #0829/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.500 | conf=0.900 | gap=0.880
[2026-05-11 18:46:25] #0830/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.254 | conf=0.650 | gap=0.550
[2026-05-11 18:46:52] #0831/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 18:47:26] #0832/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 18:47:52] #0833/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 18:48:25] #0834/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:48:52] #0835/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 18:49:20] #0836/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:49:55] #0837/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=1.228 | conf=0.600 | gap=0.400
[2026-05-11 18:50:19] #0838/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 18:50:56] #0839/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 18:51:41] #0840/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 18:51:52] #0841/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 18:52:07] #0842/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.032 | conf=0.650 | gap=0.450
[2026-05-11 18:52:35] #0843/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.800 | conf=0.800 | gap=0.700
[2026-05-11 18:53:05] #0844/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.477 | conf=0.895 | gap=0.853
[2026-05-11 18:53:16] #0845/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 18:53:42] #0846/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.737 | gap=0.526
[2026-05-11 18:54:02] #0847/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 18:54:41] #0848/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 18:54:56] #0849/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 18:55:40] #0850/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.651 | conf=0.850 | gap=0.800
[2026-05-11 18:56:46] #0851/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 18:57:34] #0852/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 18:58:07] #0853/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 18:58:22] #0854/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.023 | conf=0.700 | gap=0.580
[2026-05-11 18:59:01] #0855/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.585 | conf=0.850 | gap=0.750
[2026-05-11 18:59:44] #0856/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 18:59:53] #0857/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:00:18] #0858/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.193 | conf=0.700 | gap=0.630
[2026-05-11 19:00:43] #0859/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.267 | conf=0.949 | gap=0.929
[2026-05-11 19:01:10] #0860/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.886 | conf=0.650 | gap=0.450
[2026-05-11 19:01:34] #0861/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:02:05] #0862/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 19:02:26] #0863/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:03:16] #0864/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:03:44] #0865/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 19:04:07] #0866/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 19:04:40] #0867/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:05:12] #0868/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-11 19:05:51] #0869/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 19:06:20] #0870/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 19:06:47] #0871/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-11 19:07:21] #0872/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 19:07:36] #0873/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 19:08:11] #0874/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.189 | conf=0.699 | gap=0.613
[2026-05-11 19:08:37] #0875/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.362 | conf=0.650 | gap=0.600
[2026-05-11 19:08:50] #0876/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:09:17] #0877/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 19:10:22] #0879/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 19:10:59] #0880/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:11:31] #0881/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:12:01] #0882/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:12:31] #0883/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 19:12:46] #0884/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:13:18] #0885/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 19:13:35] #0886/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 19:14:03] #0887/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 19:14:37] #0888/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.119 | conf=0.647 | gap=0.529
[2026-05-11 19:15:05] #0889/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 19:15:39] #0890/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 19:16:05] #0891/03347 | true=Sit-up(10) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 19:16:38] #0892/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 19:17:13] #0893/03347 | true=Sit-up(10) | pred=Walk(11) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 19:17:41] #0894/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 19:18:07] #0895/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 19:18:38] #0896/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.362 | conf=0.930 | gap=0.910
[2026-05-11 19:19:01] #0897/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 19:19:46] #0898/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 19:20:16] #0899/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 19:21:22] #0901/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:21:52] #0902/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.536 | conf=0.876 | gap=0.825
[2026-05-11 19:22:23] #0903/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 19:23:15] #0905/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 19:23:41] #0906/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 19:24:14] #0907/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.675 | conf=0.850 | gap=0.810
[2026-05-11 19:24:40] #0908/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 19:25:12] #0909/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.974 | conf=0.667 | gap=0.500
[2026-05-11 19:25:42] #0910/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.721 | conf=0.750 | gap=0.550
[2026-05-11 19:26:10] #0911/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 19:26:39] #0912/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 19:27:23] #0913/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 19:27:51] #0914/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-11 19:28:25] #0915/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.348 | conf=0.611 | gap=0.500
[2026-05-11 19:29:02] #0916/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=0.566 | conf=0.850 | gap=0.750
[2026-05-11 19:29:40] #0917/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.664 | conf=0.850 | gap=0.820
[2026-05-11 19:29:53] #0918/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.060 | conf=0.700 | gap=0.600
[2026-05-11 19:30:23] #0919/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:30:52] #0920/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 19:31:06] #0921/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.729 | conf=0.714 | gap=0.459
[2026-05-11 19:31:54] #0922/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.433 | conf=0.550 | gap=0.450
[2026-05-11 19:32:08] #0923/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 19:32:43] #0925/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:33:09] #0926/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
