[2026-05-08 16:32:10]   [002/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 22:07:13]   [1869/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.75 | top=4:0.86, 6:0.02
[2026-05-08 22:07:29]   [1871/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.30 | top=14:0.93, 8:0.05
[2026-05-08 22:08:15]   [1875/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.99 | top=9:0.45, 11:0.18
[2026-05-08 22:08:23]   [1876/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.25 | top=7:0.75, 4:0.03
[2026-05-08 22:08:28]   [1877/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.22 | top=8:0.95, 14:0.04
[2026-05-08 22:09:37]   [1882/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.72 | top=11:0.80, 16:0.12
[2026-05-08 22:10:47]   [1888/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.22 | top=4:0.70, 6:0.12
[2026-05-08 22:11:12]   [1890/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.52 | top=14:0.85, 8:0.10
[2026-05-08 22:11:41]   [1892/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.38 | top=11:0.70, 12:0.08
[2026-05-08 22:11:52]   [1893/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.52 | top=5:0.92, 0:0.00
[2026-05-08 22:12:06]   [1895/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-08 22:13:55]   [1905/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.56 | top=8:0.90, 14:0.02
[2026-05-08 22:14:09]   [1906/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.33 | top=8:0.95, 14:0.01
[2026-05-08 22:14:19]   [1907/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.30 | top=0:0.95, 1:0.01
[2026-05-08 22:14:29]   [1908/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.59 | top=1:0.83, 2:0.10
[2026-05-08 22:14:48]   [1910/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.23 | top=17:0.97, 16:0.01
[2026-05-08 22:14:57]   [1911/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.12 | top=4:0.78, 7:0.03
[2026-05-08 22:15:36]   [1916/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.86 | top=11:0.82, 12:0.06
[2026-05-08 22:15:49]   [1918/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-08 22:16:42]   [1923/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.10 | top=8:0.98, 14:0.01
[2026-05-08 22:17:14]   [1926/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.81 | top=1:0.76, 2:0.13
[2026-05-08 22:17:40]   [1928/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.55 | top=6:0.86, 5:0.10
[2026-05-08 22:18:47]   [1934/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 22:20:35]   [1945/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.72 | top=11:0.82, 12:0.06
[2026-05-08 22:20:44]   [1946/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.04 | top=16:0.70, 15:0.10
[2026-05-08 22:20:59]   [1948/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.30 | top=0:0.95, 1:0.01
[2026-05-08 22:21:27]   [1950/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.54 | top=4:0.66, 10:0.07
[2026-05-08 22:22:26]   [1956/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.64 | top=1:0.80, 0:0.15
[2026-05-08 22:22:32]   [1957/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.47 | top=17:0.92, 16:0.02
[2026-05-08 22:22:53]   [1959/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.57 | top=0:0.85, 1:0.10
[2026-05-08 22:23:09]   [1960/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=1.63 | top=14:0.55, 8:0.10
[2026-05-08 22:24:30]   [1968/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.43 | top=0:0.90, 2:0.06
[2026-05-08 22:24:49]   [1971/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 17:0.05
[2026-05-08 22:25:09]   [1973/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.64 | top=11:0.85, 12:0.07
[2026-05-08 22:25:24]   [1975/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.42 | top=6:0.68, 4:0.10
[2026-05-08 22:25:44]   [1977/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.60 | top=4:0.64, 6:0.05
[2026-05-08 22:25:51]   [1978/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.85 | top=6:0.52, 5:0.12
[2026-05-08 22:26:22]   [1982/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.56 | top=0:0.85, 1:0.12
[2026-05-08 22:26:37]   [1984/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-08 22:26:48]   [1985/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.52 | top=2:0.52, 0:0.28
[2026-05-08 22:27:02]   [1986/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-08 22:28:38]   [1996/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.57 | top=5:0.91, 2:0.01
[2026-05-08 22:29:27]   [2000/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.16 | top=4:0.97, 7:0.02
[2026-05-08 22:29:38]   [2001/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.84 | top=0:0.83, 1:0.08
[2026-05-08 22:29:59]   [2004/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.27 | top=16:0.94, 11:0.05
[2026-05-08 22:31:08]   [2009/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.27 | top=0:0.95, 1:0.02
[2026-05-08 22:32:00]   [2014/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.15 | top=0:0.98, 1:0.00
[2026-05-08 22:32:42]   [2019/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.15 | top=14:0.97, 8:0.02
[2026-05-08 22:33:09]   [2022/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.30 | top=16:0.62, 11:0.15
[2026-05-08 22:33:42]   [2026/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.43 | top=15:0.60, 17:0.10
[2026-05-08 22:34:01]   [2028/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.63 | top=5:0.89, 1:0.02
[2026-05-08 22:34:35]   [2031/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-08 22:34:54]   [2033/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.11 | top=4:0.78, 3:0.05
[2026-05-08 22:36:21]   [2040/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.73 | top=16:0.58, 11:0.08
[2026-05-08 22:36:28]   [2041/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.93 | top=5:0.83, 0:0.02
[2026-05-08 22:36:52]   [2043/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.35 | top=5:0.93, 1:0.03
[2026-05-08 22:36:59]   [2044/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.90 | top=6:0.75, 5:0.10
[2026-05-08 22:37:44]   [2048/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.26 | top=14:0.93, 8:0.07
[2026-05-08 22:37:55]   [2049/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=2.00 | top=6:0.45, 3:0.12
[2026-05-08 22:38:38]   [2053/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.52 | top=5:0.92, 0:0.00
[2026-05-08 22:39:37]   [2058/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.18 | top=11:0.72, 13:0.08
[2026-05-08 22:40:51]   [2065/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.97 | top=11:0.81, 12:0.04
[2026-05-08 22:41:07]   [2067/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.52 | top=5:0.92, 0:0.00
[2026-05-08 22:41:22]   [2068/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.44 | top=0:0.92, 1:0.04
[2026-05-08 22:41:55]   [2071/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.06 | top=5:0.99, 17:0.01
[2026-05-08 22:42:27]   [2074/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-08 22:43:57]   [2083/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.62 | top=11:0.85, 12:0.05
[2026-05-08 22:44:52]   [2088/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.88 | top=10:0.50, 7:0.10
[2026-05-08 22:45:10]   [2090/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-08 22:45:25]   [2092/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.48 | top=8:0.91, 14:0.03
[2026-05-08 22:45:46]   [2094/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.44 | top=0:0.92, 1:0.03
[2026-05-08 22:45:55]   [2095/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.41 | top=9:0.92, 11:0.03
[2026-05-08 22:46:06]   [2096/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.20 | top=5:0.97, 1:0.01
[2026-05-08 22:46:17]   [2097/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.34 | top=5:0.94, 0:0.01
[2026-05-08 22:47:44]   [2106/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.58 | top=3:0.65, 0:0.05
[2026-05-08 22:48:50]   [2112/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.27 | top=8:0.95, 14:0.03
[2026-05-08 22:49:59]   [2118/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.33 | top=4:0.72, 6:0.05
[2026-05-08 22:50:16]   [2120/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.55 | top=5:0.91, 6:0.01
[2026-05-08 22:50:38]   [2122/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.39 | top=4:0.93, 0:0.01
[2026-05-08 22:51:32]   [2128/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.19 | top=11:0.97, 12:0.00
[2026-05-08 22:52:15]   [2132/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.80 | top=4:0.85, 1:0.02
[2026-05-08 22:52:47]   [2135/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.60 | top=0:0.90, 1:0.02
[2026-05-08 22:52:59]   [2136/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-08 22:53:30]   [2138/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=1.24 | top=8:0.70, 14:0.10
[2026-05-08 22:53:55]   [2141/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.54 | top=5:0.91, 2:0.01
[2026-05-08 22:54:01]   [2142/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.28 | top=8:0.92, 14:0.08
[2026-05-08 22:55:03]   [2148/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.36 | top=11:0.70, 12:0.08
[2026-05-08 22:55:12]   [2149/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.40 | top=16:0.68, 15:0.06
[2026-05-08 22:55:35]   [2151/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.29 | top=4:0.72, 3:0.04
[2026-05-08 22:56:20]   [2156/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.42 | top=1:0.66, 0:0.12
[2026-05-08 22:57:45]   [2164/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.66 | top=0:0.88, 1:0.02
[2026-05-08 22:58:33]   [2168/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.55 | top=5:0.91, 6:0.01
[2026-05-08 22:59:06]   [2170/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.28 | top=9:0.96, 7:0.01
[2026-05-08 22:59:23]   [2171/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.92 | top=8:0.83, 0:0.01
[2026-05-08 23:00:11]   [2175/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.39 | top=1:0.66, 0:0.14
[2026-05-08 23:00:46]   [2179/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.76 | top=1:0.85, 2:0.05
[2026-05-08 23:02:00]   [2186/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.26 | top=17:0.70, 16:0.08
[2026-05-08 23:02:27]   [2188/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.57 | top=8:0.88, 14:0.05
[2026-05-08 23:02:42]   [2189/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.78 | top=0:0.86, 1:0.02
[2026-05-08 23:04:27]   [2199/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.06 | top=14:0.99, 8:0.01
[2026-05-08 23:04:55]   [2202/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.58 | top=0:0.90, 1:0.01
[2026-05-08 23:05:03]   [2203/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.25 | top=14:0.94, 8:0.05
[2026-05-08 23:05:23]   [2205/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.17 | top=11:0.76, 12:0.05
[2026-05-08 23:05:45]   [2207/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.15 | top=2:0.66, 1:0.20
[2026-05-08 23:06:13]   [2209/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.55 | top=1:0.45, 0:0.30
[2026-05-08 23:06:23]   [2210/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.21 | top=0:0.96, 2:0.02
[2026-05-08 23:06:31]   [2211/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.54 | top=16:0.83, 11:0.15
[2026-05-08 23:06:53]   [2213/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.89 | top=0:0.82, 2:0.05
[2026-05-08 23:07:50]   [2216/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.23 | top=11:0.75, 12:0.04
[2026-05-08 23:08:26]   [2219/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.82 | top=14:0.82, 11:0.05
[2026-05-08 23:08:37]   [2220/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.23 | top=2:0.67, 1:0.18
[2026-05-08 23:08:47]   [2221/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.20 | top=8:0.95, 14:0.05
[2026-05-08 23:09:40]   [2225/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=2.09 | top=8:0.40, 14:0.20
[2026-05-08 23:09:49]   [2226/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.38 | top=4:0.93, 6:0.02
[2026-05-08 23:10:13]   [2228/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=2.01 | top=3:0.49, 2:0.12
[2026-05-08 23:11:31]   [2234/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.36 | top=4:0.72, 6:0.03
[2026-05-08 23:11:44]   [2235/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-08 23:12:57]   [2241/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.57 | top=6:0.65, 3:0.05
[2026-05-08 23:13:03]   [2242/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.20 | top=4:0.96, 7:0.02
[2026-05-08 23:13:18]   [2244/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.27 | top=1:0.71, 2:0.10
[2026-05-08 23:14:00]   [2247/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.46 | top=0:0.92, 1:0.02
[2026-05-08 23:14:08]   [2248/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.60 | top=8:0.89, 14:0.03
[2026-05-08 23:14:32]   [2251/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.29 | top=0:0.94, 1:0.03
[2026-05-08 23:15:53]   [2258/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.61 | top=14:0.80, 8:0.15
[2026-05-08 23:16:04]   [2259/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.62 | top=14:0.82, 8:0.15
[2026-05-08 23:16:18]   [2260/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.31 | top=0:0.71, 1:0.08
[2026-05-08 23:16:25]   [2261/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.01 | top=6:0.75, 4:0.08
[2026-05-08 23:17:40]   [2269/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.58 | top=0:0.90, 1:0.01
[2026-05-08 23:17:50]   [2270/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.42 | top=0:0.91, 1:0.06
[2026-05-08 23:17:57]   [2271/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.39 | top=3:0.71, 2:0.05
[2026-05-08 23:18:03]   [2272/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.23 | top=0:0.97, 1:0.01
[2026-05-08 23:19:02]   [2277/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.67 | top=0:0.85, 1:0.05
[2026-05-08 23:20:40]   [2287/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.30 | top=8:0.94, 14:0.03
[2026-05-08 23:20:58]   [2289/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.96 | top=5:0.83, 6:0.02
[2026-05-08 23:21:09]   [2290/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.22 | top=6:0.72, 10:0.07
[2026-05-08 23:21:51]   [2293/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.55 | top=1:0.88, 0:0.05
[2026-05-08 23:22:09]   [2295/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=2.15 | top=10:0.40, 6:0.15
[2026-05-08 23:22:39]   [2298/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.20 | top=8:0.95, 14:0.05
[2026-05-08 23:23:00]   [2300/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.42 | top=14:0.92, 8:0.04
[2026-05-08 23:23:09]   [2301/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.71 | top=11:0.85, 12:0.05
[2026-05-08 23:24:02]   [2307/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=0.84 | top=2:0.72, 0:0.15
[2026-05-08 23:24:13]   [2308/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.47 | top=0:0.92, 1:0.03
[2026-05-08 23:25:03]   [2312/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.72 | top=9:0.85, 15:0.06
[2026-05-08 23:25:13]   [2313/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.57 | top=0:0.85, 1:0.10
[2026-05-08 23:26:07]   [2318/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.30 | top=0:0.95, 1:0.01
[2026-05-08 23:26:12]   [2319/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.92 | top=0:0.82, 1:0.05
[2026-05-08 23:26:33]   [2321/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.80 | top=17:0.44, 16:0.15
[2026-05-08 23:27:05]   [2325/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.13 | top=14:0.98, 8:0.01
[2026-05-08 23:27:21]   [2327/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.78 | top=0:0.82, 1:0.08
[2026-05-08 23:27:26]   [2328/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=0.96 | top=3:0.83, 2:0.02
[2026-05-08 23:27:45]   [2330/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=2.07 | top=16:0.42, 17:0.14
[2026-05-08 23:28:14]   [2333/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.32 | top=0:0.95, 1:0.02
[2026-05-08 23:28:37]   [2336/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.47 | top=8:0.90, 14:0.05
[2026-05-08 23:28:53]   [2337/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.22 | top=1:0.69, 0:0.15
[2026-05-08 23:29:12]   [2339/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.59 | top=0:0.82, 1:0.15
[2026-05-08 23:29:21]   [2340/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.45 | top=6:0.68, 3:0.05
[2026-05-08 23:29:37]   [2342/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.72 | top=4:0.86, 6:0.03
[2026-05-08 23:30:18]   [2346/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.38 | top=9:0.92, 15:0.03
[2026-05-08 23:31:13]   [2352/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.38 | top=0:0.94, 1:0.01
[2026-05-08 23:32:42]   [2362/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.71 | top=6:0.88, 5:0.02
[2026-05-08 23:33:38]   [2366/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.22 | top=0:0.96, 1:0.02
[2026-05-08 23:34:10]   [2370/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.38 | top=8:0.92, 14:0.04
[2026-05-08 23:34:36]   [2372/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=-0.00 | top=4:1.00, 0:0.00
[2026-05-08 23:34:42]   [2373/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.08 | top=11:0.79, 12:0.03
[2026-05-08 23:35:21]   [2377/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.78 | top=5:0.86, 0:0.02
[2026-05-08 23:35:51]   [2380/41505] | true=Walk-circle(13) | pred=Walk-circle(13) |  ✓ | ent=1.83 | top=13:0.45, 11:0.15
[2026-05-08 23:36:01]   [2381/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=-0.00 | top=5:1.00, 0:0.00
[2026-05-08 23:36:43]   [2384/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.30 | top=4:0.95, 3:0.02
[2026-05-08 23:36:57]   [2385/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.88 | top=1:0.70, 0:0.25
[2026-05-08 23:37:07]   [2386/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.27 | top=14:0.95, 8:0.02
[2026-05-08 23:37:29]   [2388/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.21 | top=3:0.72, 0:0.08
[2026-05-08 23:38:11]   [2391/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=0.74 | top=15:0.80, 12:0.08
[2026-05-08 23:38:31]   [2393/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=0.52 | top=10:0.92, 0:0.00
[2026-05-08 23:39:00]   [2396/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.32 | top=4:0.69, 6:0.08
[2026-05-08 23:39:39]   [2400/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=0.67 | top=2:0.86, 1:0.05
[2026-05-08 23:39:51]   [2401/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.32 | top=0:0.95, 1:0.02
[2026-05-08 23:40:24]   [2404/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.29 | top=4:0.69, 6:0.10
[2026-05-08 23:40:50]   [2406/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.81 | top=4:0.82, 3:0.05
[2026-05-08 23:41:29]   [2410/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.86 | top=17:0.43, 14:0.14
[2026-05-08 23:41:43]   [2411/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.14 | top=5:0.98, 2:0.00
[2026-05-08 23:42:26]   [2415/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.17 | top=6:0.75, 5:0.05
[2026-05-08 23:42:33]   [2416/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.28 | top=4:0.72, 6:0.05
[2026-05-08 23:42:55]   [2419/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.11 | top=5:0.98, 0:0.01
[2026-05-08 23:43:21]   [2422/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=1.40 | top=8:0.71, 14:0.05
[2026-05-08 23:43:57]   [2425/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.76 | top=11:0.45, 16:0.20
[2026-05-08 23:45:59]   [2437/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.26 | top=0:0.95, 2:0.02
[2026-05-08 23:46:32]   [2441/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.45 | top=0:0.92, 1:0.04
[2026-05-08 23:46:59]   [2443/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.54 | top=6:0.64, 3:0.08
[2026-05-08 23:47:12]   [2444/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.35 | top=4:0.72, 7:0.04
[2026-05-08 23:47:42]   [2447/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 23:47:58]   [2449/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.52 | top=17:0.90, 16:0.05
