[2026-05-08 11:36:33]   [001/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:51:17]   [200/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:51:20]   [201/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:51:25]   [202/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:51:33]   [203/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=1.00 | top=2:0.65, 0:0.15
[2026-05-08 11:51:41]   [204/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:51:44]   [205/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:51:49]   [206/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:51:58]   [207/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:52:01]   [208/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=1.17 | top=2:0.55, 3:0.20
[2026-05-08 11:52:04]   [209/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:52:06]   [210/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:52:14]   [211/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.83 | top=2:0.75, 1:0.10
[2026-05-08 11:52:21]   [212/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.17 | top=2:0.55, 1:0.20
[2026-05-08 11:52:24]   [213/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:52:32]   [214/673] | true=sit_on_bed(0) | pred=ambulating(3) |  ✗ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 11:52:35]   [215/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:52:40]   [216/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:52:48]   [217/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:52:51]   [218/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:52:57]   [219/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=1.11 | top=2:0.60, 0:0.15
[2026-05-08 11:53:00]   [220/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:04]   [221/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:08]   [222/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:19]   [223/673] | true=ambulating(3) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 11:53:24]   [224/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:53:29]   [225/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:32]   [226/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:35]   [227/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:37]   [228/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:40]   [229/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:53:45]   [230/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=1.00 | top=2:0.65, 0:0.15
[2026-05-08 11:53:47]   [231/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:53:51]   [232/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.80 | top=0:0.75, 1:0.15
[2026-05-08 11:53:55]   [233/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:54:00]   [234/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.83 | top=2:0.75, 1:0.10
[2026-05-08 11:54:07]   [235/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:54:11]   [236/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.98 | top=2:0.68, 0:0.12
[2026-05-08 11:54:15]   [237/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:54:24]   [238/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:54:28]   [239/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.11 | top=2:0.60, 0:0.15
[2026-05-08 11:54:32]   [240/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:54:35]   [241/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:54:38]   [242/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:54:40]   [243/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:54:44]   [244/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 11:54:46]   [245/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:54:48]   [246/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 11:54:51]   [247/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 11:54:54]   [248/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:54:59]   [249/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:55:02]   [250/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:55:05]   [251/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:55:07]   [252/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:55:10]   [253/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:55:13]   [254/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:55:18]   [255/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:55:24]   [256/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:55:31]   [257/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:55:35]   [258/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 11:55:41]   [259/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:55:47]   [260/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.03 | top=0:0.62, 1:0.22
[2026-05-08 11:55:51]   [261/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.03 | top=0:0.62, 1:0.22
[2026-05-08 11:55:53]   [262/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:55:55]   [263/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 11:56:00]   [264/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:56:06]   [265/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:56:10]   [266/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 11:56:12]   [267/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:56:14]   [268/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:56:16]   [269/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 11:56:18]   [270/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:56:21]   [271/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 11:56:23]   [272/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:56:26]   [273/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:56:29]   [274/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:56:34]   [275/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 11:56:37]   [276/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.16 | top=0:0.45, 1:0.35
[2026-05-08 11:56:40]   [277/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:56:51]   [278/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:56:54]   [279/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:56:56]   [280/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:56:58]   [281/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:00]   [282/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:03]   [283/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 11:57:05]   [284/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.16 | top=0:0.45, 1:0.35
[2026-05-08 11:57:07]   [285/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:09]   [286/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:57:12]   [287/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:18]   [288/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:26]   [289/673] | true=sit_on_bed(0) | pred=ambulating(3) |  ✗ | ent=0.91 | top=3:0.70, 0:0.15
[2026-05-08 11:57:28]   [290/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:33]   [291/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.91 | top=2:0.70, 0:0.15
[2026-05-08 11:57:37]   [292/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:39]   [293/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:41]   [294/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:44]   [295/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:50]   [296/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 11:57:53]   [297/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:57:55]   [298/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:58:01]   [299/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:58:08]   [300/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:58:11]   [301/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:58:13]   [302/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 11:58:16]   [303/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:58:19]   [304/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:58:30]   [305/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:58:36]   [306/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:58:44]   [307/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:58:47]   [308/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.90 | top=2:0.72, 1:0.12
[2026-05-08 11:58:54]   [309/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 11:58:58]   [310/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:04]   [311/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:59:06]   [312/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 11:59:12]   [313/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:15]   [314/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:17]   [315/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:19]   [316/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:22]   [317/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.03 | top=0:0.62, 1:0.22
[2026-05-08 11:59:25]   [318/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:26]   [319/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:28]   [320/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:34]   [321/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:59:36]   [322/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 11:59:38]   [323/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:41]   [324/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:45]   [325/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:47]   [326/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:48]   [327/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 11:59:51]   [328/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 11:59:57]   [329/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:00:09]   [330/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:00:11]   [331/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:00:20]   [332/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 12:00:31]   [333/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:00:35]   [334/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:00:53]   [335/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:00:57]   [336/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.00 | top=1:0.65, 0:0.15
[2026-05-08 12:01:01]   [337/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:01:04]   [338/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 12:01:12]   [339/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 12:01:15]   [340/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:01:21]   [341/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:01:25]   [342/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:01:29]   [343/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:01:32]   [344/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:01:35]   [345/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:01:39]   [346/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:01:44]   [347/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:01:52]   [348/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:01:57]   [349/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:02:01]   [350/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:02:06]   [351/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:02:12]   [352/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.91 | top=2:0.70, 1:0.15
[2026-05-08 12:02:24]   [353/673] | true=lying(2) | pred=sit_on_bed(0) |  ✗ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 12:02:33]   [354/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:02:36]   [355/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:02:40]   [356/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:02:43]   [357/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:02:48]   [358/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:02:50]   [359/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:02:54]   [360/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:02:56]   [361/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:02:59]   [362/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:07]   [363/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.83 | top=2:0.75, 1:0.10
[2026-05-08 12:03:09]   [364/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:12]   [365/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:03:17]   [366/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:20]   [367/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:03:30]   [368/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.58, 3:0.22
[2026-05-08 12:03:33]   [369/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:35]   [370/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:38]   [371/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:40]   [372/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:42]   [373/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:45]   [374/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:47]   [375/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 12:03:49]   [376/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:03:53]   [377/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:56]   [378/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:03:58]   [379/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:04:00]   [380/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:04:04]   [381/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:04:07]   [382/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:04:13]   [383/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:04:21]   [384/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:04:23]   [385/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.99 | top=0:0.62, 1:0.25
[2026-05-08 12:04:28]   [386/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:04:32]   [387/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:04:34]   [388/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:04:37]   [389/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:04:39]   [390/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:04:45]   [391/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:04:50]   [392/673] | true=ambulating(3) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:05:02]   [393/673] | true=ambulating(3) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:05:06]   [394/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.90 | top=2:0.72, 0:0.10
[2026-05-08 12:05:09]   [395/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 12:05:22]   [396/673] | true=lying(2) | pred=sit_on_chair(1) |  ✗ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 12:05:25]   [397/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:05:30]   [398/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:05:36]   [399/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
