[2026-05-08 13:50:50]   [001/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:10:04]   [149/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:10:15]   [150/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:10:18]   [151/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:10:23]   [152/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:10:32]   [153/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:10:40]   [154/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.31 | top=2:0.43, 3:0.38
[2026-05-08 14:10:45]   [155/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:10:52]   [156/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:10:55]   [157/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:10:59]   [158/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:11:03]   [159/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:11:09]   [160/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:11:12]   [161/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:11:19]   [162/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:11:22]   [163/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:11:26]   [164/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:11:38]   [165/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:11:44]   [166/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:11:45]   [167/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.33 | top=0:0.55, 5:0.20
[2026-05-08 14:11:54]   [168/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.54 | top=5:0.35, 4:0.30
[2026-05-08 14:12:01]   [169/12738] | true=standing(3) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:12:10]   [170/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:12:13]   [171/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:12:23]   [172/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:12:28]   [173/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:12:33]   [174/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:12:39]   [175/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:12:46]   [176/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:12:48]   [177/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:12:55]   [178/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.35 | top=5:0.55, 0:0.15
[2026-05-08 14:13:04]   [179/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:13:08]   [180/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:13:12]   [181/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:13:19]   [182/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:13:24]   [183/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:13:27]   [184/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:13:37]   [185/12738] | true=standing(3) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:13:42]   [186/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:13:51]   [187/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:14:01]   [188/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 14:14:06]   [189/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:14:10]   [190/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:14:19]   [191/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:14:26]   [192/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:14:36]   [193/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:14:41]   [194/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:14:45]   [195/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:14:47]   [196/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:14:54]   [197/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:15:06]   [198/12738] | true=jogging(1) | pred=walking(5) |  ✗ | ent=1.45 | top=5:0.50, 0:0.15
[2026-05-08 14:15:09]   [199/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:15:11]   [200/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:15:14]   [201/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:15:22]   [202/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.35 | top=5:0.55, 0:0.15
[2026-05-08 14:15:26]   [203/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:15:39]   [204/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:15:46]   [205/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 14:15:53]   [206/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:15:58]   [207/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:16:01]   [208/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:16:04]   [209/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.16 | top=4:0.65, 0:0.15
[2026-05-08 14:16:12]   [210/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.19 | top=5:0.65, 0:0.10
[2026-05-08 14:16:16]   [211/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:16:21]   [212/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:16:31]   [213/12738] | true=standing(3) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:16:34]   [214/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:16:39]   [215/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:16:42]   [216/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:16:46]   [217/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:16:50]   [218/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:16:55]   [219/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:16:58]   [220/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:17:17]   [221/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:17:21]   [222/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:17:34]   [223/12738] | true=downstairs(0) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:17:39]   [224/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:17:46]   [225/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:17:52]   [226/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:17:55]   [227/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:17:57]   [228/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:18:01]   [229/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:18:03]   [230/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.98 | top=1:0.70, 0:0.15
[2026-05-08 14:18:07]   [231/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 14:18:15]   [232/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:18:18]   [233/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:18:25]   [234/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.27 | top=0:0.55, 4:0.25
[2026-05-08 14:18:27]   [235/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:18:37]   [236/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:18:53]   [237/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.33 | top=0:0.55, 5:0.20
[2026-05-08 14:18:57]   [238/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:19:07]   [239/12738] | true=sitting(2) | pred=walking(5) |  ✗ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-08 14:19:11]   [240/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.16 | top=1:0.65, 0:0.15
[2026-05-08 14:19:18]   [241/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:19:27]   [242/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.35 | top=4:0.55, 0:0.15
[2026-05-08 14:19:32]   [243/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:19:39]   [244/12738] | true=upstairs(4) | pred=downstairs(0) |  ✗ | ent=1.33 | top=0:0.55, 5:0.20
[2026-05-08 14:19:43]   [245/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:19:57]   [246/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:20:05]   [247/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.76, 0:0.05
[2026-05-08 14:20:09]   [248/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:20:19]   [249/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:20:29]   [250/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:20:34]   [251/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:20:40]   [252/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:20:58]   [253/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:21:05]   [254/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:21:09]   [255/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:21:20]   [256/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:21:26]   [257/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:21:36]   [258/12738] | true=sitting(2) | pred=upstairs(4) |  ✗ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:21:45]   [259/12738] | true=upstairs(4) | pred=walking(5) |  ✗ | ent=1.45 | top=5:0.50, 0:0.15
[2026-05-08 14:21:48]   [260/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.09 | top=1:0.68, 0:0.14
[2026-05-08 14:21:57]   [261/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:22:00]   [262/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 14:22:06]   [263/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.44 | top=4:0.45, 5:0.25
[2026-05-08 14:22:13]   [264/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.96 | top=4:0.75, 0:0.05
[2026-05-08 14:22:18]   [265/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.27 | top=1:0.60, 0:0.15
[2026-05-08 14:22:23]   [266/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:22:31]   [267/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:22:34]   [268/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:22:37]   [269/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:22:44]   [270/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:22:54]   [271/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:22:59]   [272/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.90 | top=3:0.75, 0:0.10
[2026-05-08 14:23:06]   [273/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.40 | top=0:0.45, 5:0.30
[2026-05-08 14:23:09]   [274/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:23:13]   [275/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 14:23:20]   [276/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:23:27]   [277/12738] | true=walking(5) | pred=upstairs(4) |  ✗ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 14:23:40]   [278/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 14:23:46]   [279/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 14:23:54]   [280/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-08 14:23:58]   [281/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
