[2026-05-11 11:07:54] #0006/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.595 | conf=0.820 | gap=0.720
[2026-05-11 20:53:51] #0915/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.886 | conf=0.650 | gap=0.450
[2026-05-11 20:56:44] #0919/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 20:57:01] #0920/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.238 | conf=0.500 | gap=0.200
[2026-05-11 20:57:38] #0921/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 21:02:53] #0929/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 21:09:25] #0938/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 21:09:48] #0939/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 21:11:07] #0941/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.825 | conf=0.720 | gap=0.540
[2026-05-11 21:14:24] #0946/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.986 | conf=0.720 | gap=0.620
[2026-05-11 21:16:57] #0950/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.097 | conf=0.650 | gap=0.470
[2026-05-11 21:17:31] #0951/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.043 | conf=0.700 | gap=0.600
[2026-05-11 21:20:16] #0955/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 21:23:46] #0961/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.330 | conf=0.500 | gap=0.250
[2026-05-11 21:30:46] #0972/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.613 | conf=0.850 | gap=0.780
[2026-05-11 21:31:29] #0973/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 21:36:02] #0981/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.075 | conf=0.650 | gap=0.500
[2026-05-11 21:37:35] #0984/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 21:38:31] Done: 197/986 (20.0%)
[2026-05-12 22:28:59] Done: 197/986 (20.0%)
