[2026-05-11 11:04:17] Class 12 (Walk-backwards) 软标签生成开始
[2026-05-11 11:04:17]   QUICK=False LIMIT=50
[2026-05-11 11:04:17]   温度=0.8 (from api_config)
[2026-05-11 11:04:17]   本类: 986窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:17]   实际生成: 986 窗口
[2026-05-11 11:04:50] #0001/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:48:20] #0178/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 12:48:50] #0179/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.540 | conf=0.880 | gap=0.840
[2026-05-11 12:49:16] #0180/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:49:16]   [180/986] acc=39/180=21.7% filtered=161/180
[2026-05-11 12:49:49] #0181/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:50:12] #0182/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:50:43] #0183/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.197 | conf=0.650 | gap=0.500
[2026-05-11 12:51:18] #0184/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:51:49] #0185/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:52:21] #0186/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:52:48] #0187/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:53:15] #0188/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:53:46] #0189/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.104 | conf=0.550 | gap=0.250
[2026-05-11 12:54:13] #0190/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.698 | conf=0.820 | gap=0.740
[2026-05-11 12:54:54] #0191/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 12:55:24] #0192/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:56:26] #0193/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.386 | conf=0.500 | gap=0.300
[2026-05-11 12:57:05] #0194/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.920 | conf=0.550 | gap=0.490
[2026-05-11 12:57:48] #0195/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.446 | conf=0.500 | gap=0.350
[2026-05-11 12:58:26] #0196/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:59:14] #0197/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.253 | conf=0.950 | gap=0.920
[2026-05-11 12:59:48] #0198/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.472 | conf=0.900 | gap=0.860
[2026-05-11 13:00:44] #0199/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:01:24] #0200/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 13:01:24]   [200/986] acc=41/200=20.5% filtered=178/200
[2026-05-11 13:01:55] #0201/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.742 | conf=0.830 | gap=0.770
[2026-05-11 13:02:29] #0202/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.049 | conf=0.650 | gap=0.450
[2026-05-11 13:03:00] #0203/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:03:18] #0204/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 13:03:54] #0205/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 13:04:25] #0206/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:05:03] #0207/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 13:05:33] #0208/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 13:06:10] #0209/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 13:06:30] #0210/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=1.611 | conf=0.556 | gap=0.500
[2026-05-11 13:06:58] #0211/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.431 | conf=0.900 | gap=0.860
[2026-05-11 13:07:36] #0212/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 13:08:01] #0213/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:08:27] #0214/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 13:08:55] #0215/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 13:09:25] #0216/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.265 | conf=0.450 | gap=0.100
[2026-05-11 13:09:48] #0217/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:10:16] #0218/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:10:29] #0219/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 13:10:51] #0220/00986 | true=Walk-backwards(12) | pred=Lay(5) | ✗ | ent=0.290 | conf=0.939 | gap=0.909
[2026-05-11 13:10:51]   [220/986] acc=46/220=20.9% filtered=196/220
[2026-05-11 13:11:58] #0221/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 13:12:23] #0222/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:12:38] #0223/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.448 | conf=0.350 | gap=0.070
[2026-05-11 13:13:01] #0224/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:13:42] #0225/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.216 | conf=0.550 | gap=0.350
[2026-05-11 13:14:13] #0226/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:14:39] #0227/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:15:04] #0228/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 13:16:04] #0229/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:16:35] #0230/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 13:17:02] #0231/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 13:17:35] #0232/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 13:18:01] #0233/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:18:31] #0234/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:18:59] #0235/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:19:27] #0236/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:19:53] #0237/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:20:35] #0238/00986 | true=Walk-backwards(12) | pred=Lay-stand(6) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:21:08] #0239/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:21:47] #0240/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:21:47]   [240/986] acc=49/240=20.4% filtered=215/240
[2026-05-11 13:22:15] #0241/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 13:22:41] #0242/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 13:23:27] #0243/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.827 | conf=0.700 | gap=0.450
[2026-05-11 13:23:56] #0244/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.837 | conf=0.820 | gap=0.770
[2026-05-11 13:24:51] #0245/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-11 13:25:25] #0246/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-11 13:25:58] #0247/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.571 | conf=0.880 | gap=0.850
[2026-05-11 13:26:25] #0248/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:27:04] #0249/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.400 | conf=0.450 | gap=0.250
[2026-05-11 13:27:38] #0250/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:28:02] #0251/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 13:28:30] #0252/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 13:29:22] #0253/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:29:51] #0254/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 13:30:21] #0255/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 13:30:50] #0256/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:31:16] #0257/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.582 | conf=0.850 | gap=0.770
[2026-05-11 13:31:44] #0258/00986 | true=Walk-backwards(12) | pred=Run(14) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:32:13] #0259/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.684 | conf=0.842 | gap=0.792
[2026-05-11 13:33:17] #0260/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 13:33:17]   [260/986] acc=52/260=20.0% filtered=234/260
[2026-05-11 13:33:53] #0261/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 13:34:23] #0262/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:34:52] #0263/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:35:18] #0264/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=1.113 | conf=0.700 | gap=0.600
[2026-05-11 13:35:39] #0265/00986 | true=Walk-backwards(12) | pred=Lay(5) | ✗ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 13:36:28] #0266/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 13:36:58] #0267/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.539 | conf=0.450 | gap=0.300
[2026-05-11 13:37:33] #0268/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 13:37:59] #0269/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:38:23] #0270/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:38:51] #0271/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 13:39:16] #0272/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.582 | conf=0.850 | gap=0.780
[2026-05-11 13:39:44] #0273/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:40:27] #0274/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.526 | conf=0.880 | gap=0.840
[2026-05-11 13:40:55] #0275/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:41:21] #0276/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 13:41:45] #0277/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:42:25] #0278/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 13:42:55] #0279/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 13:43:27] #0280/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:43:27]   [280/986] acc=54/280=19.3% filtered=253/280
[2026-05-11 13:43:50] #0281/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:44:16] #0282/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 13:44:41] #0283/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:45:11] #0284/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.324 | conf=0.920 | gap=0.860
[2026-05-11 13:45:43] #0285/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 13:46:14] #0286/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:46:39] #0287/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=1.077 | conf=0.700 | gap=0.600
[2026-05-11 13:47:10] #0288/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.897 | conf=0.780 | gap=0.710
[2026-05-11 13:47:45] #0289/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 13:48:22] #0290/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 13:48:50] #0291/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=1.710 | conf=0.550 | gap=0.430
[2026-05-11 13:49:19] #0292/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 13:50:07] #0293/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 13:50:31] #0294/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.499 | conf=0.880 | gap=0.840
[2026-05-11 13:50:58] #0295/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.307 | conf=0.940 | gap=0.920
[2026-05-11 13:51:32] #0296/00986 | true=Walk-backwards(12) | pred=Table-tennis(17) | ✗ | ent=0.898 | conf=0.600 | gap=0.300
[2026-05-11 13:52:03] #0297/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.990 | conf=0.750 | gap=0.680
[2026-05-11 13:52:32] #0298/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:52:59] #0299/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 13:53:20] #0300/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:53:20]   [300/986] acc=57/300=19.0% filtered=272/300
[2026-05-11 13:54:02] #0301/00986 | true=Walk-backwards(12) | pred=Walk-circle(13) | ✗ | ent=1.432 | conf=0.400 | gap=0.150
[2026-05-11 13:54:42] #0302/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.450 | conf=0.880 | gap=0.820
[2026-05-11 13:55:13] #0303/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:55:43] #0304/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:56:24] #0305/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.089 | conf=0.600 | gap=0.400
[2026-05-11 13:56:55] #0306/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 13:57:19] #0307/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 13:57:52] #0308/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:58:36] #0309/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 13:59:23] #0310/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:59:50] #0311/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 14:00:17] #0312/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=1.510 | conf=0.550 | gap=0.400
[2026-05-11 14:00:47] #0313/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 14:01:13] #0314/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:01:48] #0315/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 14:02:19] #0316/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 14:02:49] #0317/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.128 | conf=0.650 | gap=0.500
[2026-05-11 14:03:19] #0318/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:04:09] #0319/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:04:44] #0320/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:04:44]   [320/986] acc=61/320=19.1% filtered=290/320
[2026-05-11 14:05:10] #0321/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.935 | conf=0.750 | gap=0.650
[2026-05-11 14:05:44] #0322/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.780 | conf=0.800 | gap=0.730
[2026-05-11 14:06:23] #0323/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:06:59] #0324/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:07:22] #0325/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 14:07:55] #0326/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.825 | conf=0.750 | gap=0.630
[2026-05-11 14:08:31] #0327/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.926 | conf=0.420 | gap=0.320
[2026-05-11 14:09:19] #0328/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 14:09:54] #0329/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.128 | conf=0.650 | gap=0.500
[2026-05-11 14:10:30] #0330/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.726 | conf=0.300 | gap=0.050
[2026-05-11 14:11:07] #0331/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 14:11:48] #0332/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.261 | conf=0.550 | gap=0.350
[2026-05-11 14:12:35] #0333/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 14:13:01] #0334/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:13:38] #0335/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:14:20] #0336/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.964 | conf=0.700 | gap=0.550
[2026-05-11 14:14:51] #0337/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:15:20] #0338/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 14:15:56] #0339/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:16:27] #0340/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 14:16:27]   [340/986] acc=66/340=19.4% filtered=308/340
[2026-05-11 14:16:56] #0341/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-11 14:17:22] #0342/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 14:17:50] #0343/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:19:29] #0344/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.768 | conf=0.750 | gap=0.550
[2026-05-11 14:19:58] #0345/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 14:20:29] #0346/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:21:00] #0347/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:21:30] #0348/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:22:08] #0349/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.574 | conf=0.850 | gap=0.770
[2026-05-11 14:22:45] #0350/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.187 | conf=0.450 | gap=0.100
[2026-05-11 14:23:18] #0351/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.309 | conf=0.620 | gap=0.520
[2026-05-11 14:23:50] #0352/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.391 | conf=0.918 | gap=0.888
[2026-05-11 14:24:21] #0353/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 14:25:00] #0354/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 14:25:55] #0355/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 14:26:11] #0356/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.305 | conf=0.450 | gap=0.150
