[2026-05-11 11:04:50] #0001/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:06:10] #0209/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 13:06:58] #0211/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.431 | conf=0.900 | gap=0.860
[2026-05-11 13:07:36] #0212/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 13:08:01] #0213/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:08:27] #0214/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 13:08:55] #0215/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 13:09:48] #0217/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:10:16] #0218/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:10:29] #0219/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 13:10:51] #0220/00986 | true=Walk-backwards(12) | pred=Lay(5) | ✗ | ent=0.290 | conf=0.939 | gap=0.909
[2026-05-11 13:11:58] #0221/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.330 | conf=0.550 | gap=0.350
[2026-05-11 13:12:23] #0222/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:13:01] #0224/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:13:42] #0225/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.216 | conf=0.550 | gap=0.350
[2026-05-11 13:14:13] #0226/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:14:39] #0227/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:15:04] #0228/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 13:16:04] #0229/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:16:35] #0230/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 13:17:02] #0231/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 13:17:35] #0232/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 13:18:01] #0233/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:18:31] #0234/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:18:59] #0235/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:19:27] #0236/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:19:53] #0237/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:20:35] #0238/00986 | true=Walk-backwards(12) | pred=Lay-stand(6) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:21:08] #0239/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:21:47] #0240/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:22:15] #0241/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 13:22:41] #0242/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 13:23:27] #0243/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.827 | conf=0.700 | gap=0.450
[2026-05-11 13:23:56] #0244/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.837 | conf=0.820 | gap=0.770
[2026-05-11 13:24:51] #0245/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-11 13:25:25] #0246/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-11 13:25:58] #0247/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.571 | conf=0.880 | gap=0.850
[2026-05-11 13:26:25] #0248/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:27:38] #0250/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:28:02] #0251/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 13:28:30] #0252/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-11 13:29:22] #0253/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:29:51] #0254/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 13:30:21] #0255/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 13:30:50] #0256/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:31:16] #0257/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.582 | conf=0.850 | gap=0.770
[2026-05-11 13:31:44] #0258/00986 | true=Walk-backwards(12) | pred=Run(14) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:32:13] #0259/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.684 | conf=0.842 | gap=0.792
[2026-05-11 13:33:17] #0260/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 13:33:53] #0261/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 13:34:23] #0262/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:34:52] #0263/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:35:18] #0264/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=1.113 | conf=0.700 | gap=0.600
[2026-05-11 13:35:39] #0265/00986 | true=Walk-backwards(12) | pred=Lay(5) | ✗ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 13:36:28] #0266/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 13:37:33] #0268/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 13:37:59] #0269/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:38:23] #0270/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:38:51] #0271/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 13:39:16] #0272/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.582 | conf=0.850 | gap=0.780
[2026-05-11 13:39:44] #0273/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:40:27] #0274/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.526 | conf=0.880 | gap=0.840
[2026-05-11 13:40:55] #0275/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:41:21] #0276/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 13:41:45] #0277/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:42:25] #0278/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 13:42:55] #0279/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 13:43:27] #0280/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:43:50] #0281/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 13:44:16] #0282/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 13:44:41] #0283/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 13:45:11] #0284/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.324 | conf=0.920 | gap=0.860
[2026-05-11 13:45:43] #0285/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 13:46:14] #0286/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:46:39] #0287/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=1.077 | conf=0.700 | gap=0.600
[2026-05-11 13:47:10] #0288/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.897 | conf=0.780 | gap=0.710
[2026-05-11 13:47:45] #0289/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 13:48:22] #0290/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 13:49:19] #0292/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 13:50:07] #0293/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 13:50:31] #0294/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.499 | conf=0.880 | gap=0.840
[2026-05-11 13:50:58] #0295/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.307 | conf=0.940 | gap=0.920
[2026-05-11 13:51:32] #0296/00986 | true=Walk-backwards(12) | pred=Table-tennis(17) | ✗ | ent=0.898 | conf=0.600 | gap=0.300
[2026-05-11 13:52:03] #0297/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.990 | conf=0.750 | gap=0.680
[2026-05-11 13:52:32] #0298/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:52:59] #0299/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 13:53:20] #0300/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:54:42] #0302/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.450 | conf=0.880 | gap=0.820
[2026-05-11 13:55:13] #0303/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:55:43] #0304/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:56:24] #0305/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.089 | conf=0.600 | gap=0.400
[2026-05-11 13:56:55] #0306/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 13:57:19] #0307/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 13:57:52] #0308/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:58:36] #0309/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 13:59:23] #0310/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 13:59:50] #0311/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 14:00:47] #0313/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 14:01:13] #0314/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:01:48] #0315/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 14:02:19] #0316/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 14:02:49] #0317/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.128 | conf=0.650 | gap=0.500
[2026-05-11 14:03:19] #0318/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:04:09] #0319/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:04:44] #0320/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:05:10] #0321/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.935 | conf=0.750 | gap=0.650
[2026-05-11 14:05:44] #0322/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.780 | conf=0.800 | gap=0.730
[2026-05-11 14:06:23] #0323/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:06:59] #0324/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:07:22] #0325/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 14:07:55] #0326/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.825 | conf=0.750 | gap=0.630
[2026-05-11 14:09:19] #0328/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 14:09:54] #0329/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.128 | conf=0.650 | gap=0.500
[2026-05-11 14:11:07] #0331/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 14:11:48] #0332/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.261 | conf=0.550 | gap=0.350
[2026-05-11 14:12:35] #0333/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 14:13:01] #0334/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:13:38] #0335/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:14:20] #0336/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.964 | conf=0.700 | gap=0.550
[2026-05-11 14:14:51] #0337/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:15:20] #0338/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 14:15:56] #0339/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:16:27] #0340/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 14:16:56] #0341/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-11 14:17:22] #0342/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 14:17:50] #0343/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:19:29] #0344/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.768 | conf=0.750 | gap=0.550
[2026-05-11 14:19:58] #0345/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 14:20:29] #0346/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:21:00] #0347/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:21:30] #0348/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:22:08] #0349/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.574 | conf=0.850 | gap=0.770
[2026-05-11 14:23:18] #0351/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.309 | conf=0.620 | gap=0.520
[2026-05-11 14:23:50] #0352/00986 | true=Walk-backwards(12) | pred=Pick(7) | ✗ | ent=0.391 | conf=0.918 | gap=0.888
[2026-05-11 14:24:21] #0353/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 14:25:00] #0354/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 14:25:55] #0355/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 14:26:35] #0357/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 14:27:02] #0358/00986 | true=Walk-backwards(12) | pred=Lay-stand(6) | ✗ | ent=1.481 | conf=0.650 | gap=0.570
[2026-05-11 14:27:44] #0359/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 14:28:33] #0360/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.498 | conf=0.500 | gap=0.400
[2026-05-11 14:29:05] #0361/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 14:29:39] #0362/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 14:30:27] #0363/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 14:30:57] #0364/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:31:28] #0365/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 14:31:54] #0366/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:32:25] #0367/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 14:32:53] #0368/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:33:24] #0369/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 14:33:54] #0370/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.150 | conf=0.650 | gap=0.530
[2026-05-11 14:34:20] #0371/00986 | true=Walk-backwards(12) | pred=Lay-stand(6) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 14:34:48] #0372/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 14:35:23] #0373/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 14:35:50] #0374/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 14:36:32] #0375/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:37:11] #0376/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:37:42] #0377/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 14:38:10] #0378/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:38:34] #0379/00986 | true=Walk-backwards(12) | pred=Table-tennis(17) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 14:39:05] #0380/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:39:34] #0381/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 14:40:10] #0382/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.429 | conf=0.500 | gap=0.300
[2026-05-11 14:41:03] #0383/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.089 | conf=0.600 | gap=0.400
[2026-05-11 14:41:35] #0384/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 14:42:23] #0385/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:42:53] #0386/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:43:19] #0387/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:43:49] #0388/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 14:44:19] #0389/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.803 | conf=0.800 | gap=0.730
[2026-05-11 14:44:52] #0390/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.113 | conf=0.700 | gap=0.600
[2026-05-11 14:45:22] #0391/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=1.220 | conf=0.650 | gap=0.530
[2026-05-11 14:46:11] #0392/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 14:46:55] #0393/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.799 | conf=0.700 | gap=0.450
[2026-05-11 14:47:48] #0394/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 14:48:16] #0395/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:48:45] #0396/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.585 | conf=0.850 | gap=0.780
[2026-05-11 14:49:24] #0397/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.819 | conf=0.700 | gap=0.550
[2026-05-11 14:49:56] #0398/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:50:25] #0399/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:50:59] #0400/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.093 | conf=0.700 | gap=0.600
[2026-05-11 14:51:31] #0401/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 14:53:02] #0403/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 14:53:34] #0404/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 14:54:20] #0405/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:54:49] #0406/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 14:55:34] #0407/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.679 | conf=0.850 | gap=0.800
