[2026-05-11 23:15:03] MotionSense class 5 (walking) T=0.8
[2026-05-11 23:15:03]   3743 windows
[2026-05-11 23:15:14] #0001/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 01:28:14] #0452/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:28:44] #0453/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 01:29:03] #0454/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:29:26] #0455/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:29:55] #0456/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:30:05] #0457/03743 | true=walking | pred=upstairs | ✗ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:30:26] #0458/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:31:35] #0459/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:31:57] #0460/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:31:57]   [460/3743] acc=74% filt=388
[2026-05-12 01:32:20] #0461/03743 | true=walking | pred=upstairs | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:32:39] #0462/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:33:12] #0463/03743 | true=walking | pred=upstairs | ✗ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 01:33:27] #0464/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:33:37] #0465/03743 | true=walking | pred=walking | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-12 01:33:45] #0466/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:33:48] #0467/03743 | true=walking | pred=walking | ✓ | ent=1.089 conf=0.600 gap=0.400
[2026-05-12 01:34:19] #0468/03743 | true=walking | pred=walking | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 01:34:25] #0469/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:34:37] #0470/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 01:34:58] #0471/03743 | true=walking | pred=upstairs | ✗ | ent=0.269 conf=0.940 gap=0.910
[2026-05-12 01:35:13] #0472/03743 | true=walking | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 01:35:33] #0473/03743 | true=walking | pred=walking | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 01:36:02] #0474/03743 | true=walking | pred=jogging | ✗ | ent=0.925 conf=0.550 gap=0.170
[2026-05-12 01:36:32] #0475/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:36:39] #0476/03743 | true=walking | pred=walking | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 01:37:25] #0477/03743 | true=walking | pred=upstairs | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:37:42] #0478/03743 | true=walking | pred=jogging | ✗ | ent=1.122 conf=0.550 gap=0.350
[2026-05-12 01:37:46] #0479/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-12 01:37:55] #0480/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:37:55]   [480/3743] acc=73% filt=407
[2026-05-12 01:38:14] #0481/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:38:31] #0482/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:38:35] #0483/03743 | true=walking | pred=walking | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-12 01:38:38] #0484/03743 | true=walking | pred=walking | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:38:58] #0485/03743 | true=walking | pred=walking | ✓ | ent=1.208 conf=0.500 gap=0.250
[2026-05-12 01:39:14] #0486/03743 | true=walking | pred=walking | ✓ | ent=1.007 conf=0.600 gap=0.300
[2026-05-12 01:39:36] #0487/03743 | true=walking | pred=walking | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 01:39:53] #0488/03743 | true=walking | pred=downstairs | ✗ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 01:40:05] #0489/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 01:40:29] #0490/03743 | true=walking | pred=walking | ✓ | ent=0.753 conf=0.800 gap=0.720
[2026-05-12 01:40:35] #0491/03743 | true=walking | pred=upstairs | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:41:13] #0492/03743 | true=walking | pred=walking | ✓ | ent=1.106 conf=0.600 gap=0.450
[2026-05-12 01:41:25] #0493/03743 | true=walking | pred=walking | ✓ | ent=0.813 conf=0.760 gap=0.610
[2026-05-12 01:41:34] #0494/03743 | true=walking | pred=walking | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 01:43:07] #0495/03743 | true=walking | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 01:43:40] #0496/03743 | true=walking | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:43:43] #0497/03743 | true=walking | pred=walking | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 01:43:56] #0498/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-12 01:44:06] #0499/03743 | true=walking | pred=upstairs | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:44:09] #0500/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 01:44:09]   [500/3743] acc=73% filt=424
[2026-05-12 01:44:14] #0501/03743 | true=walking | pred=jogging | ✗ | ent=1.167 conf=0.400 gap=0.000
[2026-05-12 01:44:27] #0502/03743 | true=walking | pred=walking | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 01:44:36] #0503/03743 | true=walking | pred=walking | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-12 01:44:42] #0504/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:44:55] #0505/03743 | true=walking | pred=walking | ✓ | ent=1.192 conf=0.600 gap=0.400
[2026-05-12 01:45:07] #0506/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:46:11] #0507/03743 | true=walking | pred=upstairs | ✗ | ent=0.988 conf=0.730 gap=0.630
[2026-05-12 01:46:24] #0508/03743 | true=walking | pred=walking | ✓ | ent=0.894 conf=0.700 gap=0.550
[2026-05-12 01:46:45] #0509/03743 | true=walking | pred=walking | ✓ | ent=0.756 conf=0.800 gap=0.700
[2026-05-12 01:46:58] #0510/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:47:02] #0511/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:47:14] #0512/03743 | true=walking | pred=upstairs | ✗ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 01:47:28] #0513/03743 | true=walking | pred=downstairs | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 01:47:38] #0514/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-12 01:47:51] #0515/03743 | true=walking | pred=walking | ✓ | ent=1.060 conf=0.550 gap=0.200
[2026-05-12 01:48:10] #0516/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:48:25] #0517/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 01:48:48] #0518/03743 | true=walking | pred=upstairs | ✗ | ent=1.440 conf=0.450 gap=0.200
[2026-05-12 01:48:53] #0519/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 01:48:57] #0520/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:48:57]   [520/3743] acc=73% filt=440
[2026-05-12 01:49:18] #0521/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 01:49:21] #0522/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-12 01:49:29] #0523/03743 | true=walking | pred=upstairs | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:49:39] #0524/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 01:50:21] #0525/03743 | true=walking | pred=walking | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 01:50:41] #0526/03743 | true=walking | pred=walking | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:50:55] #0527/03743 | true=walking | pred=walking | ✓ | ent=1.369 conf=0.350 gap=0.050
[2026-05-12 01:51:05] #0528/03743 | true=walking | pred=walking | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:51:31] #0529/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:52:03] #0530/03743 | true=walking | pred=walking | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 01:52:32] #0531/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:52:39] #0532/03743 | true=walking | pred=walking | ✓ | ent=0.813 conf=0.760 gap=0.610
[2026-05-12 01:53:12] #0533/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:53:25] #0534/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 01:53:28] #0535/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:53:43] #0536/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:54:06] #0537/03743 | true=walking | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:54:42] #0538/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:55:16] #0539/03743 | true=walking | pred=walking | ✓ | ent=1.311 conf=0.500 gap=0.250
[2026-05-12 01:55:30] #0540/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 01:55:30]   [540/3743] acc=74% filt=457
[2026-05-12 01:55:39] #0541/03743 | true=walking | pred=walking | ✓ | ent=0.878 conf=0.740 gap=0.620
[2026-05-12 01:55:42] #0542/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 01:56:04] #0543/03743 | true=walking | pred=upstairs | ✗ | ent=0.784 conf=0.800 gap=0.720
[2026-05-12 01:56:15] #0544/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:56:35] #0545/03743 | true=walking | pred=walking | ✓ | ent=1.240 conf=0.350 gap=0.050
[2026-05-12 01:56:45] #0546/03743 | true=walking | pred=walking | ✓ | ent=1.158 conf=0.500 gap=0.150
[2026-05-12 01:56:49] #0547/03743 | true=walking | pred=walking | ✓ | ent=1.081 conf=0.400 gap=0.050
[2026-05-12 01:57:15] #0548/03743 | true=walking | pred=upstairs | ✗ | ent=0.671 conf=0.780 gap=0.640
[2026-05-12 01:57:52] #0549/03743 | true=walking | pred=jogging | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 01:58:12] #0550/03743 | true=walking | pred=walking | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 01:58:42] #0551/03743 | true=walking | pred=upstairs | ✗ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 01:58:54] #0552/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:59:08] #0553/03743 | true=walking | pred=walking | ✓ | ent=0.813 conf=0.760 gap=0.610
[2026-05-12 01:59:17] #0554/03743 | true=walking | pred=walking | ✓ | ent=1.065 conf=0.500 gap=0.100
[2026-05-12 01:59:51] #0555/03743 | true=walking | pred=walking | ✓ | ent=0.593 conf=0.830 gap=0.710
[2026-05-12 02:00:12] #0556/03743 | true=walking | pred=walking | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:00:16] #0557/03743 | true=walking | pred=walking | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 02:00:30] #0558/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:00:42] #0559/03743 | true=walking | pred=walking | ✓ | ent=0.959 conf=0.580 gap=0.230
[2026-05-12 02:00:45] #0560/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-12 02:00:45]   [560/3743] acc=74% filt=471
[2026-05-12 02:01:18] #0561/03743 | true=walking | pred=upstairs | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:01:22] #0562/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:01:59] #0563/03743 | true=walking | pred=walking | ✓ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 02:03:06] #0564/03743 | true=walking | pred=upstairs | ✗ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 02:03:34] #0565/03743 | true=walking | pred=walking | ✓ | ent=0.977 conf=0.550 gap=0.200
[2026-05-12 02:04:02] #0566/03743 | true=walking | pred=jogging | ✗ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 02:04:32] #0567/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:05:08] #0568/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:05:34] #0569/03743 | true=walking | pred=walking | ✓ | ent=1.342 conf=0.380 gap=0.030
[2026-05-12 02:05:44] #0570/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:06:11] #0571/03743 | true=walking | pred=downstairs | ✗ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 02:06:44] #0572/03743 | true=walking | pred=upstairs | ✗ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 02:06:48] #0573/03743 | true=walking | pred=walking | ✓ | ent=0.822 conf=0.750 gap=0.630
[2026-05-12 02:06:56] #0574/03743 | true=walking | pred=upstairs | ✗ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 02:07:11] #0575/03743 | true=walking | pred=walking | ✓ | ent=0.957 conf=0.620 gap=0.320
[2026-05-12 02:07:37] #0576/03743 | true=walking | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:07:44] #0577/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:07:55] #0578/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:08:03] #0579/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:08:44] #0580/03743 | true=walking | pred=upstairs | ✗ | ent=0.595 conf=0.820 gap=0.720
[2026-05-12 02:08:44]   [580/3743] acc=73% filt=488
[2026-05-12 02:08:56] #0581/03743 | true=walking | pred=upstairs | ✗ | ent=0.362 conf=0.930 gap=0.910
[2026-05-12 02:09:20] #0582/03743 | true=walking | pred=upstairs | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:09:51] #0583/03743 | true=walking | pred=upstairs | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:10:11] #0584/03743 | true=walking | pred=walking | ✓ | ent=0.473 conf=0.870 gap=0.790
[2026-05-12 02:10:33] #0585/03743 | true=walking | pred=walking | ✓ | ent=0.904 conf=0.680 gap=0.500
[2026-05-12 02:11:00] #0586/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.720 gap=0.570
[2026-05-12 02:11:27] #0587/03743 | true=walking | pred=jogging | ✗ | ent=1.134 conf=0.520 gap=0.220
[2026-05-12 02:11:40] #0588/03743 | true=walking | pred=walking | ✓ | ent=0.887 conf=0.730 gap=0.580
[2026-05-12 02:11:42] #0589/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:12:07] #0590/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:12:10] #0591/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 02:12:13] #0592/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 02:12:28] #0593/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:12:34] #0594/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 02:12:44] #0595/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 02:12:48] #0596/03743 | true=walking | pred=walking | ✓ | ent=1.527 conf=0.400 gap=0.150
[2026-05-12 02:13:01] #0597/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:13:35] #0598/03743 | true=walking | pred=upstairs | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:13:39] #0599/03743 | true=walking | pred=walking | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:13:52] #0600/03743 | true=walking | pred=upstairs | ✗ | ent=0.919 conf=0.700 gap=0.500
[2026-05-12 02:13:52]   [600/3743] acc=73% filt=505
[2026-05-12 02:14:12] #0601/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 02:14:34] #0602/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:14:48] #0603/03743 | true=walking | pred=walking | ✓ | ent=0.913 conf=0.500 gap=0.080
[2026-05-12 02:15:47] #0604/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:15:59] #0605/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:16:16] #0606/03743 | true=walking | pred=upstairs | ✗ | ent=1.139 conf=0.550 gap=0.300
[2026-05-12 02:17:41] #0607/03743 | true=walking | pred=upstairs | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:17:56] #0608/03743 | true=walking | pred=walking | ✓ | ent=0.965 conf=0.690 gap=0.540
[2026-05-12 02:18:08] #0609/03743 | true=walking | pred=walking | ✓ | ent=1.192 conf=0.600 gap=0.400
[2026-05-12 02:18:11] #0610/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:18:17] #0611/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 02:19:08] #0612/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:19:22] #0613/03743 | true=walking | pred=walking | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 02:20:04] #0614/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:20:23] #0615/03743 | true=walking | pred=jogging | ✗ | ent=1.209 conf=0.450 gap=0.100
[2026-05-12 02:20:39] #0616/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:20:51] #0617/03743 | true=walking | pred=walking | ✓ | ent=1.067 conf=0.450 gap=0.150
[2026-05-12 02:21:22] #0618/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:21:26] #0619/03743 | true=walking | pred=walking | ✓ | ent=1.376 conf=0.300 gap=0.050
[2026-05-12 02:21:46] #0620/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:21:46]   [620/3743] acc=73% filt=520
[2026-05-12 02:22:12] #0621/03743 | true=walking | pred=walking | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 02:22:35] #0622/03743 | true=walking | pred=walking | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 02:22:45] #0623/03743 | true=walking | pred=walking | ✓ | ent=0.891 conf=0.750 gap=0.630
[2026-05-12 02:23:12] #0624/03743 | true=walking | pred=walking | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 02:23:15] #0625/03743 | true=walking | pred=walking | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 02:23:17] #0626/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 02:23:27] #0627/03743 | true=walking | pred=walking | ✓ | ent=1.305 conf=0.350 gap=0.050
[2026-05-12 02:23:31] #0628/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:23:42] #0629/03743 | true=walking | pred=upstairs | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 02:24:22] #0630/03743 | true=walking | pred=upstairs | ✗ | ent=1.052 conf=0.650 gap=0.500
[2026-05-12 02:24:50] #0631/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:25:13] #0632/03743 | true=walking | pred=upstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 02:25:48] #0633/03743 | true=walking | pred=walking | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 02:25:57] #0634/03743 | true=walking | pred=walking | ✓ | ent=1.367 conf=0.500 gap=0.300
[2026-05-12 02:26:58] #0635/03743 | true=walking | pred=upstairs | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:27:59] #0636/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 02:28:47] #0637/03743 | true=walking | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 02:29:10] #0638/03743 | true=walking | pred=upstairs | ✗ | ent=1.049 conf=0.450 gap=0.100
[2026-05-12 02:29:25] #0639/03743 | true=walking | pred=downstairs | ✗ | ent=1.040 conf=0.420 gap=0.020
[2026-05-12 02:29:56] #0640/03743 | true=walking | pred=upstairs | ✗ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 02:29:56]   [640/3743] acc=72% filt=536
[2026-05-12 02:29:59] #0641/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 02:30:02] #0642/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 02:31:12] #0643/03743 | true=walking | pred=jogging | ✗ | ent=0.933 conf=0.620 gap=0.340
[2026-05-12 02:31:16] #0644/03743 | true=walking | pred=walking | ✓ | ent=1.209 conf=0.600 gap=0.450
[2026-05-12 02:31:33] #0645/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:31:37] #0646/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 02:31:52] #0647/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 02:32:03] #0648/03743 | true=walking | pred=walking | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 02:32:34] #0649/03743 | true=walking | pred=upstairs | ✗ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 02:32:38] #0650/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:33:05] #0651/03743 | true=walking | pred=walking | ✓ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 02:33:07] #0652/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:33:37] #0653/03743 | true=walking | pred=walking | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 02:33:50] #0654/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:34:10] #0655/03743 | true=walking | pred=walking | ✓ | ent=1.352 conf=0.400 gap=0.050
[2026-05-12 02:34:25] #0656/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:34:46] #0657/03743 | true=walking | pred=upstairs | ✗ | ent=0.332 conf=0.920 gap=0.870
[2026-05-12 02:35:07] #0658/03743 | true=walking | pred=walking | ✓ | ent=0.977 conf=0.550 gap=0.200
[2026-05-12 02:35:41] #0659/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:35:52] #0660/03743 | true=walking | pred=walking | ✓ | ent=1.175 conf=0.600 gap=0.380
[2026-05-12 02:35:52]   [660/3743] acc=73% filt=552
[2026-05-12 02:36:32] #0661/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:36:37] #0662/03743 | true=walking | pred=walking | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:36:47] #0663/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.600 gap=0.350
[2026-05-12 02:37:40] #0664/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 02:37:50] #0665/03743 | true=walking | pred=walking | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 02:38:51] #0666/03743 | true=walking | pred=walking | ✓ | ent=1.192 conf=0.450 gap=0.150
[2026-05-12 02:39:34] #0667/03743 | true=walking | pred=upstairs | ✗ | ent=1.268 conf=0.550 gap=0.350
[2026-05-12 02:39:39] #0668/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 02:39:45] #0669/03743 | true=walking | pred=upstairs | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:39:48] #0670/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:40:26] #0671/03743 | true=walking | pred=upstairs | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:40:35] #0672/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:40:47] #0673/03743 | true=walking | pred=walking | ✓ | ent=1.235 conf=0.450 gap=0.150
[2026-05-12 02:40:52] #0674/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 02:41:12] #0675/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.610 gap=0.360
[2026-05-12 02:41:32] #0676/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:41:43] #0677/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:42:02] #0678/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
