[2026-05-11 11:02:56] Class 4 (Stand-sit) 软标签生成开始
[2026-05-11 11:02:56]   QUICK=False LIMIT=50
[2026-05-11 11:02:56]   温度=0.8 (from api_config)
[2026-05-11 11:02:56]   本类: 6862窗口 (仅加载本类, 内存友好)
[2026-05-11 11:02:56]   实际生成: 6862 窗口
[2026-05-11 11:03:27] #0001/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 23:20:20] #1460/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.114 | conf=0.700 | gap=0.600
[2026-05-11 23:20:20]   [1460/6862] acc=716/1460=49.0% filtered=557/1460
[2026-05-11 23:20:52] #1461/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.878 | conf=0.720 | gap=0.540
[2026-05-11 23:21:49] #1462/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.907 | conf=0.720 | gap=0.570
[2026-05-11 23:22:20] #1463/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.826 | conf=0.737 | gap=0.579
[2026-05-11 23:22:47] #1464/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 23:23:21] #1465/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 23:24:56] #1466/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 23:25:27] #1467/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 23:26:27] #1468/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 23:26:58] #1469/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.698 | conf=0.820 | gap=0.740
[2026-05-11 23:28:42] #1470/06862 | true=Stand-sit(4) | pred=Stair-up(15) | ✗ | ent=1.431 | conf=0.350 | gap=0.050
[2026-05-11 23:29:36] #1471/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:30:11] #1472/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 23:30:25] #1473/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 23:31:00] #1474/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.781 | conf=0.750 | gap=0.600
[2026-05-11 23:31:36] #1475/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=2.098 | conf=0.400 | gap=0.300
[2026-05-11 23:32:19] #1476/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:32:55] #1477/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 23:33:34] #1478/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.543 | conf=0.880 | gap=0.830
[2026-05-11 23:35:07] #1479/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:36:04] #1480/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:36:04]   [1480/6862] acc=728/1480=49.2% filtered=575/1480
[2026-05-11 23:36:17] #1481/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:37:13] #1482/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.451 | conf=0.833 | gap=0.667
[2026-05-11 23:37:26] #1483/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 23:38:48] #1484/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 23:39:03] #1485/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.769 | conf=0.800 | gap=0.730
[2026-05-11 23:40:20] #1486/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:40:32] #1487/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:40:45] #1488/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:41:18] #1489/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=2.035 | conf=0.450 | gap=0.350
[2026-05-11 23:41:46] #1490/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 23:42:01] #1491/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:43:16] #1492/06862 | true=Stand-sit(4) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:44:01] #1493/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 23:44:46] #1494/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:45:19] #1495/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=1.013 | conf=0.500 | gap=0.100
[2026-05-11 23:45:58] #1496/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 23:47:24] #1497/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 23:48:14] #1498/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.952 | conf=0.720 | gap=0.620
[2026-05-11 23:49:07] #1499/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.857 | conf=0.650 | gap=0.400
[2026-05-11 23:49:22] #1500/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:49:22]   [1500/6862] acc=741/1500=49.4% filtered=593/1500
[2026-05-11 23:49:50] #1501/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:50:19] #1502/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 23:51:06] #1503/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 23:51:34] #1504/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.845 | conf=0.550 | gap=0.150
[2026-05-11 23:52:22] #1505/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 23:52:40] #1506/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.524 | conf=0.837 | gap=0.704
[2026-05-11 23:53:27] #1507/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:53:39] #1508/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:54:55] #1509/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=1.165 | conf=0.611 | gap=0.444
[2026-05-11 23:55:28] #1510/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 23:56:48] #1511/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 23:59:02] #1512/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-12 00:00:02] #1513/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 00:00:12] #1514/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 00:00:58] #1515/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-12 00:01:31] #1516/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:02:20] #1517/06862 | true=Stand-sit(4) | pred=Stair-up(15) | ✗ | ent=1.261 | conf=0.550 | gap=0.350
[2026-05-12 00:03:06] #1518/06862 | true=Stand-sit(4) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 00:03:34] #1519/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.733 | conf=0.500 | gap=0.438
[2026-05-12 00:03:46] #1520/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 00:03:46]   [1520/6862] acc=749/1520=49.3% filtered=612/1520
[2026-05-12 00:05:44] #1521/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.305 | conf=0.350 | gap=0.050
[2026-05-12 00:06:19] #1522/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 00:07:00] #1523/06862 | true=Stand-sit(4) | pred=Stair-up(15) | ✗ | ent=1.239 | conf=0.650 | gap=0.530
[2026-05-12 00:07:43] #1524/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-12 00:08:30] #1525/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:09:55] #1526/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.905 | conf=0.700 | gap=0.500
[2026-05-12 00:10:49] #1527/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-12 00:12:06] #1528/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.660 | conf=0.850 | gap=0.800
[2026-05-12 00:13:07] #1529/06862 | true=Stand-sit(4) | pred=Sit(1) | ✗ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-12 00:14:40] #1530/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.627 | conf=0.850 | gap=0.800
[2026-05-12 00:14:50] #1531/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 00:15:07] #1532/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-12 00:15:38] #1533/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:16:09] #1534/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-12 00:16:38] #1535/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 00:17:32] #1536/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-12 00:18:18] #1537/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 00:18:26] #1538/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 00:19:14] #1539/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:19:51] #1540/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.628 | conf=0.800 | gap=0.667
[2026-05-12 00:19:51]   [1540/6862] acc=757/1540=49.2% filtered=631/1540
[2026-05-12 00:20:25] #1541/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-12 00:20:43] #1542/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.435 | conf=0.898 | gap=0.847
[2026-05-12 00:21:29] #1543/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:22:18] #1544/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.554 | conf=0.500 | gap=0.350
[2026-05-12 00:22:36] #1545/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 00:23:38] #1546/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 00:24:44] #1547/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-12 00:25:45] #1548/06862 | true=Stand-sit(4) | pred=Stair-up(15) | ✗ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-12 00:26:21] #1549/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 00:26:47] #1550/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:27:48] #1551/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 00:28:00] #1552/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 00:28:57] #1553/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-12 00:29:11] #1554/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.420 | conf=0.900 | gap=0.840
[2026-05-12 00:29:20] #1555/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:29:56] #1556/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 00:30:31] #1557/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.242 | conf=0.947 | gap=0.916
[2026-05-12 00:31:00] #1558/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.240 | conf=0.700 | gap=0.650
[2026-05-12 00:31:12] #1559/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:33:33] #1560/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 00:33:33]   [1560/6862] acc=767/1560=49.2% filtered=650/1560
[2026-05-12 00:34:34] #1561/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.885 | conf=0.706 | gap=0.529
[2026-05-12 00:34:44] #1562/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 00:36:29] #1563/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=2.084 | conf=0.485 | gap=0.408
[2026-05-12 00:36:39] #1564/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 00:37:27] #1565/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 00:38:52] #1566/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=1.103 | conf=0.650 | gap=0.500
[2026-05-12 00:39:27] #1567/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-12 00:39:43] #1568/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-12 00:39:56] #1569/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 00:41:02] #1570/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-12 00:41:45] #1571/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-12 00:42:22] #1572/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 00:42:35] #1573/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.348 | conf=0.930 | gap=0.910
[2026-05-12 00:43:38] #1574/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.629 | conf=0.833 | gap=0.729
[2026-05-12 00:45:05] #1575/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-12 00:45:53] #1576/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.374 | conf=0.876 | gap=0.753
[2026-05-12 00:47:16] #1577/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 00:47:47] #1578/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 00:50:26] #1579/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 00:50:41] #1580/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 00:50:41]   [1580/6862] acc=779/1580=49.3% filtered=669/1580
[2026-05-12 00:51:49] #1581/06862 | true=Stand-sit(4) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 00:52:01] #1582/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:52:51] #1583/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 00:53:27] #1584/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-12 00:53:44] #1585/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 00:54:15] #1586/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=2.071 | conf=0.450 | gap=0.370
[2026-05-12 00:55:17] #1587/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.307 | conf=0.940 | gap=0.920
[2026-05-12 00:55:50] #1588/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-12 00:56:07] #1589/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-12 00:56:39] #1590/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-12 00:58:06] #1591/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-12 00:59:38] #1592/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.224 | conf=0.941 | gap=0.882
[2026-05-12 01:00:42] #1593/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-12 01:02:25] #1594/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.737 | gap=0.579
[2026-05-12 01:02:58] #1595/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=1.445 | conf=0.579 | gap=0.421
[2026-05-12 01:03:47] #1596/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:04:19] #1597/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-12 01:04:35] #1598/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:05:08] #1599/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:06:12] #1600/06862 | true=Stand-sit(4) | pred=Walk(11) | ✗ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-12 01:06:12]   [1600/6862] acc=790/1600=49.4% filtered=687/1600
[2026-05-12 01:06:44] #1601/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:07:11] #1602/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-12 01:07:41] #1603/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-12 01:08:16] #1604/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.845 | conf=0.720 | gap=0.540
[2026-05-12 01:08:31] #1605/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:09:06] #1606/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.464 | conf=0.900 | gap=0.875
[2026-05-12 01:09:40] #1607/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 01:10:26] #1608/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:10:42] #1609/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-12 01:11:19] #1610/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 01:11:35] #1611/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-12 01:12:33] #1612/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 01:13:52] #1613/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 01:14:40] #1614/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.634 | conf=0.820 | gap=0.710
[2026-05-12 01:14:54] #1615/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:15:20] #1616/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 01:15:39] #1617/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-12 01:16:18] #1618/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-12 01:17:11] #1619/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.566 | conf=0.850 | gap=0.750
[2026-05-12 01:17:43] #1620/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-12 01:17:43]   [1620/6862] acc=801/1620=49.4% filtered=707/1620
[2026-05-12 01:18:36] #1621/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=1.175 | conf=0.600 | gap=0.450
[2026-05-12 01:19:07] #1622/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 01:19:47] #1623/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 01:20:24] #1624/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-12 01:20:40] #1625/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-12 01:21:16] #1626/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 01:21:30] #1627/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 01:22:29] #1628/06862 | true=Stand-sit(4) | pred=Push-up(9) | ✗ | ent=1.224 | conf=0.650 | gap=0.550
[2026-05-12 01:23:01] #1629/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:23:35] #1630/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=2.251 | conf=0.320 | gap=0.140
[2026-05-12 01:23:48] #1631/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-12 01:24:06] #1632/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 01:25:00] #1633/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-12 01:25:37] #1634/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.574 | conf=0.850 | gap=0.770
[2026-05-12 01:26:08] #1635/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 01:27:12] #1636/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:27:56] #1637/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 01:28:49] #1638/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.177 | conf=0.700 | gap=0.600
