[2026-05-11 21:51:10] HARTH class 0 (walk) T=0.8
[2026-05-11 21:51:10]   13069 windows
[2026-05-12 22:30:43] #0001/13069 | true=walk | pred=walk | ✓ | ent=1.499 conf=0.450 gap=0.200
[2026-05-13 04:40:37] #2186/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 04:40:44] #2187/13069 | true=walk | pred=walk | ✓ | ent=0.855 conf=0.800 gap=0.750
[2026-05-13 04:40:58] #2188/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 04:41:09] #2189/13069 | true=walk | pred=stairs_up | ✗ | ent=0.967 conf=0.600 gap=0.300
[2026-05-13 04:41:12] #2190/13069 | true=walk | pred=walk | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-13 04:41:21] #2191/13069 | true=walk | pred=walk | ✓ | ent=0.595 conf=0.850 gap=0.750
[2026-05-13 04:41:33] #2192/13069 | true=walk | pred=walk | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-13 04:41:36] #2193/13069 | true=walk | pred=walk | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-13 04:41:48] #2194/13069 | true=walk | pred=walk | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-13 04:42:00] #2195/13069 | true=walk | pred=stairs_up | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-13 04:42:11] #2196/13069 | true=walk | pred=stairs_up | ✗ | ent=1.304 conf=0.350 gap=0.000
[2026-05-13 04:42:16] #2197/13069 | true=walk | pred=stand | ✗ | ent=0.742 conf=0.500 gap=0.010
[2026-05-13 04:42:24] #2198/13069 | true=walk | pred=walk | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-13 04:42:31] #2199/13069 | true=walk | pred=run | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-13 04:42:44] #2200/13069 | true=walk | pred=walk | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 08:07:15]   [2200/13069] acc=61% filt=1897
[2026-05-13 04:42:55] #2201/13069 | true=walk | pred=walk | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-13 04:43:00] #2202/13069 | true=walk | pred=walk | ✓ | ent=0.683 conf=0.850 gap=0.810
[2026-05-13 04:43:03] #2203/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-13 04:43:06] #2204/13069 | true=walk | pred=walk | ✓ | ent=0.996 conf=0.750 gap=0.680
[2026-05-13 04:43:16] #2205/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 04:43:28] #2206/13069 | true=walk | pred=walk | ✓ | ent=0.263 conf=0.950 gap=0.920
[2026-05-13 04:43:40] #2207/13069 | true=walk | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-13 04:43:48] #2208/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-13 04:43:53] #2209/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 04:44:04] #2210/13069 | true=walk | pred=walk | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-13 04:44:20] #2211/13069 | true=walk | pred=stairs_down | ✗ | ent=1.124 conf=0.650 gap=0.450
[2026-05-13 04:44:27] #2212/13069 | true=walk | pred=walk | ✓ | ent=0.272 conf=0.950 gap=0.930
[2026-05-13 04:44:37] #2213/13069 | true=walk | pred=walk | ✓ | ent=0.654 conf=0.850 gap=0.800
[2026-05-13 04:44:40] #2214/13069 | true=walk | pred=walk | ✓ | ent=0.260 conf=0.950 gap=0.920
[2026-05-13 04:44:51] #2215/13069 | true=walk | pred=stairs_up | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-13 04:45:01] #2216/13069 | true=walk | pred=run | ✗ | ent=0.649 conf=0.850 gap=0.770
[2026-05-13 04:45:07] #2217/13069 | true=walk | pred=walk | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-13 04:45:11] #2218/13069 | true=walk | pred=shuffle | ✗ | ent=1.687 conf=0.300 gap=0.100
[2026-05-13 04:45:24] #2219/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 04:45:30] #2220/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 08:12:49]   [2220/13069] acc=61% filt=1912
[2026-05-13 04:45:33] #2221/13069 | true=walk | pred=walk | ✓ | ent=0.253 conf=0.950 gap=0.920
[2026-05-13 04:45:35] #2222/13069 | true=walk | pred=walk | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-13 04:45:44] #2223/13069 | true=walk | pred=walk | ✓ | ent=0.334 conf=0.940 gap=0.930
[2026-05-13 04:45:59] #2224/13069 | true=walk | pred=stairs_up | ✗ | ent=1.288 conf=0.550 gap=0.350
[2026-05-13 04:46:07] #2225/13069 | true=walk | pred=walk | ✓ | ent=0.241 conf=0.950 gap=0.910
[2026-05-13 04:46:19] #2226/13069 | true=walk | pred=stand | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-13 04:46:21] #2227/13069 | true=walk | pred=walk | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-13 04:46:32] #2228/13069 | true=walk | pred=walk | ✓ | ent=0.606 conf=0.850 gap=0.750
[2026-05-13 04:46:47] #2229/13069 | true=walk | pred=lying | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 04:47:05] #2230/13069 | true=walk | pred=walk | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-13 04:48:02] #2231/13069 | true=walk | pred=stand | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-13 04:49:04] #2232/13069 | true=walk | pred=walk | ✓ | ent=0.341 conf=0.940 gap=0.930
[2026-05-13 04:49:27] #2233/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-13 04:49:30] #2234/13069 | true=walk | pred=walk | ✓ | ent=0.735 conf=0.833 gap=0.784
[2026-05-13 04:49:41] #2235/13069 | true=walk | pred=stairs_up | ✗ | ent=1.822 conf=0.300 gap=0.050
[2026-05-13 04:49:48] #2236/13069 | true=walk | pred=walk | ✓ | ent=1.265 conf=0.650 gap=0.550
[2026-05-13 04:50:05] #2237/13069 | true=walk | pred=stairs_up | ✗ | ent=1.703 conf=0.350 gap=0.100
[2026-05-13 04:50:08] #2238/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-13 04:50:26] #2239/13069 | true=walk | pred=walk | ✓ | ent=1.211 conf=0.650 gap=0.500
[2026-05-13 04:50:34] #2240/13069 | true=walk | pred=walk | ✓ | ent=0.614 conf=0.850 gap=0.770
[2026-05-12 08:17:10]   [2240/13069] acc=61% filt=1930
[2026-05-13 04:50:54] #2241/13069 | true=walk | pred=stairs_down | ✗ | ent=1.228 conf=0.600 gap=0.400
[2026-05-13 04:50:57] #2242/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-13 04:51:05] #2243/13069 | true=walk | pred=walk | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-13 04:51:15] #2244/13069 | true=walk | pred=run | ✗ | ent=0.168 conf=0.970 gap=0.960
[2026-05-13 04:51:25] #2245/13069 | true=walk | pred=run | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-13 04:51:32] #2246/13069 | true=walk | pred=walk | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-13 04:51:35] #2247/13069 | true=walk | pred=walk | ✓ | ent=1.564 conf=0.350 gap=0.000
[2026-05-13 04:51:45] #2248/13069 | true=walk | pred=walk | ✓ | ent=0.967 conf=0.700 gap=0.570
[2026-05-13 04:52:09] #2249/13069 | true=walk | pred=shuffle | ✗ | ent=1.822 conf=0.250 gap=0.050
[2026-05-13 04:52:19] #2250/13069 | true=walk | pred=stand | ✗ | ent=1.665 conf=0.350 gap=0.150
[2026-05-13 04:52:30] #2251/13069 | true=walk | pred=stand | ✗ | ent=0.876 conf=0.600 gap=0.250
[2026-05-13 04:52:42] #2252/13069 | true=walk | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 04:52:52] #2253/13069 | true=walk | pred=walk | ✓ | ent=1.708 conf=0.350 gap=0.050
[2026-05-13 04:52:59] #2254/13069 | true=walk | pred=walk | ✓ | ent=0.122 conf=0.980 gap=0.970
[2026-05-13 04:53:06] #2255/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-13 04:53:11] #2256/13069 | true=walk | pred=walk | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-13 04:53:24] #2257/13069 | true=walk | pred=stairs_up | ✗ | ent=1.287 conf=0.350 gap=0.000
[2026-05-13 04:53:27] #2258/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-13 04:53:36] #2259/13069 | true=walk | pred=walk | ✓ | ent=0.568 conf=0.880 gap=0.840
[2026-05-13 04:53:40] #2260/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 08:23:04]   [2260/13069] acc=61% filt=1947
[2026-05-13 04:53:50] #2261/13069 | true=walk | pred=walk | ✓ | ent=0.408 conf=0.859 gap=0.717
[2026-05-13 04:54:02] #2262/13069 | true=walk | pred=run | ✗ | ent=0.436 conf=0.842 gap=0.684
[2026-05-13 04:54:12] #2263/13069 | true=walk | pred=run | ✗ | ent=0.475 conf=0.900 gap=0.850
[2026-05-13 04:54:15] #2264/13069 | true=walk | pred=walk | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-13 04:54:18] #2265/13069 | true=walk | pred=walk | ✓ | ent=0.660 conf=0.850 gap=0.800
[2026-05-13 04:54:21] #2266/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-13 04:54:25] #2267/13069 | true=walk | pred=walk | ✓ | ent=1.318 conf=0.600 gap=0.450
[2026-05-13 04:54:43] #2268/13069 | true=walk | pred=stairs_up | ✗ | ent=0.799 conf=0.700 gap=0.450
[2026-05-13 04:54:50] #2269/13069 | true=walk | pred=walk | ✓ | ent=0.676 conf=0.850 gap=0.800
[2026-05-13 04:54:56] #2270/13069 | true=walk | pred=walk | ✓ | ent=1.243 conf=0.650 gap=0.550
[2026-05-13 04:55:13] #2271/13069 | true=walk | pred=run | ✗ | ent=0.475 conf=0.900 gap=0.850
[2026-05-13 04:55:23] #2272/13069 | true=walk | pred=walk | ✓ | ent=1.194 conf=0.600 gap=0.350
[2026-05-13 04:55:35] #2273/13069 | true=walk | pred=walk | ✓ | ent=0.895 conf=0.750 gap=0.600
[2026-05-13 04:55:37] #2274/13069 | true=walk | pred=walk | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-13 04:55:46] #2275/13069 | true=walk | pred=walk | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-13 04:56:02] #2276/13069 | true=walk | pred=run | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 04:56:12] #2277/13069 | true=walk | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 04:56:23] #2278/13069 | true=walk | pred=walk | ✓ | ent=0.775 conf=0.750 gap=0.550
[2026-05-13 04:56:37] #2279/13069 | true=walk | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 04:56:50] #2280/13069 | true=walk | pred=run | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 08:28:11]   [2280/13069] acc=61% filt=1965
[2026-05-13 04:56:56] #2281/13069 | true=walk | pred=walk | ✓ | ent=0.431 conf=0.920 gap=0.900
[2026-05-13 04:57:08] #2282/13069 | true=walk | pred=shuffle | ✗ | ent=1.445 conf=0.400 gap=0.200
[2026-05-13 04:57:21] #2283/13069 | true=walk | pred=sit | ✗ | ent=1.904 conf=0.300 gap=0.100
[2026-05-13 04:57:23] #2284/13069 | true=walk | pred=walk | ✓ | ent=1.243 conf=0.650 gap=0.550
[2026-05-13 04:57:31] #2285/13069 | true=walk | pred=walk | ✓ | ent=0.644 conf=0.850 gap=0.800
[2026-05-13 04:57:34] #2286/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-13 04:57:39] #2287/13069 | true=walk | pred=run | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-13 04:57:42] #2288/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 04:57:52] #2289/13069 | true=walk | pred=stairs_up | ✗ | ent=1.096 conf=0.350 gap=0.000
[2026-05-13 04:58:01] #2290/13069 | true=walk | pred=run | ✗ | ent=0.482 conf=0.900 gap=0.850
[2026-05-13 04:58:05] #2291/13069 | true=walk | pred=walk | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-13 04:58:07] #2292/13069 | true=walk | pred=walk | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 04:58:21] #2293/13069 | true=walk | pred=walk | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-13 04:58:26] #2294/13069 | true=walk | pred=stairs_up | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-13 04:58:29] #2295/13069 | true=walk | pred=walk | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-13 04:58:39] #2296/13069 | true=walk | pred=run | ✗ | ent=0.748 conf=0.800 gap=0.700
[2026-05-13 04:58:46] #2297/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-13 04:58:51] #2298/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 04:59:12] #2299/13069 | true=walk | pred=stairs_up | ✗ | ent=1.466 conf=0.350 gap=0.000
[2026-05-13 04:59:19] #2300/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 08:34:35]   [2300/13069] acc=61% filt=1981
[2026-05-13 04:59:27] #2301/13069 | true=walk | pred=run | ✗ | ent=0.526 conf=0.891 gap=0.842
[2026-05-13 04:59:30] #2302/13069 | true=walk | pred=walk | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-13 04:59:44] #2303/13069 | true=walk | pred=walk | ✓ | ent=0.538 conf=0.850 gap=0.730
[2026-05-13 04:59:53] #2304/13069 | true=walk | pred=walk | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-13 04:59:56] #2305/13069 | true=walk | pred=walk | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-13 05:00:06] #2306/13069 | true=walk | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 05:00:16] #2307/13069 | true=walk | pred=walk | ✓ | ent=0.610 conf=0.850 gap=0.780
[2026-05-13 05:00:50] #2308/13069 | true=walk | pred=stairs_down | ✗ | ent=1.043 conf=0.550 gap=0.200
[2026-05-13 05:02:13] #2309/13069 | true=walk | pred=stand | ✗ | ent=0.821 conf=0.740 gap=0.540
[2026-05-13 05:03:06] #2310/13069 | true=walk | pred=run | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-13 05:03:15] #2311/13069 | true=walk | pred=run | ✗ | ent=0.442 conf=0.900 gap=0.850
[2026-05-13 05:03:29] #2312/13069 | true=walk | pred=walk | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-13 05:03:46] #2313/13069 | true=walk | pred=stand | ✗ | ent=1.483 conf=0.400 gap=0.050
[2026-05-13 05:04:02] #2314/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 05:04:22] #2315/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-13 05:04:25] #2316/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-13 05:04:43] #2317/13069 | true=walk | pred=stairs_down | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 05:04:52] #2318/13069 | true=walk | pred=walk | ✓ | ent=1.656 conf=0.350 gap=0.100
[2026-05-13 05:04:57] #2319/13069 | true=walk | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 05:05:12] #2320/13069 | true=walk | pred=stairs_up | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 08:38:38]   [2320/13069] acc=61% filt=2001
[2026-05-13 05:05:37] #2321/13069 | true=walk | pred=shuffle | ✗ | ent=1.888 conf=0.250 gap=0.000
[2026-05-13 05:05:39] #2322/13069 | true=walk | pred=walk | ✓ | ent=0.654 conf=0.850 gap=0.800
[2026-05-13 05:05:44] #2323/13069 | true=walk | pred=walk | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-13 05:06:05] #2324/13069 | true=walk | pred=run | ✗ | ent=0.129 conf=0.980 gap=0.970
[2026-05-13 05:06:15] #2325/13069 | true=walk | pred=walk | ✓ | ent=0.554 conf=0.880 gap=0.840
[2026-05-13 05:06:28] #2326/13069 | true=walk | pred=walk | ✓ | ent=1.092 conf=0.700 gap=0.580
[2026-05-13 05:06:38] #2327/13069 | true=walk | pred=stairs_up | ✗ | ent=1.332 conf=0.400 gap=0.000
[2026-05-13 05:06:46] #2328/13069 | true=walk | pred=walk | ✓ | ent=0.654 conf=0.850 gap=0.800
[2026-05-13 05:06:55] #2329/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 05:07:03] #2330/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 05:07:16] #2331/13069 | true=walk | pred=stairs_up | ✗ | ent=1.332 conf=0.400 gap=0.000
[2026-05-13 05:07:19] #2332/13069 | true=walk | pred=walk | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-13 05:07:21] #2333/13069 | true=walk | pred=walk | ✓ | ent=0.653 conf=0.850 gap=0.800
[2026-05-13 05:07:27] #2334/13069 | true=walk | pred=shuffle | ✗ | ent=1.500 conf=0.450 gap=0.200
[2026-05-13 05:07:39] #2335/13069 | true=walk | pred=stand | ✗ | ent=1.497 conf=0.520 gap=0.370
[2026-05-13 05:07:48] #2336/13069 | true=walk | pred=walk | ✓ | ent=1.235 conf=0.600 gap=0.450
[2026-05-13 05:07:57] #2337/13069 | true=walk | pred=walk | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-13 05:08:10] #2338/13069 | true=walk | pred=walk | ✓ | ent=1.453 conf=0.550 gap=0.430
[2026-05-13 05:08:26] #2339/13069 | true=walk | pred=stairs_up | ✗ | ent=1.396 conf=0.400 gap=0.050
[2026-05-13 05:08:45] #2340/13069 | true=walk | pred=walk | ✓ | ent=0.652 conf=0.850 gap=0.790
[2026-05-12 08:47:29]   [2340/13069] acc=61% filt=2016
[2026-05-13 05:09:00] #2341/13069 | true=walk | pred=stairs_up | ✗ | ent=1.943 conf=0.250 gap=0.050
[2026-05-13 05:09:11] #2342/13069 | true=walk | pred=walk | ✓ | ent=1.237 conf=0.650 gap=0.530
[2026-05-13 05:09:13] #2343/13069 | true=walk | pred=walk | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 05:09:28] #2344/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 05:09:31] #2345/13069 | true=walk | pred=walk | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-13 05:09:39] #2346/13069 | true=walk | pred=walk | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-13 05:09:42] #2347/13069 | true=walk | pred=walk | ✓ | ent=0.600 conf=0.850 gap=0.790
[2026-05-13 05:09:45] #2348/13069 | true=walk | pred=walk | ✓ | ent=1.032 conf=0.750 gap=0.700
[2026-05-13 05:09:55] #2349/13069 | true=walk | pred=run | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-13 05:10:15] #2350/13069 | true=walk | pred=shuffle | ✗ | ent=1.331 conf=0.450 gap=0.100
[2026-05-13 05:10:24] #2351/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 05:10:43] #2352/13069 | true=walk | pred=stairs_down | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-13 05:10:58] #2353/13069 | true=walk | pred=run | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-13 05:11:07] #2354/13069 | true=walk | pred=walk | ✓ | ent=0.817 conf=0.800 gap=0.720
[2026-05-13 05:11:27] #2355/13069 | true=walk | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 05:11:48] #2356/13069 | true=walk | pred=run | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 05:11:58] #2357/13069 | true=walk | pred=walk | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-13 05:14:00] #2358/13069 | true=walk | pred=shuffle | ✗ | ent=1.440 conf=0.450 gap=0.200
[2026-05-13 05:14:11] #2359/13069 | true=walk | pred=walk | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-13 05:14:34] #2360/13069 | true=walk | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 08:53:08]   [2360/13069] acc=61% filt=2034
[2026-05-13 05:14:57] #2361/13069 | true=walk | pred=walk | ✓ | ent=0.462 conf=0.896 gap=0.826
[2026-05-13 05:15:13] #2362/13069 | true=walk | pred=stairs_down | ✗ | ent=1.591 conf=0.350 gap=0.050
[2026-05-13 05:15:28] #2363/13069 | true=walk | pred=run | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-13 05:15:44] #2364/13069 | true=walk | pred=shuffle | ✗ | ent=1.238 conf=0.500 gap=0.300
[2026-05-13 05:16:07] #2365/13069 | true=walk | pred=stairs_down | ✗ | ent=1.222 conf=0.500 gap=0.150
[2026-05-13 05:16:16] #2366/13069 | true=walk | pred=walk | ✓ | ent=0.549 conf=0.880 gap=0.840
[2026-05-13 05:16:28] #2367/13069 | true=walk | pred=run | ✗ | ent=0.317 conf=0.928 gap=0.876
[2026-05-13 05:16:51] #2368/13069 | true=walk | pred=stand | ✗ | ent=1.046 conf=0.500 gap=0.100
[2026-05-13 05:16:58] #2369/13069 | true=walk | pred=walk | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-13 05:17:11] #2370/13069 | true=walk | pred=stand | ✗ | ent=0.752 conf=0.750 gap=0.570
[2026-05-13 05:17:32] #2371/13069 | true=walk | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 05:17:39] #2372/13069 | true=walk | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 05:17:50] #2373/13069 | true=walk | pred=walk | ✓ | ent=1.019 conf=0.720 gap=0.620
[2026-05-13 05:18:02] #2374/13069 | true=walk | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 05:18:04] #2375/13069 | true=walk | pred=walk | ✓ | ent=0.865 conf=0.740 gap=0.630
[2026-05-13 05:18:09] #2376/13069 | true=walk | pred=run | ✗ | ent=1.050 conf=0.700 gap=0.550
[2026-05-13 05:18:21] #2377/13069 | true=walk | pred=walk | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-13 05:18:33] #2378/13069 | true=walk | pred=shuffle | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 05:18:44] #2379/13069 | true=walk | pred=run | ✗ | ent=0.638 conf=0.850 gap=0.800
[2026-05-13 05:18:52] #2380/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 08:57:51]   [2380/13069] acc=61% filt=2053
[2026-05-13 05:18:58] #2381/13069 | true=walk | pred=stairs_up | ✗ | ent=1.184 conf=0.600 gap=0.350
[2026-05-13 05:19:14] #2382/13069 | true=walk | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 05:19:17] #2383/13069 | true=walk | pred=walk | ✓ | ent=0.924 conf=0.780 gap=0.730
[2026-05-13 05:19:38] #2384/13069 | true=walk | pred=sit | ✗ | ent=0.730 conf=0.830 gap=0.750
[2026-05-13 05:19:49] #2385/13069 | true=walk | pred=walk | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-13 05:20:03] #2386/13069 | true=walk | pred=stairs_down | ✗ | ent=1.397 conf=0.600 gap=0.500
[2026-05-13 05:20:06] #2387/13069 | true=walk | pred=walk | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-13 05:20:19] #2388/13069 | true=walk | pred=run | ✗ | ent=0.683 conf=0.850 gap=0.800
[2026-05-13 05:20:26] #2389/13069 | true=walk | pred=walk | ✓ | ent=1.023 conf=0.750 gap=0.700
[2026-05-13 05:20:30] #2390/13069 | true=walk | pred=walk | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-13 05:21:03] #2391/13069 | true=walk | pred=stairs_up | ✗ | ent=1.367 conf=0.550 gap=0.370
[2026-05-13 05:21:21] #2392/13069 | true=walk | pred=walk | ✓ | ent=0.986 conf=0.750 gap=0.680
[2026-05-13 05:22:25] #2393/13069 | true=walk | pred=walk | ✓ | ent=0.574 conf=0.850 gap=0.770
[2026-05-13 05:23:08] #2394/13069 | true=walk | pred=stand | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-13 05:23:30] #2395/13069 | true=walk | pred=run | ✗ | ent=0.428 conf=0.921 gap=0.901
[2026-05-13 05:23:49] #2396/13069 | true=walk | pred=stairs_down | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-13 05:23:59] #2397/13069 | true=walk | pred=walk | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-13 05:24:08] #2398/13069 | true=walk | pred=walk | ✓ | ent=0.378 conf=0.933 gap=0.923
[2026-05-13 05:24:10] #2399/13069 | true=walk | pred=walk | ✓ | ent=0.676 conf=0.850 gap=0.810
[2026-05-13 05:24:32] #2400/13069 | true=walk | pred=run | ✗ | ent=0.119 conf=0.980 gap=0.970
[2026-05-12 09:04:44]   [2400/13069] acc=61% filt=2070
[2026-05-13 05:24:38] #2401/13069 | true=walk | pred=walk | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 05:24:50] #2402/13069 | true=walk | pred=walk | ✓ | ent=1.577 conf=0.300 gap=0.000
[2026-05-13 05:24:56] #2403/13069 | true=walk | pred=stairs_up | ✗ | ent=1.723 conf=0.250 gap=0.000
[2026-05-13 05:25:22] #2404/13069 | true=walk | pred=stand | ✗ | ent=1.253 conf=0.450 gap=0.050
[2026-05-13 05:25:36] #2405/13069 | true=walk | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 05:25:39] #2406/13069 | true=walk | pred=walk | ✓ | ent=0.844 conf=0.800 gap=0.750
[2026-05-13 05:25:44] #2407/13069 | true=walk | pred=walk | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-13 05:25:53] #2408/13069 | true=walk | pred=run | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 05:26:05] #2409/13069 | true=walk | pred=run | ✗ | ent=0.667 conf=0.820 gap=0.720
[2026-05-13 05:26:12] #2410/13069 | true=walk | pred=walk | ✓ | ent=0.365 conf=0.920 gap=0.890
[2026-05-13 05:26:17] #2411/13069 | true=walk | pred=walk | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-13 05:26:25] #2412/13069 | true=walk | pred=walk | ✓ | ent=0.571 conf=0.850 gap=0.750
