[2026-05-11 11:03:46] Class 9 (Push-up) 软标签生成开始
[2026-05-11 11:03:46]   QUICK=False LIMIT=50
[2026-05-11 11:03:46]   温度=0.8 (from api_config)
[2026-05-11 11:03:46]   本类: 1621窗口 (仅加载本类, 内存友好)
[2026-05-11 11:03:46]   实际生成: 1621 窗口
[2026-05-11 11:03:59] #0001/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:15:23] #0187/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=1.712 | conf=0.550 | gap=0.430
[2026-05-11 12:15:38] #0188/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 12:16:00] #0189/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 12:16:09] #0190/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:16:34] #0191/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:17:03] #0192/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:17:20] #0193/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.535 | conf=0.450 | gap=0.200
[2026-05-11 12:17:31] #0194/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:17:56] #0195/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-11 12:18:47] #0196/01621 | true=Push-up(9) | pred=Stair-down(16) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:19:16] #0197/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:19:33] #0198/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.565 | conf=0.450 | gap=0.250
[2026-05-11 12:19:42] #0199/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:20:02] #0200/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-11 12:20:02]   [200/1621] acc=149/200=74.5% filtered=183/200
[2026-05-11 12:20:14] #0201/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:20:24] #0202/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:20:38] #0203/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:20:54] #0204/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:21:14] #0205/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.665 | conf=0.850 | gap=0.800
[2026-05-11 12:21:28] #0206/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 12:21:40] #0207/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:51] #0208/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:22:27] #0209/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.970 | conf=0.700 | gap=0.520
[2026-05-11 12:22:35] #0210/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:22:49] #0211/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:23:01] #0212/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 12:23:33] #0213/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:24:00] #0214/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:24:13] #0215/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.776 | conf=0.820 | gap=0.770
[2026-05-11 12:24:27] #0216/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:24:42] #0217/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.959 | conf=0.750 | gap=0.670
[2026-05-11 12:24:55] #0218/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:25:09] #0219/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 12:25:28] #0220/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:25:28]   [220/1621] acc=168/220=76.4% filtered=203/220
[2026-05-11 12:26:01] #0221/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 12:26:13] #0222/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:26:26] #0223/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 12:26:58] #0224/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=1.144 | conf=0.550 | gap=0.270
[2026-05-11 12:27:27] #0225/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.685 | conf=0.562 | gap=0.125
[2026-05-11 12:27:39] #0226/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 12:28:07] #0227/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 12:28:23] #0228/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.818 | conf=0.250 | gap=0.000
[2026-05-11 12:28:50] #0229/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:01] #0230/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:29:29] #0231/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:29:41] #0232/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.776 | conf=0.820 | gap=0.770
[2026-05-11 12:29:57] #0233/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.665 | conf=0.850 | gap=0.800
[2026-05-11 12:30:18] #0234/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:30:47] #0235/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:31:03] #0236/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.852 | conf=0.780 | gap=0.680
[2026-05-11 12:31:17] #0237/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.887 | conf=0.400 | gap=0.300
[2026-05-11 12:31:35] #0238/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.824 | conf=0.600 | gap=0.250
[2026-05-11 12:31:45] #0239/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:32:03] #0240/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.415 | conf=0.550 | gap=0.400
[2026-05-11 12:32:03]   [240/1621] acc=182/240=75.8% filtered=221/240
[2026-05-11 12:32:26] #0241/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 12:33:38] #0242/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:34:14] #0243/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 12:34:38] #0244/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 12:35:04] #0245/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:35:14] #0246/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 12:35:27] #0247/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 12:35:55] #0248/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=1.610 | conf=0.500 | gap=0.350
[2026-05-11 12:36:14] #0249/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:36:26] #0250/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:36:37] #0251/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.664 | conf=0.850 | gap=0.820
[2026-05-11 12:36:56] #0252/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:37:10] #0253/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:37:43] #0254/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 12:38:09] #0255/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:38:21] #0256/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:38:48] #0257/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:39:21] #0258/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:39:35] #0259/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:39:49] #0260/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.776 | conf=0.820 | gap=0.770
[2026-05-11 12:39:49]   [260/1621] acc=195/260=75.0% filtered=240/260
[2026-05-11 12:40:06] #0261/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.398 | conf=0.500 | gap=0.250
[2026-05-11 12:40:19] #0262/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 12:40:48] #0263/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:41:16] #0264/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 12:41:37] #0265/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.999 | conf=0.750 | gap=0.700
[2026-05-11 12:41:48] #0266/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 12:42:02] #0267/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=2.014 | conf=0.441 | gap=0.294
[2026-05-11 12:42:16] #0268/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 12:42:28] #0269/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 12:42:38] #0270/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:43:06] #0271/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.682 | conf=0.830 | gap=0.780
[2026-05-11 12:43:34] #0272/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=1.645 | conf=0.488 | gap=0.305
[2026-05-11 12:43:47] #0273/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:44:00] #0274/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 12:44:17] #0275/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 12:44:27] #0276/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.332 | conf=0.941 | gap=0.931
[2026-05-11 12:44:58] #0277/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 12:45:28] #0278/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-11 12:45:38] #0279/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:45:54] #0280/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 12:45:54]   [280/1621] acc=212/280=75.7% filtered=257/280
[2026-05-11 12:46:09] #0281/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 12:46:36] #0282/01621 | true=Push-up(9) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:47:05] #0283/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=1.282 | conf=0.647 | gap=0.588
[2026-05-11 12:47:34] #0284/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 12:48:00] #0285/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:48:25] #0286/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:48:51] #0287/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:49:03] #0288/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 12:49:15] #0289/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:49:45] #0290/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:50:10] #0291/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=1.483 | conf=0.579 | gap=0.474
[2026-05-11 12:50:37] #0292/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 12:50:59] #0293/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:51:07] #0294/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:51:34] #0295/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 12:52:10] #0296/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:52:38] #0297/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:52:47] #0298/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:53:04] #0299/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:53:26] #0300/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:53:26]   [300/1621] acc=221/300=73.7% filtered=277/300
[2026-05-11 12:53:58] #0301/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:54:09] #0302/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:54:36] #0303/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:55:07] #0304/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:55:44] #0305/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:56:19] #0306/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.761 | conf=0.778 | gap=0.667
[2026-05-11 12:56:54] #0307/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:57:18] #0308/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:57:31] #0309/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.627 | conf=0.850 | gap=0.800
[2026-05-11 12:57:48] #0310/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 12:58:02] #0311/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.635 | conf=0.350 | gap=0.100
[2026-05-11 12:58:17] #0312/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 12:58:25] #0313/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:58:49] #0314/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:59:03] #0315/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 12:59:33] #0316/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:59:58] #0317/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 13:00:12] #0318/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.398 | conf=0.920 | gap=0.890
[2026-05-11 13:00:39] #0319/01621 | true=Push-up(9) | pred=Stand-sit(4) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 13:00:51] #0320/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:00:51]   [320/1621] acc=231/320=72.2% filtered=296/320
[2026-05-11 13:01:04] #0321/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 13:01:17] #0322/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 13:01:40] #0323/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:02:05] #0324/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 13:02:22] #0325/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:02:34] #0326/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.649 | conf=0.850 | gap=0.810
[2026-05-11 13:02:44] #0327/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:02:56] #0328/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 13:03:07] #0329/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:03:31] #0330/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=1.433 | conf=0.620 | gap=0.500
[2026-05-11 13:03:43] #0331/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 13:04:12] #0332/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 13:04:42] #0333/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 13:04:54] #0334/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 13:05:05] #0335/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 13:05:40] #0336/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=1.035 | conf=0.740 | gap=0.690
[2026-05-11 13:06:07] #0337/01621 | true=Push-up(9) | pred=Lay-stand(6) | ✗ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 13:06:19] #0338/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 13:06:37] #0339/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:07:05] #0340/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 13:07:05]   [340/1621] acc=245/340=72.1% filtered=316/340
[2026-05-11 13:07:45] #0341/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 13:07:59] #0342/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 13:08:06] #0343/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.286 | conf=0.950 | gap=0.940
[2026-05-11 13:08:23] #0344/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:08:58] #0345/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=1.777 | conf=0.350 | gap=0.200
[2026-05-11 13:09:34] #0346/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:10:01] #0347/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=1.817 | conf=0.550 | gap=0.470
[2026-05-11 13:10:11] #0348/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 13:10:31] #0349/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:10:58] #0350/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.695 | conf=0.842 | gap=0.792
[2026-05-11 13:11:24] #0351/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:11:56] #0352/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:12:32] #0353/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 13:12:55] #0354/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 13:13:24] #0355/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.959 | conf=0.750 | gap=0.650
[2026-05-11 13:14:00] #0356/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 13:14:24] #0357/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 13:14:51] #0358/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 13:15:03] #0359/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:15:21] #0360/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 13:15:21]   [360/1621] acc=258/360=71.7% filtered=334/360
[2026-05-11 13:15:47] #0361/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.665 | conf=0.850 | gap=0.800
[2026-05-11 13:16:23] #0362/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.862 | conf=0.737 | gap=0.579
[2026-05-11 13:17:03] #0363/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.286 | conf=0.950 | gap=0.940
[2026-05-11 13:17:17] #0364/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.168 | conf=0.500 | gap=0.200
[2026-05-11 13:17:53] #0365/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:18:22] #0366/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=2.551 | conf=0.250 | gap=0.130
[2026-05-11 13:18:51] #0367/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 13:19:04] #0368/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:19:37] #0369/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.417 | conf=0.920 | gap=0.900
[2026-05-11 13:19:48] #0370/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.767 | conf=0.820 | gap=0.770
[2026-05-11 13:20:01] #0371/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:20:40] #0372/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:20:52] #0373/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 13:21:20] #0374/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.595 | conf=0.820 | gap=0.720
