[2026-05-11 23:14:23] MotionSense class 1 (jogging) T=0.8
[2026-05-11 23:14:23]   1443 windows
[2026-05-11 23:14:26] #0001/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:16:10] #0222/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:16:23] #0223/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:16:26] #0224/01443 | true=jogging | pred=jogging | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 00:16:34] #0225/01443 | true=jogging | pred=jogging | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-12 00:16:56] #0226/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:17:01] #0227/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:17:03] #0228/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 00:17:08] #0229/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:17:18] #0230/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 00:17:21] #0231/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 00:17:48] #0232/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 00:18:10] #0233/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:18:17] #0234/01443 | true=jogging | pred=jogging | ✓ | ent=0.265 conf=0.940 gap=0.900
[2026-05-12 00:18:20] #0235/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 00:18:41] #0236/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:19:01] #0237/01443 | true=jogging | pred=jogging | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 00:19:04] #0238/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:19:11] #0239/01443 | true=jogging | pred=jogging | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 00:19:21] #0240/01443 | true=jogging | pred=jogging | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:19:21]   [240/1443] acc=98% filt=233
[2026-05-12 00:19:46] #0241/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 00:20:13] #0242/01443 | true=jogging | pred=jogging | ✓ | ent=0.365 conf=0.920 gap=0.890
[2026-05-12 00:20:20] #0243/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:20:22] #0244/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:20:35] #0245/01443 | true=jogging | pred=jogging | ✓ | ent=0.933 conf=0.620 gap=0.340
[2026-05-12 00:20:39] #0246/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 00:20:42] #0247/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:20:51] #0248/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:20:54] #0249/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:20:57] #0250/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:20:59] #0251/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:21:02] #0252/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 00:21:06] #0253/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:21:16] #0254/01443 | true=jogging | pred=jogging | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 00:21:19] #0255/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:21:28] #0256/01443 | true=jogging | pred=jogging | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 00:21:31] #0257/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:21:37] #0258/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:21:42] #0259/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:21:45] #0260/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:21:45]   [260/1443] acc=98% filt=253
[2026-05-12 00:21:52] #0261/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 00:22:02] #0262/01443 | true=jogging | pred=jogging | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:22:14] #0263/01443 | true=jogging | pred=jogging | ✓ | ent=0.329 conf=0.930 gap=0.900
[2026-05-12 00:22:21] #0264/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:22:25] #0265/01443 | true=jogging | pred=jogging | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:22:33] #0266/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:22:35] #0267/01443 | true=jogging | pred=jogging | ✓ | ent=0.508 conf=0.890 gap=0.850
[2026-05-12 00:23:32] #0268/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:23:34] #0269/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:23:40] #0270/01443 | true=jogging | pred=jogging | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 00:23:56] #0271/01443 | true=jogging | pred=jogging | ✓ | ent=0.695 conf=0.820 gap=0.720
[2026-05-12 00:24:01] #0272/01443 | true=jogging | pred=jogging | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-12 00:24:12] #0273/01443 | true=jogging | pred=jogging | ✓ | ent=0.109 conf=0.980 gap=0.965
[2026-05-12 00:24:23] #0274/01443 | true=jogging | pred=jogging | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 00:24:28] #0275/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 00:24:39] #0276/01443 | true=jogging | pred=jogging | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 00:24:49] #0277/01443 | true=jogging | pred=jogging | ✓ | ent=0.627 conf=0.850 gap=0.780
[2026-05-12 00:24:59] #0278/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:25:04] #0279/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:25:14] #0280/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:25:14]   [280/1443] acc=98% filt=273
[2026-05-12 00:25:32] #0281/01443 | true=jogging | pred=jogging | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-12 00:25:43] #0282/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 00:25:52] #0283/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:25:55] #0284/01443 | true=jogging | pred=jogging | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 00:26:07] #0285/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:26:37] #0286/01443 | true=jogging | pred=jogging | ✓ | ent=0.537 conf=0.850 gap=0.740
[2026-05-12 00:26:51] #0287/01443 | true=jogging | pred=jogging | ✓ | ent=0.589 conf=0.850 gap=0.770
[2026-05-12 00:26:59] #0288/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:27:04] #0289/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:27:30] #0290/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:27:38] #0291/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:27:47] #0292/01443 | true=jogging | pred=jogging | ✓ | ent=0.758 conf=0.720 gap=0.490
[2026-05-12 00:27:50] #0293/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:27:59] #0294/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:28:10] #0295/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:28:24] #0296/01443 | true=jogging | pred=jogging | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 00:28:36] #0297/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:28:46] #0298/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 00:28:49] #0299/01443 | true=jogging | pred=jogging | ✓ | ent=1.202 conf=0.450 gap=0.200
[2026-05-12 00:28:59] #0300/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 00:28:59]   [300/1443] acc=98% filt=292
[2026-05-12 00:29:09] #0301/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:29:19] #0302/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:29:48] #0303/01443 | true=jogging | pred=jogging | ✓ | ent=1.012 conf=0.600 gap=0.330
[2026-05-12 00:29:50] #0304/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:30:01] #0305/01443 | true=jogging | pred=jogging | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 00:30:08] #0306/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:30:36] #0307/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:30:43] #0308/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:30:45] #0309/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 00:30:55] #0310/01443 | true=jogging | pred=jogging | ✓ | ent=0.695 conf=0.820 gap=0.720
[2026-05-12 00:30:58] #0311/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 00:31:10] #0312/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 00:32:05] #0313/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:32:14] #0314/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 00:32:41] #0315/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:33:19] #0316/01443 | true=jogging | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:33:21] #0317/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:33:40] #0318/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:34:02] #0319/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:34:04] #0320/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 00:34:04]   [320/1443] acc=98% filt=311
[2026-05-12 00:34:13] #0321/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 00:34:26] #0322/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 00:34:52] #0323/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:35:16] #0324/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 00:35:18] #0325/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:35:21] #0326/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:35:23] #0327/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 00:35:55] #0328/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 00:36:16] #0329/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 00:36:25] #0330/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:36:28] #0331/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:36:31] #0332/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:36:51] #0333/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:36:54] #0334/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:37:30] #0335/01443 | true=jogging | pred=downstairs | ✗ | ent=1.240 conf=0.350 gap=0.050
[2026-05-12 00:37:33] #0336/01443 | true=jogging | pred=jogging | ✓ | ent=0.994 conf=0.620 gap=0.390
[2026-05-12 00:37:47] #0337/01443 | true=jogging | pred=jogging | ✓ | ent=0.925 conf=0.550 gap=0.170
[2026-05-12 00:37:55] #0338/01443 | true=jogging | pred=jogging | ✓ | ent=0.728 conf=0.820 gap=0.740
[2026-05-12 00:38:28] #0339/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:38:36] #0340/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 00:38:36]   [340/1443] acc=98% filt=330
[2026-05-12 00:38:43] #0341/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:38:45] #0342/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:39:04] #0343/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:39:32] #0344/01443 | true=jogging | pred=jogging | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-12 00:39:36] #0345/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:39:48] #0346/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:39:54] #0347/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:39:57] #0348/01443 | true=jogging | pred=jogging | ✓ | ent=0.324 conf=0.920 gap=0.860
[2026-05-12 00:40:12] #0349/01443 | true=jogging | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:40:17] #0350/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:40:20] #0351/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:40:30] #0352/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:40:44] #0353/01443 | true=jogging | pred=jogging | ✓ | ent=0.846 conf=0.620 gap=0.290
[2026-05-12 00:40:46] #0354/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:40:52] #0355/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:41:44] #0356/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:41:51] #0357/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:42:03] #0358/01443 | true=jogging | pred=jogging | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 00:42:30] #0359/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 00:42:50] #0360/01443 | true=jogging | pred=jogging | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 00:42:50]   [360/1443] acc=98% filt=350
[2026-05-12 00:42:53] #0361/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 00:43:02] #0362/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:43:32] #0363/01443 | true=jogging | pred=jogging | ✓ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 00:43:58] #0364/01443 | true=jogging | pred=jogging | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 00:44:05] #0365/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:44:25] #0366/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:44:34] #0367/01443 | true=jogging | pred=jogging | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 00:44:38] #0368/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:44:41] #0369/01443 | true=jogging | pred=jogging | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:44:44] #0370/01443 | true=jogging | pred=jogging | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:44:48] #0371/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:44:53] #0372/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 00:45:03] #0373/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:45:23] #0374/01443 | true=jogging | pred=jogging | ✓ | ent=0.948 conf=0.600 gap=0.300
[2026-05-12 00:45:27] #0375/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:45:39] #0376/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:45:49] #0377/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:45:53] #0378/01443 | true=jogging | pred=jogging | ✓ | ent=0.760 conf=0.720 gap=0.520
[2026-05-12 00:46:05] #0379/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:46:28] #0380/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:46:28]   [380/1443] acc=98% filt=370
[2026-05-12 00:46:31] #0381/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 00:46:34] #0382/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:46:36] #0383/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:46:42] #0384/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 00:46:45] #0385/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 00:46:55] #0386/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:46:58] #0387/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:47:01] #0388/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 00:47:09] #0389/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:47:38] #0390/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 00:47:57] #0391/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:48:05] #0392/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:49:02] #0393/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:49:04] #0394/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:49:09] #0395/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:49:39] #0396/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 00:50:05] #0397/01443 | true=jogging | pred=jogging | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-12 00:50:13] #0398/01443 | true=jogging | pred=jogging | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 00:50:38] #0399/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 00:50:48] #0400/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:50:48]   [400/1443] acc=98% filt=390
[2026-05-12 00:50:53] #0401/01443 | true=jogging | pred=jogging | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:50:56] #0402/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:51:06] #0403/01443 | true=jogging | pred=jogging | ✓ | ent=0.507 conf=0.870 gap=0.790
[2026-05-12 00:51:16] #0404/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 00:51:38] #0405/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:51:52] #0406/01443 | true=jogging | pred=jogging | ✓ | ent=0.357 conf=0.920 gap=0.880
[2026-05-12 00:52:18] #0407/01443 | true=jogging | pred=jogging | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:52:25] #0408/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:52:39] #0409/01443 | true=jogging | pred=jogging | ✓ | ent=0.756 conf=0.800 gap=0.700
[2026-05-12 00:52:49] #0410/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:53:09] #0411/01443 | true=jogging | pred=jogging | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:54:53] #0412/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 00:54:56] #0413/01443 | true=jogging | pred=jogging | ✓ | ent=0.864 conf=0.650 gap=0.370
[2026-05-12 00:55:24] #0414/01443 | true=jogging | pred=walking | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 00:55:52] #0415/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 00:55:54] #0416/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:55:58] #0417/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.820 gap=0.700
[2026-05-12 00:56:03] #0418/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:56:13] #0419/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:56:17] #0420/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:56:17]   [420/1443] acc=98% filt=410
[2026-05-12 00:56:29] #0421/01443 | true=jogging | pred=jogging | ✓ | ent=0.573 conf=0.870 gap=0.820
[2026-05-12 00:57:01] #0422/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-12 00:57:03] #0423/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 00:57:07] #0424/01443 | true=jogging | pred=jogging | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 00:57:17] #0425/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:57:20] #0426/01443 | true=jogging | pred=jogging | ✓ | ent=1.142 conf=0.500 gap=0.200
[2026-05-12 00:58:13] #0427/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 00:58:16] #0428/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:58:20] #0429/01443 | true=jogging | pred=jogging | ✓ | ent=0.825 conf=0.720 gap=0.540
[2026-05-12 00:58:29] #0430/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:58:39] #0431/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 00:58:44] #0432/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 00:59:10] #0433/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 00:59:13] #0434/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:59:47] #0435/01443 | true=jogging | pred=walking | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:59:58] #0436/01443 | true=jogging | pred=jogging | ✓ | ent=0.530 conf=0.880 gap=0.820
[2026-05-12 01:00:10] #0437/01443 | true=jogging | pred=jogging | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 01:00:21] #0438/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:00:24] #0439/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:00:33] #0440/01443 | true=jogging | pred=jogging | ✓ | ent=0.781 conf=0.750 gap=0.600
[2026-05-12 01:00:33]   [440/1443] acc=98% filt=429
[2026-05-12 01:00:55] #0441/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:01:07] #0442/01443 | true=jogging | pred=jogging | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:01:18] #0443/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
