[2026-05-11 21:51:24] #0001/03185 | true=run | pred=run | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:33:15] #0793/03185 | true=run | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-12 00:33:25] #0794/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:33:53] #0795/03185 | true=run | pred=run | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:34:12] #0796/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:34:16] #0797/03185 | true=run | pred=run | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 00:34:20] #0798/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-12 00:34:23] #0799/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:34:27] #0800/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:34:32] #0801/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:35:23] #0802/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:35:26] #0803/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:36:24] #0804/03185 | true=run | pred=walk | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:36:33] #0805/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 00:37:25] #0806/03185 | true=run | pred=run | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 00:37:28] #0807/03185 | true=run | pred=run | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 00:37:36] #0808/03185 | true=run | pred=run | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 00:38:07] #0809/03185 | true=run | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 00:38:10] #0810/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:38:17] #0811/03185 | true=run | pred=walk | ✗ | ent=0.526 conf=0.850 gap=0.770
[2026-05-12 00:38:22] #0812/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:38:31] #0813/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:38:45] #0814/03185 | true=run | pred=walk | ✗ | ent=0.662 conf=0.850 gap=0.790
[2026-05-12 00:39:11] #0815/03185 | true=run | pred=run | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 00:39:15] #0816/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:39:49] #0817/03185 | true=run | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 00:39:54] #0818/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:40:20] #0819/03185 | true=run | pred=run | ✓ | ent=0.853 conf=0.800 gap=0.750
[2026-05-12 00:40:39] #0820/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:40:43] #0821/03185 | true=run | pred=run | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 00:40:47] #0822/03185 | true=run | pred=run | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-12 00:41:07] #0823/03185 | true=run | pred=walk | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:43:02] #0824/03185 | true=run | pred=run | ✓ | ent=0.377 conf=0.875 gap=0.750
[2026-05-12 00:43:27] #0825/03185 | true=run | pred=run | ✓ | ent=0.526 conf=0.870 gap=0.790
[2026-05-12 00:43:46] #0826/03185 | true=run | pred=run | ✓ | ent=0.844 conf=0.800 gap=0.750
[2026-05-12 00:43:50] #0827/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:43:58] #0828/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 00:44:07] #0829/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:44:11] #0830/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:44:30] #0831/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:44:51] #0832/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:44:55] #0833/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 00:45:22] #0834/03185 | true=run | pred=walk | ✗ | ent=0.688 conf=0.850 gap=0.800
[2026-05-12 00:45:31] #0835/03185 | true=run | pred=run | ✓ | ent=0.486 conf=0.900 gap=0.860
[2026-05-12 00:45:43] #0836/03185 | true=run | pred=run | ✓ | ent=0.451 conf=0.833 gap=0.667
[2026-05-12 00:45:50] #0837/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 00:46:50] #0839/03185 | true=run | pred=walk | ✗ | ent=0.923 conf=0.700 gap=0.480
[2026-05-12 00:47:00] #0840/03185 | true=run | pred=run | ✓ | ent=1.085 conf=0.700 gap=0.550
[2026-05-12 00:47:10] #0841/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 00:47:58] #0842/03185 | true=run | pred=walk | ✗ | ent=1.240 conf=0.550 gap=0.250
[2026-05-12 00:48:01] #0843/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 00:48:10] #0844/03185 | true=run | pred=run | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:48:31] #0845/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:48:45] #0846/03185 | true=run | pred=run | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 00:48:51] #0847/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:48:53] #0848/03185 | true=run | pred=run | ✓ | ent=0.100 conf=0.979 gap=0.959
[2026-05-12 00:48:57] #0849/03185 | true=run | pred=run | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 00:49:18] #0850/03185 | true=run | pred=walk | ✗ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 00:50:04] #0851/03185 | true=run | pred=walk | ✗ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 00:50:13] #0852/03185 | true=run | pred=run | ✓ | ent=0.348 conf=0.930 gap=0.910
[2026-05-12 00:50:41] #0853/03185 | true=run | pred=run | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 00:51:10] #0854/03185 | true=run | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 00:52:13] #0855/03185 | true=run | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:52:17] #0856/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:52:38] #0857/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-12 00:52:42] #0858/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:53:07] #0859/03185 | true=run | pred=walk | ✗ | ent=1.007 conf=0.650 gap=0.400
[2026-05-12 00:53:19] #0860/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 00:53:56] #0861/03185 | true=run | pred=walk | ✗ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:54:07] #0862/03185 | true=run | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 00:54:16] #0863/03185 | true=run | pred=run | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-12 00:54:20] #0864/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:54:26] #0865/03185 | true=run | pred=run | ✓ | ent=0.349 conf=0.889 gap=0.778
[2026-05-12 00:54:38] #0866/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 00:54:48] #0867/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 00:54:51] #0868/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:55:00] #0869/03185 | true=run | pred=run | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 00:55:12] #0870/03185 | true=run | pred=run | ✓ | ent=0.586 conf=0.850 gap=0.750
[2026-05-12 00:55:18] #0871/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:55:21] #0872/03185 | true=run | pred=run | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 00:55:32] #0873/03185 | true=run | pred=run | ✓ | ent=0.722 conf=0.820 gap=0.720
[2026-05-12 00:55:39] #0874/03185 | true=run | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 00:55:54] #0875/03185 | true=run | pred=run | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 00:55:58] #0876/03185 | true=run | pred=run | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 00:56:05] #0877/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-12 00:56:17] #0878/03185 | true=run | pred=run | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 00:56:28] #0879/03185 | true=run | pred=run | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 00:56:31] #0880/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 00:56:35] #0881/03185 | true=run | pred=run | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 00:57:19] #0883/03185 | true=run | pred=walk | ✗ | ent=1.206 conf=0.550 gap=0.250
[2026-05-12 00:57:29] #0884/03185 | true=run | pred=run | ✓ | ent=0.787 conf=0.780 gap=0.660
[2026-05-12 00:57:54] #0885/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 00:58:03] #0886/03185 | true=run | pred=run | ✓ | ent=0.119 conf=0.980 gap=0.970
[2026-05-12 00:58:16] #0887/03185 | true=run | pred=walk | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:58:26] #0888/03185 | true=run | pred=run | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 00:58:49] #0889/03185 | true=run | pred=run | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:59:22] #0890/03185 | true=run | pred=walk | ✗ | ent=1.140 conf=0.650 gap=0.450
[2026-05-12 00:59:32] #0891/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:00:01] #0892/03185 | true=run | pred=run | ✓ | ent=0.213 conf=0.959 gap=0.939
[2026-05-12 01:00:05] #0893/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:00:17] #0894/03185 | true=run | pred=run | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 01:00:26] #0895/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:00:33] #0896/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:00:36] #0897/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 01:01:18] #0898/03185 | true=run | pred=walk | ✗ | ent=0.277 conf=0.950 gap=0.930
[2026-05-12 01:01:22] #0899/03185 | true=run | pred=run | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:01:27] #0900/03185 | true=run | pred=run | ✓ | ent=0.662 conf=0.625 gap=0.250
[2026-05-12 01:01:31] #0901/03185 | true=run | pred=run | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 01:01:36] #0902/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:01:56] #0903/03185 | true=run | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 01:01:59] #0904/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:02:09] #0905/03185 | true=run | pred=run | ✓ | ent=0.445 conf=0.895 gap=0.842
[2026-05-12 01:02:24] #0906/03185 | true=run | pred=walk | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:02:36] #0907/03185 | true=run | pred=run | ✓ | ent=0.126 conf=0.980 gap=0.975
[2026-05-12 01:03:02] #0908/03185 | true=run | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 01:03:06] #0909/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:03:09] #0910/03185 | true=run | pred=run | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 01:03:36] #0911/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 01:03:56] #0912/03185 | true=run | pred=run | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:03:59] #0913/03185 | true=run | pred=run | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 01:04:08] #0914/03185 | true=run | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 01:04:18] #0915/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:04:42] #0916/03185 | true=run | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:05:01] #0917/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:05:06] #0918/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:05:14] #0919/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:05:20] #0920/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:06:01] #0921/03185 | true=run | pred=walk | ✗ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 01:06:06] #0922/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:06:13] #0923/03185 | true=run | pred=run | ✓ | ent=0.055 conf=0.993 gap=0.992
[2026-05-12 01:06:22] #0924/03185 | true=run | pred=run | ✓ | ent=0.900 conf=0.750 gap=0.600
[2026-05-12 01:06:32] #0925/03185 | true=run | pred=run | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 01:06:36] #0926/03185 | true=run | pred=run | ✓ | ent=0.809 conf=0.800 gap=0.700
[2026-05-12 01:06:49] #0927/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 01:07:16] #0928/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:07:20] #0929/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:07:47] #0930/03185 | true=run | pred=run | ✓ | ent=0.624 conf=0.850 gap=0.800
[2026-05-12 01:07:57] #0931/03185 | true=run | pred=run | ✓ | ent=0.440 conf=0.900 gap=0.830
[2026-05-12 01:08:25] #0932/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:08:28] #0933/03185 | true=run | pred=run | ✓ | ent=0.900 conf=0.750 gap=0.600
[2026-05-12 01:08:33] #0934/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 01:08:37] #0935/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:08:48] #0936/03185 | true=run | pred=run | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 01:09:00] #0937/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:09:22] #0938/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 01:09:46] #0939/03185 | true=run | pred=walk | ✗ | ent=0.874 conf=0.693 gap=0.446
[2026-05-12 01:09:50] #0940/03185 | true=run | pred=run | ✓ | ent=0.977 conf=0.700 gap=0.500
[2026-05-12 01:10:02] #0941/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:10:07] #0942/03185 | true=run | pred=run | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 01:10:18] #0943/03185 | true=run | pred=run | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 01:10:29] #0944/03185 | true=run | pred=run | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 01:10:33] #0945/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:10:41] #0946/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:10:53] #0947/03185 | true=run | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 01:11:57] #0948/03185 | true=run | pred=walk | ✗ | ent=0.933 conf=0.720 gap=0.540
[2026-05-12 01:12:02] #0949/03185 | true=run | pred=run | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 01:12:28] #0950/03185 | true=run | pred=run | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 01:12:40] #0951/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-12 01:12:44] #0952/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:12:47] #0953/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 01:12:50] #0954/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:13:04] #0955/03185 | true=run | pred=run | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 01:13:09] #0956/03185 | true=run | pred=run | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 01:13:17] #0957/03185 | true=run | pred=walk | ✗ | ent=0.498 conf=0.850 gap=0.730
[2026-05-12 01:13:25] #0958/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 01:13:31] #0959/03185 | true=run | pred=run | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 01:14:24] #0960/03185 | true=run | pred=run | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 01:14:29] #0961/03185 | true=run | pred=run | ✓ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 01:14:54] #0962/03185 | true=run | pred=walk | ✗ | ent=0.881 conf=0.750 gap=0.600
[2026-05-12 01:15:11] #0963/03185 | true=run | pred=walk | ✗ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 01:15:15] #0964/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:15:18] #0965/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:15:22] #0966/03185 | true=run | pred=run | ✓ | ent=0.971 conf=0.735 gap=0.588
[2026-05-12 01:15:27] #0967/03185 | true=run | pred=run | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 01:15:36] #0968/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:15:41] #0969/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:15:45] #0970/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:15:49] #0971/03185 | true=run | pred=run | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 01:15:53] #0972/03185 | true=run | pred=run | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:16:20] #0973/03185 | true=run | pred=run | ✓ | ent=0.431 conf=0.920 gap=0.900
[2026-05-12 01:16:47] #0974/03185 | true=run | pred=walk | ✗ | ent=1.426 conf=0.550 gap=0.400
[2026-05-12 01:16:53] #0975/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 01:17:03] #0976/03185 | true=run | pred=run | ✓ | ent=0.831 conf=0.800 gap=0.740
[2026-05-12 01:17:07] #0977/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 01:17:17] #0978/03185 | true=run | pred=run | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:17:39] #0979/03185 | true=run | pred=run | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-12 01:17:59] #0980/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:18:02] #0981/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:18:22] #0982/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:18:47] #0983/03185 | true=run | pred=walk | ✗ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 01:19:13] #0984/03185 | true=run | pred=run | ✓ | ent=0.412 conf=0.920 gap=0.890
[2026-05-12 01:19:17] #0985/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:19:30] #0986/03185 | true=run | pred=walk | ✗ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 01:19:36] #0987/03185 | true=run | pred=run | ✓ | ent=0.384 conf=0.931 gap=0.922
[2026-05-12 01:19:39] #0988/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:19:50] #0989/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:20:17] #0990/03185 | true=run | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 01:20:22] #0991/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-12 01:20:25] #0992/03185 | true=run | pred=run | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:20:30] #0993/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:20:42] #0994/03185 | true=run | pred=walk | ✗ | ent=0.382 conf=0.920 gap=0.870
[2026-05-12 01:20:44] #0995/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:21:20] #0996/03185 | true=run | pred=walk | ✗ | ent=1.293 conf=0.650 gap=0.550
[2026-05-12 01:21:23] #0997/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:21:35] #0998/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:21:44] #0999/03185 | true=run | pred=run | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 01:22:11] #1000/03185 | true=run | pred=run | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 01:22:16] #1001/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:22:25] #1002/03185 | true=run | pred=run | ✓ | ent=0.482 conf=0.900 gap=0.850
[2026-05-12 01:22:28] #1003/03185 | true=run | pred=run | ✓ | ent=0.627 conf=0.850 gap=0.800
[2026-05-12 01:22:32] #1004/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:22:37] #1005/03185 | true=run | pred=run | ✓ | ent=0.855 conf=0.800 gap=0.750
[2026-05-12 01:22:41] #1006/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:22:48] #1007/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:23:41] #1008/03185 | true=run | pred=run | ✓ | ent=0.870 conf=0.800 gap=0.750
[2026-05-12 01:23:49] #1009/03185 | true=run | pred=walk | ✗ | ent=1.014 conf=0.650 gap=0.400
[2026-05-12 01:24:42] #1010/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:24:45] #1011/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:24:55] #1012/03185 | true=run | pred=walk | ✗ | ent=0.998 conf=0.750 gap=0.670
[2026-05-12 01:25:17] #1013/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 01:25:42] #1014/03185 | true=run | pred=run | ✓ | ent=0.627 conf=0.850 gap=0.800
[2026-05-12 01:25:50] #1015/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 01:26:03] #1016/03185 | true=run | pred=walk | ✗ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 01:26:29] #1017/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:26:35] #1018/03185 | true=run | pred=run | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 01:26:44] #1019/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:26:48] #1020/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:26:55] #1021/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:27:02] #1022/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:27:14] #1023/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:28:12] #1024/03185 | true=run | pred=run | ✓ | ent=0.387 conf=0.931 gap=0.921
[2026-05-12 01:28:24] #1025/03185 | true=run | pred=run | ✓ | ent=0.317 conf=0.928 gap=0.876
[2026-05-12 01:29:10] #1026/03185 | true=run | pred=run | ✓ | ent=1.140 conf=0.650 gap=0.450
[2026-05-12 01:29:31] #1027/03185 | true=run | pred=walk | ✗ | ent=0.693 conf=0.820 gap=0.700
[2026-05-12 01:29:38] #1028/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 01:29:44] #1029/03185 | true=run | pred=run | ✓ | ent=0.843 conf=0.780 gap=0.660
[2026-05-12 01:29:50] #1030/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:30:05] #1031/03185 | true=run | pred=walk | ✗ | ent=1.096 conf=0.700 gap=0.600
[2026-05-12 01:30:09] #1032/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:30:13] #1033/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 01:30:19] #1034/03185 | true=run | pred=run | ✓ | ent=0.445 conf=0.895 gap=0.842
[2026-05-12 01:30:22] #1035/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:30:33] #1036/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 01:30:37] #1037/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
