[2026-05-11 23:15:06] #0001/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:32:24] #0246/01676 | true=upstairs | pred=walking | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:32:52] #0247/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 00:33:13] #0249/01676 | true=upstairs | pred=walking | ✗ | ent=1.032 conf=0.640 gap=0.440
[2026-05-12 00:33:55] #0251/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 00:34:04] #0252/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.733 conf=0.820 gap=0.750
[2026-05-12 00:34:14] #0253/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.551 conf=0.840 gap=0.760
[2026-05-12 00:34:22] #0254/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:34:46] #0256/01676 | true=upstairs | pred=walking | ✗ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 00:34:49] #0257/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:34:59] #0258/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.689 conf=0.800 gap=0.700
[2026-05-12 00:35:18] #0259/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:35:45] #0261/01676 | true=upstairs | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:36:05] #0262/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.554 conf=0.880 gap=0.840
[2026-05-12 00:36:07] #0263/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 00:36:30] #0265/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 00:36:33] #0266/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:37:20] #0267/01676 | true=upstairs | pred=walking | ✗ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:37:43] #0268/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:38:42] #0269/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:38:47] #0270/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 00:38:57] #0271/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:39:23] #0272/01676 | true=upstairs | pred=walking | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:39:25] #0273/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:39:28] #0274/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:39:34] #0275/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.055 conf=0.680 gap=0.530
[2026-05-12 00:39:37] #0276/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 00:39:40] #0277/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 00:40:19] #0279/01676 | true=upstairs | pred=walking | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:40:48] #0280/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:41:34] #0282/01676 | true=upstairs | pred=walking | ✗ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:41:48] #0283/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:41:52] #0284/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:42:04] #0285/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:42:48] #0287/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.912 conf=0.720 gap=0.580
[2026-05-12 00:42:59] #0288/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.717 conf=0.820 gap=0.740
[2026-05-12 00:43:13] #0289/01676 | true=upstairs | pred=walking | ✗ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 00:43:23] #0290/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:43:37] #0291/01676 | true=upstairs | pred=walking | ✗ | ent=1.035 conf=0.550 gap=0.200
[2026-05-12 00:43:47] #0292/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:43:56] #0293/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.612 conf=0.850 gap=0.780
[2026-05-12 00:44:10] #0294/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.632 conf=0.850 gap=0.780
[2026-05-12 00:44:51] #0295/01676 | true=upstairs | pred=walking | ✗ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 00:44:54] #0296/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 00:45:03] #0297/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.897 conf=0.750 gap=0.650
[2026-05-12 00:45:14] #0298/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 00:45:40] #0299/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 00:46:12] #0301/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:46:33] #0302/01676 | true=upstairs | pred=walking | ✗ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 00:46:37] #0303/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:47:09] #0304/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:47:34] #0305/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 00:47:44] #0306/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 00:47:58] #0307/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:48:56] #0309/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.777 conf=0.780 gap=0.670
[2026-05-12 00:49:17] #0310/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.721 conf=0.810 gap=0.710
[2026-05-12 00:49:43] #0311/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:50:36] #0313/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 00:50:47] #0314/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:50:59] #0315/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:51:11] #0316/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.595 conf=0.820 gap=0.720
[2026-05-12 00:51:16] #0317/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 00:52:43] #0319/01676 | true=upstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 00:52:46] #0320/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:53:14] #0321/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:53:27] #0322/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.720 gap=0.590
[2026-05-12 00:53:46] #0323/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:53:58] #0324/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:55:15] #0325/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 00:55:25] #0326/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:56:04] #0329/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:56:17] #0330/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:56:20] #0331/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:57:30] #0332/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 00:57:50] #0333/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.937 conf=0.750 gap=0.670
[2026-05-12 00:58:46] #0335/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:58:49] #0336/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 00:58:58] #0337/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:59:08] #0338/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.922 conf=0.720 gap=0.550
[2026-05-12 00:59:22] #0339/01676 | true=upstairs | pred=walking | ✗ | ent=0.890 conf=0.750 gap=0.650
[2026-05-12 00:59:34] #0340/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:59:49] #0341/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:59:52] #0342/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:00:20] #0343/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 01:00:31] #0344/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:00:59] #0345/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 01:01:04] #0346/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 01:01:12] #0348/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:01:15] #0349/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.892 conf=0.750 gap=0.620
[2026-05-12 01:01:26] #0351/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 01:01:39] #0352/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 01:04:59] #0354/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 01:05:13] #0355/01676 | true=upstairs | pred=walking | ✗ | ent=0.825 conf=0.650 gap=0.350
[2026-05-12 01:05:16] #0356/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 01:05:38] #0357/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:05:50] #0358/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 01:06:21] #0360/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.612 conf=0.850 gap=0.780
[2026-05-12 01:07:09] #0361/01676 | true=upstairs | pred=walking | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:07:31] #0362/01676 | true=upstairs | pred=walking | ✗ | ent=1.136 conf=0.550 gap=0.300
[2026-05-12 01:07:46] #0363/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 01:08:43] #0365/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:09:04] #0366/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:09:14] #0367/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 01:09:22] #0368/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:09:47] #0369/01676 | true=upstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:09:59] #0370/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:11:50] #0371/01676 | true=upstairs | pred=walking | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:12:23] #0372/01676 | true=upstairs | pred=walking | ✗ | ent=0.912 conf=0.650 gap=0.370
[2026-05-12 01:12:33] #0373/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:12:53] #0374/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.912 conf=0.720 gap=0.580
[2026-05-12 01:13:24] #0376/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.878 conf=0.720 gap=0.550
[2026-05-12 01:13:29] #0377/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:14:01] #0378/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:14:18] #0380/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 01:14:27] #0381/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:14:50] #0382/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.741 conf=0.800 gap=0.690
[2026-05-12 01:14:53] #0383/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.052 conf=0.700 gap=0.600
[2026-05-12 01:15:07] #0384/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.191 conf=0.600 gap=0.440
[2026-05-12 01:16:19] #0386/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:17:10] #0387/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 01:17:13] #0388/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.970 conf=0.700 gap=0.520
[2026-05-12 01:17:25] #0389/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 01:17:30] #0390/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:17:36] #0392/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 01:17:40] #0393/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:18:05] #0394/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 01:18:29] #0396/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.784 conf=0.800 gap=0.720
[2026-05-12 01:18:40] #0397/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:19:13] #0398/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:19:27] #0399/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 01:19:30] #0400/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:19:49] #0401/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.784 conf=0.800 gap=0.720
[2026-05-12 01:20:05] #0402/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:20:52] #0405/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:21:16] #0406/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 01:21:36] #0407/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 01:21:44] #0408/01676 | true=upstairs | pred=walking | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:21:57] #0409/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.894 conf=0.720 gap=0.590
[2026-05-12 01:22:15] #0412/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:22:27] #0413/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.760 conf=0.720 gap=0.520
[2026-05-12 01:23:27] #0415/01676 | true=upstairs | pred=walking | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 01:23:30] #0416/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.373 conf=0.550 gap=0.400
[2026-05-12 01:23:39] #0417/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.002 conf=0.720 gap=0.620
[2026-05-12 01:23:42] #0418/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:23:45] #0419/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:23:54] #0420/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 01:24:12] #0421/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 01:24:15] #0422/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:24:28] #0423/01676 | true=upstairs | pred=walking | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:24:31] #0424/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 01:25:00] #0425/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 01:25:52] #0426/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:26:02] #0427/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.039 conf=0.700 gap=0.580
[2026-05-12 01:26:54] #0428/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-12 01:26:57] #0429/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:27:06] #0430/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.448 conf=0.880 gap=0.810
[2026-05-12 01:27:09] #0431/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.330 conf=0.550 gap=0.350
[2026-05-12 01:27:15] #0432/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:27:28] #0433/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:27:53] #0434/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:28:06] #0435/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.717 conf=0.820 gap=0.740
[2026-05-12 01:28:09] #0436/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 01:28:25] #0437/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 01:28:47] #0438/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:28:59] #0439/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.943 conf=0.700 gap=0.540
[2026-05-12 01:29:05] #0440/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.733 conf=0.820 gap=0.750
[2026-05-12 01:29:09] #0441/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 01:29:11] #0442/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 01:29:22] #0443/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:29:26] #0444/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.996 conf=0.680 gap=0.480
[2026-05-12 01:29:29] #0445/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:29:34] #0446/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:29:38] #0447/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:30:29] #0449/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.529 conf=0.880 gap=0.830
[2026-05-12 01:30:36] #0450/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 01:31:20] #0451/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.741 conf=0.800 gap=0.690
[2026-05-12 01:32:10] #0453/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:32:14] #0454/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:32:16] #0455/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:32:32] #0456/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:32:43] #0457/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:33:15] #0458/01676 | true=upstairs | pred=walking | ✗ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 01:33:18] #0459/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 01:33:31] #0460/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.269 conf=0.940 gap=0.910
[2026-05-12 01:33:43] #0461/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.473 conf=0.870 gap=0.790
[2026-05-12 01:33:55] #0462/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.595 conf=0.820 gap=0.720
[2026-05-12 01:34:37] #0464/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:34:41] #0465/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 01:34:45] #0466/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 01:34:52] #0467/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 01:35:26] #0468/01676 | true=upstairs | pred=walking | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 01:35:37] #0469/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 01:36:02] #0470/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 01:36:32] #0471/01676 | true=upstairs | pred=walking | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:36:44] #0472/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 01:37:00] #0473/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.931 conf=0.670 gap=0.430
[2026-05-12 01:37:06] #0474/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:37:24] #0475/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 01:37:55] #0476/01676 | true=upstairs | pred=walking | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:38:07] #0477/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 01:38:37] #0478/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.559 conf=0.870 gap=0.820
[2026-05-12 01:38:41] #0479/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 01:38:53] #0480/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:39:06] #0481/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.167 conf=0.650 gap=0.530
[2026-05-12 01:39:34] #0482/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.681 conf=0.840 gap=0.790
[2026-05-12 01:40:22] #0483/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.785 conf=0.700 gap=0.480
[2026-05-12 01:40:56] #0486/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.852 conf=0.700 gap=0.500
[2026-05-12 01:40:58] #0487/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 01:41:10] #0488/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.529 conf=0.880 gap=0.830
[2026-05-12 01:41:15] #0489/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 01:41:18] #0490/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:41:30] #0491/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:41:32] #0492/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:41:45] #0493/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:41:51] #0495/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 01:42:16] #0496/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:42:24] #0497/01676 | true=upstairs | pred=walking | ✗ | ent=1.070 conf=0.550 gap=0.250
[2026-05-12 01:42:57] #0498/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 01:43:26] #0499/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.028 conf=0.650 gap=0.490
[2026-05-12 01:43:39] #0500/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:43:43] #0501/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:43:46] #0502/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 01:43:58] #0503/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.645 conf=0.820 gap=0.740
