[2026-05-12 10:27:59] PAMAP2 class 3 (walking) start T=0.8
[2026-05-12 10:27:59]   944 windows
[2026-05-12 10:28:26] #0001/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:29:09] #0207/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 11:29:28] #0208/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.263 conf=0.400 gap=0.000
[2026-05-12 11:30:11] #0209/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:30:20] #0210/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:30:39] #0211/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:31:09] #0212/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 11:31:17] #0213/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 11:31:47] #0214/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.642 conf=0.800 gap=0.640
[2026-05-12 11:32:05] #0215/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 11:32:18] #0216/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 11:32:31] #0217/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:32:43] #0218/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:33:07] #0219/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.813 conf=0.730 gap=0.530
[2026-05-12 11:33:17] #0220/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:33:17]   [220/944] acc=152/220=69% filt=218
[2026-05-12 11:33:31] #0221/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:33:45] #0222/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:33:55] #0223/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:34:05] #0224/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:34:15] #0225/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:34:39] #0226/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 11:35:16] #0227/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:35:29] #0228/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:35:38] #0229/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:35:50] #0230/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:36:05] #0231/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 11:36:18] #0232/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 11:36:45] #0233/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:37:13] #0234/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:37:23] #0235/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:37:39] #0236/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:37:53] #0237/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.822 conf=0.700 gap=0.460
[2026-05-12 11:38:04] #0238/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:38:34] #0239/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.871 conf=0.680 gap=0.430
[2026-05-12 11:38:44] #0240/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 11:38:44]   [240/944] acc=167/240=70% filt=238
[2026-05-12 11:39:09] #0241/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:39:18] #0242/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 11:39:42] #0243/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 11:39:53] #0244/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:40:02] #0245/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 11:40:14] #0246/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:40:24] #0247/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:40:36] #0248/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:41:36] #0249/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=1.001 conf=0.600 gap=0.300
[2026-05-12 11:41:43] #0250/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:42:08] #0251/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:42:15] #0252/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:42:45] #0253/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 11:42:56] #0254/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 11:43:06] #0255/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 11:43:30] #0256/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:43:51] #0257/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 11:44:03] #0258/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:44:28] #0259/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 11:44:39] #0260/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 11:44:39]   [260/944] acc=181/260=70% filt=258
[2026-05-12 11:45:10] #0261/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:45:20] #0262/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 11:45:44] #0263/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.565 conf=0.800 gap=0.620
[2026-05-12 11:45:51] #0264/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 11:46:12] #0265/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.660 conf=0.800 gap=0.650
[2026-05-12 11:46:25] #0266/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:46:51] #0267/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.758 conf=0.800 gap=0.720
[2026-05-12 11:47:03] #0268/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:47:14] #0269/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:47:44] #0270/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:47:53] #0271/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 11:48:17] #0272/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 11:48:20] #0273/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:48:32] #0274/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:49:09] #0275/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.660 conf=0.800 gap=0.650
[2026-05-12 11:49:24] #0276/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.526 conf=0.880 gap=0.840
[2026-05-12 11:49:40] #0277/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 11:49:54] #0278/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:50:19] #0279/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:50:33] #0280/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:50:33]   [280/944] acc=196/280=70% filt=278
[2026-05-12 11:50:59] #0281/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 11:51:29] #0282/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.531 conf=0.850 gap=0.730
[2026-05-12 11:51:52] #0283/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.620 gap=0.260
[2026-05-12 11:52:02] #0284/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:52:12] #0285/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 11:52:20] #0286/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:52:32] #0287/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:53:30] #0288/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 11:53:43] #0289/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 11:54:02] #0290/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.799 conf=0.700 gap=0.450
[2026-05-12 11:54:28] #0291/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:54:31] #0292/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 11:54:39] #0293/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:54:48] #0294/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:54:51] #0295/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 11:54:58] #0296/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:55:23] #0297/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:55:48] #0298/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 11:56:07] #0299/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:56:32] #0300/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:56:32]   [300/944] acc=212/300=71% filt=298
[2026-05-12 11:56:53] #0301/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 11:57:15] #0302/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.664 conf=0.820 gap=0.740
[2026-05-12 11:57:37] #0303/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 11:57:49] #0304/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.426 conf=0.910 gap=0.880
[2026-05-12 11:58:00] #0305/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:58:02] #0306/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:58:45] #0307/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 11:58:48] #0308/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.158 conf=0.600 gap=0.400
[2026-05-12 11:58:59] #0309/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 11:59:08] #0310/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 11:59:33] #0311/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 11:59:57] #0312/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=1.163 conf=0.500 gap=0.150
[2026-05-12 11:59:59] #0313/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:00:08] #0314/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:00:16] #0315/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:00:27] #0316/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:00:48] #0317/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 12:01:01] #0318/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 12:01:14] #0319/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 12:01:23] #0320/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 12:01:23]   [320/944] acc=226/320=71% filt=317
[2026-05-12 12:01:36] #0321/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:01:59] #0322/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:02:03] #0323/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:02:17] #0324/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:02:28] #0325/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:02:55] #0326/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 12:03:04] #0327/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 12:03:14] #0328/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:03:25] #0329/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 12:03:36] #0330/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:04:02] #0331/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:04:28] #0332/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:04:54] #0333/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 12:05:04] #0334/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:05:14] #0335/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 12:05:24] #0336/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.490 conf=0.870 gap=0.770
[2026-05-12 12:05:47] #0337/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:06:07] #0338/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.752 conf=0.760 gap=0.580
[2026-05-12 12:06:20] #0339/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 12:06:49] #0340/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 12:06:49]   [340/944] acc=242/340=71% filt=337
[2026-05-12 12:07:15] #0341/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 12:07:34] #0342/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 12:07:48] #0343/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.722 conf=0.800 gap=0.680
[2026-05-12 12:08:10] #0344/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.406 conf=0.910 gap=0.860
[2026-05-12 12:08:32] #0345/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 12:09:10] #0346/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.975 conf=0.700 gap=0.550
[2026-05-12 12:09:44] #0347/00944 | true=walking(3) | pred=lying(0) | ✗ | ent=1.257 conf=0.450 gap=0.100
[2026-05-12 12:09:56] #0348/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:10:05] #0349/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:10:29] #0350/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:10:34] #0351/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 12:10:55] #0352/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 12:11:05] #0353/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:11:14] #0354/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:11:29] #0355/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:11:41] #0356/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:12:05] #0357/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.706 conf=0.790 gap=0.640
[2026-05-12 12:12:14] #0358/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 12:12:40] #0359/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:13:21] #0360/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 12:13:21]   [360/944] acc=251/360=70% filt=356
[2026-05-12 12:13:47] #0361/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 12:13:50] #0362/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 12:13:53] #0363/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 12:14:49] #0364/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.849 conf=0.700 gap=0.470
[2026-05-12 12:14:57] #0365/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 12:15:09] #0366/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:15:45] #0367/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.794 conf=0.700 gap=0.450
[2026-05-12 12:15:54] #0368/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:16:13] #0369/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:16:23] #0370/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:16:48] #0371/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:17:01] #0372/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.502 conf=0.880 gap=0.820
[2026-05-12 12:17:22] #0373/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 12:17:45] #0374/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=1.001 conf=0.600 gap=0.300
[2026-05-12 12:18:05] #0375/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 12:18:16] #0376/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:18:23] #0377/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 12:18:34] #0378/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:19:08] #0379/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 12:19:21] #0380/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:19:21]   [380/944] acc=264/380=69% filt=376
[2026-05-12 12:19:30] #0381/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.496 conf=0.880 gap=0.810
[2026-05-12 12:19:43] #0382/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:19:53] #0383/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:20:03] #0384/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 12:20:06] #0385/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:20:35] #0386/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 12:20:49] #0387/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 12:20:52] #0388/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 12:21:05] #0389/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 12:21:27] #0390/00944 | true=walking(3) | pred=sitting(1) | ✗ | ent=1.016 conf=0.650 gap=0.450
[2026-05-12 12:21:36] #0391/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 12:21:58] #0392/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.799 conf=0.760 gap=0.610
[2026-05-12 12:22:10] #0393/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:22:20] #0394/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:22:40] #0395/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:22:42] #0396/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:22:54] #0397/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 12:23:03] #0398/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:23:22] #0399/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 12:23:42] #0400/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:23:42]   [400/944] acc=281/400=70% filt=396
[2026-05-12 12:23:52] #0401/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:24:15] #0402/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 12:24:38] #0403/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 12:24:46] #0404/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.526 conf=0.880 gap=0.840
[2026-05-12 12:25:04] #0405/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 12:25:16] #0406/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:25:53] #0407/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 12:26:02] #0408/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 12:26:24] #0409/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 12:26:44] #0410/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:26:54] #0411/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 12:27:16] #0412/00944 | true=walking(3) | pred=standing(2) | ✗ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 12:27:54] #0413/00944 | true=walking(3) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
