[2026-05-11 23:14:52] #0001/03346 | true=standing | pred=standing | ✓ | ent=0.435 conf=0.880 gap=0.780
[2026-05-12 02:29:51] #0946/03346 | true=standing | pred=standing | ✓ | ent=0.476 conf=0.900 gap=0.870
[2026-05-12 02:29:56] #0947/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:30:06] #0948/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:30:48] #0949/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:30:57] #0950/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:31:00] #0951/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:31:12] #0952/03346 | true=standing | pred=standing | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 02:31:16] #0953/03346 | true=standing | pred=standing | ✓ | ent=0.552 conf=0.880 gap=0.850
[2026-05-12 02:31:21] #0954/03346 | true=standing | pred=standing | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 02:31:42] #0955/03346 | true=standing | pred=standing | ✓ | ent=1.400 conf=0.450 gap=0.150
[2026-05-12 02:32:08] #0956/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:32:11] #0957/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:32:15] #0958/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:32:20] #0959/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:32:23] #0960/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:32:26] #0961/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:32:35] #0962/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:32:39] #0963/03346 | true=standing | pred=standing | ✓ | ent=0.945 conf=0.750 gap=0.670
[2026-05-12 02:33:49] #0964/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:33:53] #0965/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:34:12] #0966/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:34:15] #0967/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 02:34:27] #0968/03346 | true=standing | pred=standing | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 02:34:30] #0969/03346 | true=standing | pred=standing | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 02:34:33] #0970/03346 | true=standing | pred=standing | ✓ | ent=0.945 conf=0.750 gap=0.670
[2026-05-12 02:34:43] #0971/03346 | true=standing | pred=standing | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 02:35:40] #0972/03346 | true=standing | pred=standing | ✓ | ent=0.736 conf=0.820 gap=0.770
[2026-05-12 02:35:43] #0973/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:36:10] #0974/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:36:15] #0975/03346 | true=standing | pred=standing | ✓ | ent=0.889 conf=0.500 gap=0.050
[2026-05-12 02:36:24] #0976/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:36:32] #0977/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:36:45] #0978/03346 | true=standing | pred=standing | ✓ | ent=0.193 conf=0.958 gap=0.920
[2026-05-12 02:37:12] #0979/03346 | true=standing | pred=standing | ✓ | ent=0.420 conf=0.910 gap=0.860
[2026-05-12 02:37:28] #0980/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:37:31] #0981/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:37:34] #0982/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:37:44] #0983/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:37:47] #0984/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:38:08] #0985/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:38:11] #0986/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:38:35] #0987/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 02:38:40] #0988/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:38:43] #0989/03346 | true=standing | pred=standing | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 02:38:47] #0990/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:38:51] #0991/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:39:10] #0992/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:39:13] #0993/03346 | true=standing | pred=standing | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 02:39:33] #0994/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:39:42] #0995/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:39:45] #0996/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:39:49] #0997/03346 | true=standing | pred=standing | ✓ | ent=0.529 conf=0.880 gap=0.830
[2026-05-12 02:40:13] #0998/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:40:39] #0999/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:40:42] #1000/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:40:47] #1001/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:40:58] #1002/03346 | true=standing | pred=standing | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 02:41:02] #1003/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:41:12] #1004/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-12 02:41:14] #1005/03346 | true=standing | pred=standing | ✓ | ent=0.716 conf=0.830 gap=0.780
[2026-05-12 02:41:34] #1006/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:41:42] #1007/03346 | true=standing | pred=standing | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 02:41:47] #1008/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:41:58] #1009/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:42:08] #1010/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:42:13] #1011/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:42:18] #1012/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:42:23] #1013/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:42:35] #1014/03346 | true=standing | pred=standing | ✓ | ent=0.338 conf=0.920 gap=0.860
[2026-05-12 02:42:40] #1015/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:42:43] #1016/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-12 02:42:46] #1017/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:42:49] #1018/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:43:55] #1019/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 02:44:23] #1020/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:44:29] #1021/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:44:33] #1022/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:44:59] #1023/03346 | true=standing | pred=standing | ✓ | ent=0.793 conf=0.740 gap=0.540
[2026-05-12 02:45:10] #1024/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:45:18] #1025/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:45:21] #1026/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 02:45:23] #1027/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:46:55] #1028/03346 | true=standing | pred=standing | ✓ | ent=0.860 conf=0.750 gap=0.650
[2026-05-12 02:47:06] #1029/03346 | true=standing | pred=standing | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-12 02:47:09] #1030/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:47:12] #1031/03346 | true=standing | pred=standing | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:47:32] #1032/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:47:35] #1033/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:48:04] #1034/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:48:07] #1035/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:48:09] #1036/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:48:30] #1037/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:48:39] #1038/03346 | true=standing | pred=standing | ✓ | ent=0.607 conf=0.850 gap=0.770
[2026-05-12 02:48:46] #1039/03346 | true=standing | pred=standing | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 02:48:51] #1040/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:49:14] #1041/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:49:45] #1042/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 02:49:48] #1043/03346 | true=standing | pred=standing | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 02:49:54] #1044/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:50:04] #1045/03346 | true=standing | pred=standing | ✓ | ent=0.687 conf=0.780 gap=0.600
[2026-05-12 02:50:07] #1046/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:50:09] #1047/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 02:50:11] #1048/03346 | true=standing | pred=standing | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:50:14] #1049/03346 | true=standing | pred=standing | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:50:17] #1050/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:50:25] #1051/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:50:44] #1052/03346 | true=standing | pred=standing | ✓ | ent=1.162 conf=0.650 gap=0.530
[2026-05-12 02:50:46] #1053/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:51:06] #1054/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:51:09] #1055/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:51:13] #1056/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:51:16] #1057/03346 | true=standing | pred=standing | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:51:18] #1058/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:51:23] #1059/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:51:44] #1060/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:51:53] #1061/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:52:12] #1062/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:52:16] #1063/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:52:28] #1064/03346 | true=standing | pred=standing | ✓ | ent=0.951 conf=0.720 gap=0.570
[2026-05-12 02:52:47] #1065/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:52:56] #1066/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:52:58] #1067/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:53:06] #1068/03346 | true=standing | pred=standing | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:54:04] #1069/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:54:12] #1070/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:55:09] #1071/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:55:16] #1072/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 02:55:31] #1073/03346 | true=standing | pred=standing | ✓ | ent=0.741 conf=0.800 gap=0.680
[2026-05-12 02:55:50] #1074/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 02:55:55] #1075/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:56:03] #1076/03346 | true=standing | pred=standing | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 02:56:07] #1077/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:56:11] #1078/03346 | true=standing | pred=standing | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 02:56:22] #1079/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:56:32] #1080/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:56:58] #1081/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:57:02] #1082/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:57:13] #1083/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 02:57:22] #1084/03346 | true=standing | pred=standing | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 02:57:28] #1085/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:57:30] #1086/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:58:13] #1088/03346 | true=standing | pred=standing | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 02:58:19] #1089/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:58:25] #1090/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:58:28] #1091/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:58:32] #1092/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:58:51] #1093/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:59:02] #1094/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:59:32] #1095/03346 | true=standing | pred=standing | ✓ | ent=0.741 conf=0.800 gap=0.680
[2026-05-12 02:59:41] #1096/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:00:02] #1097/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:00:15] #1098/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 03:00:21] #1099/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:00:39] #1100/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:00:49] #1101/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 03:00:52] #1102/03346 | true=standing | pred=standing | ✓ | ent=0.815 conf=0.780 gap=0.660
[2026-05-12 03:01:00] #1103/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:01:03] #1104/03346 | true=standing | pred=standing | ✓ | ent=0.529 conf=0.880 gap=0.830
[2026-05-12 03:01:06] #1105/03346 | true=standing | pred=standing | ✓ | ent=0.859 conf=0.750 gap=0.600
[2026-05-12 03:01:09] #1106/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:01:21] #1107/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:01:46] #1108/03346 | true=standing | pred=standing | ✓ | ent=0.486 conf=0.900 gap=0.880
[2026-05-12 03:01:56] #1109/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 03:02:07] #1110/03346 | true=standing | pred=standing | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 03:02:11] #1111/03346 | true=standing | pred=standing | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 03:02:44] #1112/03346 | true=standing | pred=standing | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 03:02:53] #1113/03346 | true=standing | pred=standing | ✓ | ent=0.930 conf=0.700 gap=0.500
[2026-05-12 03:03:04] #1114/03346 | true=standing | pred=standing | ✓ | ent=0.413 conf=0.890 gap=0.800
[2026-05-12 03:03:14] #1115/03346 | true=standing | pred=standing | ✓ | ent=0.922 conf=0.500 gap=0.050
[2026-05-12 03:03:34] #1116/03346 | true=standing | pred=standing | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 03:03:40] #1117/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:03:45] #1118/03346 | true=standing | pred=standing | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 03:03:56] #1119/03346 | true=standing | pred=standing | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-12 03:04:13] #1120/03346 | true=standing | pred=standing | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 03:04:24] #1121/03346 | true=standing | pred=standing | ✓ | ent=0.987 conf=0.480 gap=0.030
[2026-05-12 03:05:22] #1122/03346 | true=standing | pred=standing | ✓ | ent=0.272 conf=0.950 gap=0.930
[2026-05-12 03:05:49] #1123/03346 | true=standing | pred=standing | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 03:05:53] #1124/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:06:00] #1125/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:06:04] #1126/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:06:07] #1127/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 03:06:09] #1128/03346 | true=standing | pred=standing | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 03:06:14] #1129/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:06:24] #1130/03346 | true=standing | pred=standing | ✓ | ent=0.235 conf=0.950 gap=0.910
[2026-05-12 03:06:45] #1131/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:06:48] #1132/03346 | true=standing | pred=standing | ✓ | ent=0.792 conf=0.800 gap=0.720
[2026-05-12 03:06:50] #1133/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:07:09] #1134/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:07:20] #1135/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:07:26] #1136/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:07:47] #1137/03346 | true=standing | pred=standing | ✓ | ent=0.758 conf=0.800 gap=0.700
[2026-05-12 03:07:53] #1138/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:08:14] #1139/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:08:17] #1140/03346 | true=standing | pred=standing | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:08:27] #1141/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:08:57] #1142/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 03:09:01] #1143/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 03:09:20] #1144/03346 | true=standing | pred=standing | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 03:09:23] #1145/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:09:26] #1146/03346 | true=standing | pred=standing | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 03:09:38] #1147/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 03:10:20] #1148/03346 | true=standing | pred=standing | ✓ | ent=1.014 conf=0.520 gap=0.120
[2026-05-12 03:10:23] #1149/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:10:32] #1150/03346 | true=standing | pred=standing | ✓ | ent=0.517 conf=0.830 gap=0.680
[2026-05-12 03:10:39] #1151/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:10:59] #1152/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:11:07] #1153/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:11:18] #1154/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:11:26] #1155/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 03:11:29] #1156/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:12:02] #1157/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:12:22] #1158/03346 | true=standing | pred=standing | ✓ | ent=0.554 conf=0.880 gap=0.840
[2026-05-12 03:12:33] #1159/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:12:46] #1160/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:13:06] #1161/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 03:13:09] #1162/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:13:23] #1163/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:13:27] #1164/03346 | true=standing | pred=standing | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 03:13:35] #1165/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:13:37] #1166/03346 | true=standing | pred=standing | ✓ | ent=0.945 conf=0.720 gap=0.570
[2026-05-12 03:13:47] #1167/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:14:39] #1168/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:14:41] #1169/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:14:43] #1170/03346 | true=standing | pred=standing | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 03:14:49] #1171/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:14:53] #1172/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:15:22] #1173/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:15:25] #1174/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:15:28] #1175/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:15:31] #1176/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 03:15:49] #1177/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 03:15:59] #1178/03346 | true=standing | pred=standing | ✓ | ent=0.508 conf=0.890 gap=0.850
[2026-05-12 03:16:04] #1179/03346 | true=standing | pred=standing | ✓ | ent=1.251 conf=0.600 gap=0.450
[2026-05-12 03:16:09] #1180/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:16:49] #1182/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:17:02] #1183/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
