[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:10:44] #0316/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:11:01] #0317/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-11 23:11:18] #0318/00837 | true=stairs_up | pred=walk | ✗ | ent=0.993 conf=0.750 gap=0.670
[2026-05-11 23:11:34] #0319/00837 | true=stairs_up | pred=walk | ✗ | ent=0.859 conf=0.800 gap=0.750
[2026-05-11 23:11:40] #0320/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:12:00] #0321/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.180 conf=0.650 gap=0.470
[2026-05-11 23:12:11] #0322/00837 | true=stairs_up | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:12:17] #0323/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:12:27] #0324/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:12:35] #0326/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:12:44] #0327/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.034 conf=0.700 gap=0.550
[2026-05-11 23:12:48] #0328/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.158 conf=0.600 gap=0.400
[2026-05-11 23:13:26] #0329/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.119 conf=0.650 gap=0.500
[2026-05-11 23:13:42] #0330/00837 | true=stairs_up | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:13:45] #0331/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:14:18] #0334/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:15:53] #0340/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:16:17] #0341/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:16:21] #0342/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:16:28] #0343/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.061 conf=0.700 gap=0.550
[2026-05-11 23:19:13] #0344/00837 | true=stairs_up | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:19:39] #0345/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.873 conf=0.750 gap=0.600
[2026-05-11 23:19:55] #0346/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-11 23:20:17] #0349/00837 | true=stairs_up | pred=walk | ✗ | ent=0.638 conf=0.850 gap=0.800
[2026-05-11 23:20:51] #0350/00837 | true=stairs_up | pred=walk | ✗ | ent=0.124 conf=0.980 gap=0.970
[2026-05-11 23:21:17] #0351/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:21:25] #0352/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.061 conf=0.700 gap=0.580
[2026-05-11 23:21:28] #0353/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:21:50] #0354/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:22:00] #0355/00837 | true=stairs_up | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:22:13] #0356/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:23:19] #0357/00837 | true=stairs_up | pred=walk | ✗ | ent=0.393 conf=0.929 gap=0.919
[2026-05-11 23:24:13] #0358/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:24:22] #0359/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.146 conf=0.700 gap=0.600
[2026-05-11 23:24:34] #0360/00837 | true=stairs_up | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:24:50] #0361/00837 | true=stairs_up | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:25:12] #0362/00837 | true=stairs_up | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:25:43] #0363/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.056 conf=0.700 gap=0.550
[2026-05-11 23:26:11] #0365/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 23:26:56] #0367/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:29:01] #0369/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.841 conf=0.700 gap=0.460
[2026-05-11 23:29:05] #0370/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:29:38] #0372/00837 | true=stairs_up | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:30:48] #0374/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:31:09] #0375/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.192 conf=0.650 gap=0.500
[2026-05-11 23:31:36] #0376/00837 | true=stairs_up | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:31:58] #0377/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:32:20] #0379/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-11 23:32:24] #0380/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:33:03] #0383/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.129 conf=0.650 gap=0.450
[2026-05-11 23:33:06] #0384/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:33:15] #0385/00837 | true=stairs_up | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-11 23:33:42] #0386/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:34:06] #0387/00837 | true=stairs_up | pred=walk | ✗ | ent=0.924 conf=0.780 gap=0.730
[2026-05-11 23:34:22] #0388/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 23:34:25] #0389/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:34:45] #0390/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-11 23:35:05] #0391/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:35:23] #0392/00837 | true=stairs_up | pred=walk | ✗ | ent=1.113 conf=0.700 gap=0.600
[2026-05-11 23:36:23] #0396/00837 | true=stairs_up | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:36:32] #0397/00837 | true=stairs_up | pred=run | ✗ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 23:37:13] #0398/00837 | true=stairs_up | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:37:23] #0399/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.925 conf=0.750 gap=0.620
[2026-05-11 23:37:36] #0402/00837 | true=stairs_up | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-11 23:37:43] #0403/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:38:32] #0404/00837 | true=stairs_up | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 23:38:43] #0405/00837 | true=stairs_up | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:38:45] #0406/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:38:58] #0407/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:39:26] #0408/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.836 conf=0.800 gap=0.730
[2026-05-11 23:39:37] #0410/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:39:43] #0411/00837 | true=stairs_up | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 23:39:54] #0412/00837 | true=stairs_up | pred=run | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 23:41:15] #0413/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.334 conf=0.940 gap=0.930
[2026-05-11 23:41:39] #0414/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:41:46] #0416/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 23:42:48] #0417/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-11 23:43:54] #0418/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:44:00] #0419/00837 | true=stairs_up | pred=walk | ✗ | ent=1.265 conf=0.650 gap=0.570
[2026-05-11 23:45:01] #0422/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:45:04] #0423/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:45:27] #0424/00837 | true=stairs_up | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:46:02] #0425/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:46:34] #0426/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-11 23:47:08] #0428/00837 | true=stairs_up | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 23:47:24] #0429/00837 | true=stairs_up | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 23:47:30] #0430/00837 | true=stairs_up | pred=walk | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:47:40] #0431/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.799 conf=0.700 gap=0.450
[2026-05-11 23:48:13] #0433/00837 | true=stairs_up | pred=sit | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:48:19] #0434/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.307 conf=0.550 gap=0.350
[2026-05-11 23:49:06] #0436/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:49:41] #0439/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.745 conf=0.820 gap=0.740
[2026-05-11 23:51:11] #0440/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:51:57] #0442/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 23:52:25] #0443/00837 | true=stairs_up | pred=walk | ✗ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 23:52:53] #0444/00837 | true=stairs_up | pred=walk | ✗ | ent=0.650 conf=0.850 gap=0.800
[2026-05-11 23:52:57] #0445/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:52:59] #0446/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:53:48] #0449/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.156 conf=0.556 gap=0.253
[2026-05-11 23:55:19] #0451/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:55:47] #0453/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:57:13] #0454/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.715 conf=0.820 gap=0.720
[2026-05-11 23:57:19] #0455/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.754 conf=0.750 gap=0.550
[2026-05-11 23:57:46] #0456/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 23:58:06] #0458/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.113 conf=0.700 gap=0.600
[2026-05-11 23:58:47] #0460/00837 | true=stairs_up | pred=lying | ✗ | ent=1.389 conf=0.550 gap=0.350
[2026-05-11 23:59:09] #0461/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.552 conf=0.880 gap=0.830
[2026-05-11 23:59:50] #0462/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:00:02] #0463/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:00:14] #0464/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 00:00:26] #0465/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 00:00:58] #0466/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:01:27] #0468/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.998 conf=0.720 gap=0.570
[2026-05-12 00:01:56] #0469/00837 | true=stairs_up | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 00:02:07] #0470/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.759 conf=0.780 gap=0.630
[2026-05-12 00:02:15] #0471/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.176 conf=0.650 gap=0.500
[2026-05-12 00:02:23] #0473/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.221 conf=0.550 gap=0.250
[2026-05-12 00:03:25] #0475/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:03:49] #0476/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:04:51] #0479/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:05:21] #0480/00837 | true=stairs_up | pred=walk | ✗ | ent=1.071 conf=0.720 gap=0.640
[2026-05-12 00:05:24] #0481/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:07:40] #0484/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.107 conf=0.700 gap=0.600
[2026-05-12 00:08:50] #0485/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.221 conf=0.550 gap=0.250
[2026-05-12 00:09:18] #0486/00837 | true=stairs_up | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 00:09:33] #0487/00837 | true=stairs_up | pred=walk | ✗ | ent=0.752 conf=0.820 gap=0.740
[2026-05-12 00:09:57] #0489/00837 | true=stairs_up | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 00:10:35] #0490/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:10:48] #0491/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:10:52] #0492/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:12:11] #0494/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:12:58] #0495/00837 | true=stairs_up | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 00:13:09] #0496/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.169 conf=0.600 gap=0.350
[2026-05-12 00:13:29] #0498/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:13:37] #0499/00837 | true=stairs_up | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:14:05] #0500/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:16:11] #0502/00837 | true=stairs_up | pred=walk | ✗ | ent=1.321 conf=0.550 gap=0.350
[2026-05-12 00:16:14] #0503/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:16:38] #0504/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 00:17:26] #0506/00837 | true=stairs_up | pred=walk | ✗ | ent=0.940 conf=0.750 gap=0.670
[2026-05-12 00:17:58] #0509/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:18:34] #0511/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 00:18:49] #0512/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.342 conf=0.550 gap=0.300
[2026-05-12 00:20:24] #0513/00837 | true=stairs_up | pred=walk | ✗ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 00:20:58] #0514/00837 | true=stairs_up | pred=walk | ✗ | ent=1.482 conf=0.550 gap=0.420
[2026-05-12 00:21:10] #0515/00837 | true=stairs_up | pred=walk | ✗ | ent=1.400 conf=0.550 gap=0.400
[2026-05-12 00:21:20] #0516/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-12 00:21:24] #0517/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:22:26] #0518/00837 | true=stairs_up | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:22:29] #0519/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:22:45] #0520/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 00:23:35] #0521/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:24:39] #0523/00837 | true=stairs_up | pred=walk | ✗ | ent=1.211 conf=0.650 gap=0.500
[2026-05-12 00:25:46] #0525/00837 | true=stairs_up | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:27:49] #0527/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:28:54] #0528/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:29:14] #0529/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:29:32] #0530/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.893 conf=0.680 gap=0.480
[2026-05-12 00:29:40] #0531/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:29:51] #0532/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.735 conf=0.670 gap=0.370
[2026-05-12 00:30:08] #0533/00837 | true=stairs_up | pred=stand | ✗ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 00:30:21] #0534/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:30:57] #0536/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.175 conf=0.600 gap=0.350
[2026-05-12 00:31:07] #0537/00837 | true=stairs_up | pred=walk | ✗ | ent=0.789 conf=0.820 gap=0.770
[2026-05-12 00:31:29] #0539/00837 | true=stairs_up | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:31:55] #0540/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.919 conf=0.550 gap=0.150
[2026-05-12 00:31:58] #0541/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:32:05] #0542/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:32:56] #0544/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:33:19] #0546/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:34:09] #0549/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 00:34:20] #0552/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-12 00:34:46] #0553/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 00:34:57] #0554/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 00:35:19] #0555/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:35:49] #0556/00837 | true=stairs_up | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 00:36:16] #0557/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:36:36] #0559/00837 | true=stairs_up | pred=walk | ✗ | ent=0.959 conf=0.750 gap=0.670
[2026-05-12 00:37:28] #0560/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:37:31] #0561/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:37:44] #0562/00837 | true=stairs_up | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:39:13] #0564/00837 | true=stairs_up | pred=shuffle | ✗ | ent=1.175 conf=0.600 gap=0.450
[2026-05-12 00:40:30] #0569/00837 | true=stairs_up | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 00:40:44] #0570/00837 | true=stairs_up | pred=walk | ✗ | ent=0.747 conf=0.820 gap=0.750
[2026-05-12 00:41:00] #0571/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:41:47] #0572/00837 | true=stairs_up | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:42:22] #0573/00837 | true=stairs_up | pred=walk | ✗ | ent=0.974 conf=0.750 gap=0.670
[2026-05-12 00:42:52] #0574/00837 | true=stairs_up | pred=walk | ✗ | ent=0.847 conf=0.780 gap=0.700
[2026-05-12 00:43:08] #0575/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.065 conf=0.700 gap=0.550
[2026-05-12 00:44:08] #0576/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.308 conf=0.550 gap=0.300
[2026-05-12 00:44:36] #0577/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.415 conf=0.550 gap=0.400
[2026-05-12 00:44:42] #0578/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 00:45:02] #0579/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:45:14] #0580/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.214 conf=0.650 gap=0.500
[2026-05-12 00:45:28] #0581/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.042 conf=0.700 gap=0.550
[2026-05-12 00:45:47] #0583/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:46:03] #0584/00837 | true=stairs_up | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:46:30] #0587/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.749 conf=0.720 gap=0.480
[2026-05-12 00:46:39] #0588/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.967 conf=0.520 gap=0.120
[2026-05-12 00:46:58] #0589/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 00:47:37] #0590/00837 | true=stairs_up | pred=walk | ✗ | ent=0.888 conf=0.750 gap=0.600
[2026-05-12 00:47:57] #0591/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:48:13] #0592/00837 | true=stairs_up | pred=walk | ✗ | ent=1.096 conf=0.700 gap=0.600
[2026-05-12 00:48:43] #0593/00837 | true=stairs_up | pred=walk | ✗ | ent=1.011 conf=0.750 gap=0.690
[2026-05-12 00:49:04] #0595/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:49:17] #0596/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 00:49:36] #0597/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:49:46] #0599/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:50:20] #0601/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.354 conf=0.550 gap=0.350
[2026-05-12 00:51:21] #0604/00837 | true=stairs_up | pred=walk | ✗ | ent=1.211 conf=0.650 gap=0.500
[2026-05-12 00:51:49] #0605/00837 | true=stairs_up | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 00:52:47] #0608/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:53:10] #0610/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:53:22] #0611/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:53:45] #0612/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:54:12] #0614/00837 | true=stairs_up | pred=lying | ✗ | ent=0.357 conf=0.920 gap=0.880
[2026-05-12 00:54:30] #0615/00837 | true=stairs_up | pred=walk | ✗ | ent=0.680 conf=0.820 gap=0.700
