[2026-05-11 11:03:20] #0001/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:37:48] #1444/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 19:38:11] #1445/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:38:34] #1446/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.662 | conf=0.820 | gap=0.740
[2026-05-11 19:38:46] #1447/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 19:39:01] #1448/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 19:39:17] #1449/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:39:51] #1450/05900 | true=Lay(5) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:40:03] #1451/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 19:40:31] #1452/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 19:40:56] #1453/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 19:41:18] #1454/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 19:41:28] #1455/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:41:55] #1456/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 19:42:07] #1457/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:42:40] #1458/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 19:43:21] #1459/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:43:49] #1460/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-11 19:44:19] #1461/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 19:44:31] #1462/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:44:42] #1463/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:44:52] #1464/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:45:04] #1465/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:45:50] #1466/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 19:46:01] #1467/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:46:12] #1468/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:47:06] #1469/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 19:47:21] #1470/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:47:47] #1471/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-11 19:48:25] #1472/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:48:39] #1473/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:48:47] #1474/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:49:50] #1475/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 19:50:17] #1476/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 19:50:32] #1477/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:50:57] #1478/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 19:51:10] #1479/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:51:38] #1480/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 19:51:51] #1481/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.172 | conf=0.969 | gap=0.959
[2026-05-11 19:52:01] #1482/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.170 | conf=0.969 | gap=0.959
[2026-05-11 19:52:12] #1483/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:52:27] #1484/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.168 | conf=0.970 | gap=0.960
[2026-05-11 19:53:02] #1485/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.979 | conf=0.650 | gap=0.400
[2026-05-11 19:53:46] #1486/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.154 | conf=0.970 | gap=0.950
[2026-05-11 19:53:56] #1487/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 19:54:08] #1488/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 19:54:34] #1489/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 19:54:45] #1490/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:55:26] #1491/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 19:55:38] #1492/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:55:47] #1493/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 19:55:59] #1494/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:56:25] #1495/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:56:37] #1496/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:56:52] #1497/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:57:06] #1498/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:57:46] #1499/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.496 | conf=0.880 | gap=0.830
[2026-05-11 19:57:57] #1500/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:58:20] #1501/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:58:31] #1502/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 19:59:01] #1503/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 19:59:11] #1504/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:59:23] #1505/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 19:59:34] #1506/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:00:08] #1507/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.376 | conf=0.920 | gap=0.880
[2026-05-11 20:00:18] #1508/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:00:29] #1509/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:00:42] #1510/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-11 20:01:11] #1511/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 20:01:48] #1512/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 20:02:08] #1513/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:02:28] #1514/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:03:35] #1515/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:03:49] #1516/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 20:04:04] #1517/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 20:04:58] #1518/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.337 | conf=0.918 | gap=0.867
[2026-05-11 20:05:30] #1519/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:06:14] #1520/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:06:38] #1521/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.288 | conf=0.940 | gap=0.910
[2026-05-11 20:06:53] #1522/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 20:07:05] #1523/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 20:07:16] #1524/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:07:42] #1525/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:08:03] #1526/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 20:08:29] #1527/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 20:08:59] #1528/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 20:09:13] #1529/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:09:27] #1530/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:10:00] #1531/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 20:10:13] #1532/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:10:22] #1533/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:10:50] #1534/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 20:11:42] #1535/05900 | true=Lay(5) | pred=Talk-stand(3) | ✗ | ent=0.824 | conf=0.600 | gap=0.250
[2026-05-11 20:12:16] #1536/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:12:26] #1537/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 20:12:53] #1538/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 20:13:05] #1539/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:13:19] #1540/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 20:13:46] #1541/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 20:14:14] #1542/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.668 | conf=0.789 | gap=0.632
[2026-05-11 20:14:28] #1543/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 20:15:00] #1544/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 20:15:31] #1545/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 20:15:41] #1546/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:15:55] #1547/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:16:06] #1548/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 20:16:33] #1549/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:16:47] #1550/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:17:13] #1551/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:18:12] #1553/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:18:25] #1554/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:18:38] #1555/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 20:18:47] #1556/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:19:11] #1557/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 20:19:38] #1558/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 20:19:51] #1559/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:20:26] #1560/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.832 | conf=0.737 | gap=0.611
[2026-05-11 20:20:57] #1561/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:21:25] #1562/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.213 | conf=0.959 | gap=0.939
[2026-05-11 20:21:39] #1563/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:22:07] #1564/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:22:51] #1565/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.571 | conf=0.850 | gap=0.750
[2026-05-11 20:23:02] #1566/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:23:15] #1567/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 20:23:28] #1568/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 20:23:44] #1569/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:23:59] #1570/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.257 | conf=0.948 | gap=0.928
[2026-05-11 20:24:28] #1571/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 20:24:41] #1572/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 20:24:56] #1573/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:25:27] #1574/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:25:39] #1575/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:25:50] #1576/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:26:57] #1578/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:27:23] #1579/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:27:38] #1580/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 20:28:10] #1581/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:28:52] #1582/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 20:29:05] #1583/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 20:29:18] #1584/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:30:19] #1586/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=1.033 | conf=0.600 | gap=0.350
[2026-05-11 20:30:47] #1587/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.873 | conf=0.720 | gap=0.570
[2026-05-11 20:31:24] #1588/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=1.142 | conf=0.650 | gap=0.500
[2026-05-11 20:31:54] #1589/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.638 | conf=0.800 | gap=0.650
[2026-05-11 20:32:42] #1590/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.356 | conf=0.918 | gap=0.867
[2026-05-11 20:32:55] #1591/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.431 | conf=0.907 | gap=0.876
[2026-05-11 20:33:25] #1592/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.698 | conf=0.820 | gap=0.740
[2026-05-11 20:33:41] #1593/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 20:33:53] #1594/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:34:22] #1595/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 20:34:35] #1596/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:34:59] #1597/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:35:12] #1598/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-11 20:35:33] #1599/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:35:47] #1600/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:35:58] #1601/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:36:44] #1602/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:36:57] #1603/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 20:37:36] #1604/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:37:48] #1605/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:38:14] #1606/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 20:38:41] #1607/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.302 | conf=0.928 | gap=0.876
[2026-05-11 20:38:53] #1608/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 20:39:28] #1609/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.170 | conf=0.969 | gap=0.959
[2026-05-11 20:40:02] #1610/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 20:40:16] #1611/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:40:47] #1612/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:40:59] #1613/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:41:12] #1614/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:41:24] #1615/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 20:41:51] #1616/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.748 | conf=0.780 | gap=0.660
[2026-05-11 20:42:36] #1617/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:42:48] #1618/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:43:14] #1619/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:43:46] #1620/05900 | true=Lay(5) | pred=Talk-stand(3) | ✗ | ent=1.487 | conf=0.550 | gap=0.370
[2026-05-11 20:44:00] #1621/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:44:14] #1622/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:44:52] #1623/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 20:45:08] #1624/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 20:45:22] #1625/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:45:34] #1626/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 20:46:04] #1627/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:46:35] #1628/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.873 | conf=0.720 | gap=0.570
[2026-05-11 20:46:47] #1629/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:47:00] #1630/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.343 | conf=0.926 | gap=0.895
[2026-05-11 20:47:11] #1631/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:47:42] #1632/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:48:06] #1633/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:48:21] #1634/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 20:48:45] #1635/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 20:48:59] #1636/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:49:25] #1637/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 20:49:50] #1638/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:50:17] #1639/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:50:59] #1640/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 20:51:11] #1641/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 20:51:39] #1642/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 20:51:55] #1643/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 20:52:07] #1644/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 20:52:46] #1646/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-11 20:53:15] #1647/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 20:53:24] #1648/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
