[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-13 18:30:06] #0184/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-13 18:30:46] #0187/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.342 conf=0.550 gap=0.300
[2026-05-13 18:31:01] #0189/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:32:53] #0199/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-13 18:34:14] #0207/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.129 conf=0.650 gap=0.450
[2026-05-13 18:34:56] #0211/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:35:50] #0215/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-13 18:37:53] #0224/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 18:38:04] #0225/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 18:38:15] #0226/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 18:38:30] #0227/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 18:39:30] #0232/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.050 conf=0.480 gap=0.060
[2026-05-13 18:41:03] #0241/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 18:41:35] #0243/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-13 18:43:50] #0253/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:44:55] #0258/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-13 18:45:35] #0262/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-13 18:46:09] #0265/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 18:49:46] #0281/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 18:50:29] #0286/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.550 gap=0.250
[2026-05-13 18:50:41] #0287/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-13 18:50:57] #0289/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 18:52:13] #0295/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-13 18:55:58] #0314/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.930 conf=0.480 gap=0.020
[2026-05-13 18:56:44] #0318/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 18:57:50] #0325/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 18:58:00] #0326/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.197 conf=0.500 gap=0.150
[2026-05-13 18:58:05] #0327/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 18:58:15] #0328/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 18:58:42] #0331/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 18:58:51] #0332/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.213 conf=0.650 gap=0.500
[2026-05-13 18:59:29] #0335/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 19:01:30] #0346/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.055 conf=0.650 gap=0.450
[2026-05-13 19:02:05] #0349/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.462 conf=0.400 gap=0.100
[2026-05-13 19:02:37] #0352/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 19:02:55] #0353/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.127 conf=0.700 gap=0.600
[2026-05-13 19:04:41] #0361/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.295 conf=0.600 gap=0.400
[2026-05-13 19:05:58] #0368/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-13 19:10:12] #0387/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.720 conf=0.350 gap=0.100
[2026-05-13 19:10:42] #0390/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.158 conf=0.620 gap=0.400
[2026-05-13 19:10:54] #0391/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-13 19:11:33] #0395/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.342 conf=0.450 gap=0.100
[2026-05-13 19:12:13] #0398/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.051 conf=0.720 gap=0.620
[2026-05-13 19:12:59] #0402/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.880 conf=0.780 gap=0.680
[2026-05-13 19:13:20] #0403/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-13 19:13:23] #0404/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-13 19:14:08] #0409/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 19:15:19] #0412/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-13 19:17:15] #0421/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-13 19:17:26] #0422/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-13 19:17:35] #0423/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:19:11] #0433/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:20:01] #0437/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.900 conf=0.750 gap=0.600
[2026-05-13 19:20:33] #0440/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.146 conf=0.700 gap=0.600
[2026-05-13 19:21:14] #0443/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.385 conf=0.400 gap=0.050
[2026-05-13 19:21:33] #0445/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:22:19] #0448/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-13 19:22:44] #0451/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 19:22:57] #0452/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:24:43] #0461/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.673 conf=0.780 gap=0.600
[2026-05-13 19:25:21] #0464/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 19:26:21] #0470/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.803 conf=0.800 gap=0.700
[2026-05-13 19:26:31] #0471/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.379 conf=0.420 gap=0.040
[2026-05-13 19:28:21] #0479/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-13 19:28:28] #0480/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:28:36] #0481/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.286 conf=0.480 gap=0.130
[2026-05-13 19:30:36] #0493/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.384 conf=0.420 gap=0.040
[2026-05-13 19:31:18] #0497/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.062 conf=0.700 gap=0.550
[2026-05-13 19:32:13] #0502/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.839 conf=0.579 gap=0.211
[2026-05-13 19:32:59] #0506/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-13 19:33:39] #0509/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 19:33:54] #0511/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:34:13] #0512/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-13 19:34:37] #0515/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-13 19:34:58] #0517/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.656 conf=0.300 gap=0.050
[2026-05-13 19:35:05] #0518/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-13 19:35:24] #0520/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-13 19:36:02] #0524/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.724 conf=0.650 gap=0.320
[2026-05-13 19:36:30] #0526/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 19:36:44] #0527/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.489 conf=0.890 gap=0.830
[2026-05-13 19:37:16] #0530/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:37:50] #0533/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.565 conf=0.800 gap=0.620
[2026-05-13 19:38:45] #0538/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.198 conf=0.660 gap=0.510
[2026-05-13 19:39:40] #0542/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 19:42:05] #0554/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.200 conf=0.650 gap=0.530
[2026-05-13 19:42:15] #0555/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 19:42:26] #0556/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.262 conf=0.450 gap=0.050
[2026-05-13 19:43:40] #0562/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-13 19:43:47] #0563/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 19:43:56] #0564/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.393 conf=0.450 gap=0.100
[2026-05-13 19:44:20] #0566/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:45:09] #0569/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 19:45:35] #0571/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-13 19:45:45] #0572/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.285 conf=0.620 gap=0.470
[2026-05-13 19:46:26] #0576/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-13 19:47:00] #0579/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:48:20] #0585/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-13 19:48:27] #0586/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:48:40] #0587/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.065 conf=0.700 gap=0.550
[2026-05-13 19:50:13] #0594/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-13 19:50:52] #0598/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.476 conf=0.500 gap=0.250
[2026-05-13 19:51:15] #0600/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-13 19:51:26] #0601/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-13 19:51:35] #0602/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.354 conf=0.450 gap=0.100
[2026-05-13 19:51:43] #0603/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-13 19:52:06] #0605/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 19:53:26] #0611/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.857 conf=0.526 gap=0.105
[2026-05-13 19:54:57] #0617/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-13 19:55:28] #0620/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-13 19:55:40] #0621/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.195 conf=0.450 gap=0.100
[2026-05-13 19:57:27] #0630/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.543 conf=0.350 gap=0.050
[2026-05-13 19:57:59] #0633/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 19:58:45] #0637/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.537 conf=0.400 gap=0.150
[2026-05-13 20:00:36] #0644/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.900 conf=0.750 gap=0.600
[2026-05-13 20:01:17] #0647/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 20:01:39] #0649/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-13 20:03:04] #0655/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 20:03:27] #0657/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.032 conf=0.750 gap=0.700
[2026-05-13 20:04:24] #0660/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.318 conf=0.600 gap=0.450
[2026-05-13 20:04:36] #0661/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 20:04:48] #0662/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 20:05:38] #0666/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.118 conf=0.500 gap=0.100
[2026-05-13 20:08:49] #0681/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-13 20:09:13] #0683/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 20:09:21] #0684/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.627 conf=0.350 gap=0.050
[2026-05-13 20:09:31] #0685/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.324 conf=0.420 gap=0.020
[2026-05-13 20:10:00] #0688/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-13 20:10:22] #0690/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.900 conf=0.750 gap=0.600
[2026-05-13 20:10:29] #0691/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 20:11:48] #0696/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.017 conf=0.707 gap=0.566
[2026-05-13 20:12:10] #0698/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 20:13:25] #0705/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 20:13:35] #0706/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 20:14:04] #0709/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 20:15:10] #0714/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.680 conf=0.300 gap=0.050
[2026-05-13 20:15:27] #0716/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.630 conf=0.400 gap=0.150
[2026-05-13 20:15:41] #0718/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 20:16:30] #0722/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.015 conf=0.680 gap=0.480
[2026-05-13 20:19:46] #0736/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.368 conf=0.500 gap=0.200
