[2026-05-11 21:51:49] HARTH class 4 (stairs_down) T=0.8
[2026-05-11 21:51:49]   747 windows
[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 22:58:37] #0214/00747 | true=stairs_down | pred=walk | ✗ | ent=0.563 conf=0.880 gap=0.840
[2026-05-11 22:58:45] #0215/00747 | true=stairs_down | pred=walk | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:59:09] #0216/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:59:18] #0217/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 22:59:33] #0218/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 22:59:40] #0219/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 23:00:18] #0220/00747 | true=stairs_down | pred=walk | ✗ | ent=0.365 conf=0.920 gap=0.870
[2026-05-11 23:00:18]   [220/747] acc=24% filt=178
[2026-05-11 23:00:29] #0221/00747 | true=stairs_down | pred=walk | ✗ | ent=0.660 conf=0.850 gap=0.800
[2026-05-11 23:00:45] #0222/00747 | true=stairs_down | pred=lying | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:01:08] #0223/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:01:35] #0224/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 23:01:48] #0225/00747 | true=stairs_down | pred=walk | ✗ | ent=0.823 conf=0.700 gap=0.450
[2026-05-11 23:02:09] #0226/00747 | true=stairs_down | pred=walk | ✗ | ent=0.881 conf=0.750 gap=0.600
[2026-05-11 23:02:25] #0227/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.464 conf=0.450 gap=0.150
[2026-05-11 23:02:36] #0228/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:02:53] #0229/00747 | true=stairs_down | pred=walk | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:03:09] #0230/00747 | true=stairs_down | pred=walk | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 23:03:34] #0231/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.275 conf=0.550 gap=0.300
[2026-05-11 23:03:53] #0232/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 23:04:02] #0233/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.342 conf=0.450 gap=0.100
[2026-05-11 23:04:23] #0234/00747 | true=stairs_down | pred=walk | ✗ | ent=0.397 conf=0.920 gap=0.880
[2026-05-11 23:04:51] #0235/00747 | true=stairs_down | pred=walk | ✗ | ent=0.685 conf=0.850 gap=0.810
[2026-05-11 23:05:25] #0236/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.551 conf=0.854 gap=0.753
[2026-05-11 23:05:55] #0237/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.441 conf=0.350 gap=0.100
[2026-05-11 23:06:08] #0238/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:06:31] #0239/00747 | true=stairs_down | pred=walk | ✗ | ent=0.876 conf=0.750 gap=0.650
[2026-05-11 23:06:48] #0240/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 23:06:48]   [240/747] acc=23% filt=193
[2026-05-11 23:07:11] #0241/00747 | true=stairs_down | pred=walk | ✗ | ent=1.326 conf=0.550 gap=0.350
[2026-05-11 23:07:25] #0242/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:08:06] #0243/00747 | true=stairs_down | pred=walk | ✗ | ent=0.926 conf=0.750 gap=0.670
[2026-05-11 23:08:18] #0244/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 23:08:30] #0245/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:08:51] #0246/00747 | true=stairs_down | pred=walk | ✗ | ent=1.050 conf=0.720 gap=0.600
[2026-05-11 23:09:06] #0247/00747 | true=stairs_down | pred=walk | ✗ | ent=0.543 conf=0.850 gap=0.750
[2026-05-11 23:09:36] #0248/00747 | true=stairs_down | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:09:44] #0249/00747 | true=stairs_down | pred=walk | ✗ | ent=0.954 conf=0.750 gap=0.670
[2026-05-11 23:09:50] #0250/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:09:58] #0251/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 23:10:07] #0252/00747 | true=stairs_down | pred=walk | ✗ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 23:10:33] #0253/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 23:13:03] #0254/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:13:18] #0255/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.967 conf=0.600 gap=0.300
[2026-05-11 23:13:41] #0256/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:13:50] #0257/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.973 conf=0.200 gap=0.000
[2026-05-11 23:14:04] #0258/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.457 conf=0.870 gap=0.770
[2026-05-11 23:14:31] #0259/00747 | true=stairs_down | pred=walk | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:14:37] #0260/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.543 conf=0.350 gap=0.050
[2026-05-11 23:14:37]   [260/747] acc=22% filt=210
[2026-05-11 23:14:45] #0261/00747 | true=stairs_down | pred=walk | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:15:00] #0262/00747 | true=stairs_down | pred=walk | ✗ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 23:15:32] #0263/00747 | true=stairs_down | pred=walk | ✗ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 23:15:43] #0264/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 23:16:24] #0265/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-11 23:16:27] #0266/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-11 23:16:57] #0267/00747 | true=stairs_down | pred=walk | ✗ | ent=1.107 conf=0.700 gap=0.600
[2026-05-11 23:17:29] #0268/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.142 conf=0.680 gap=0.530
[2026-05-11 23:17:36] #0269/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:18:03] #0270/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 23:19:27] #0271/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:20:00] #0272/00747 | true=stairs_down | pred=walk | ✗ | ent=1.737 conf=0.350 gap=0.150
[2026-05-11 23:21:49] #0273/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.005 conf=0.550 gap=0.170
[2026-05-11 23:22:13] #0274/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.419 conf=0.898 gap=0.818
[2026-05-11 23:23:16] #0275/00747 | true=stairs_down | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 23:23:32] #0276/00747 | true=stairs_down | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:23:56] #0277/00747 | true=stairs_down | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:24:05] #0278/00747 | true=stairs_down | pred=walk | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:25:57] #0279/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.892 conf=0.750 gap=0.600
[2026-05-11 23:26:08] #0280/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 23:26:08]   [280/747] acc=22% filt=227
[2026-05-11 23:26:16] #0281/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:26] #0282/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.630 conf=0.400 gap=0.150
[2026-05-11 23:26:55] #0283/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:27:08] #0284/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.904 conf=0.600 gap=0.250
[2026-05-11 23:27:39] #0285/00747 | true=stairs_down | pred=walk | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-11 23:28:02] #0286/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-11 23:28:33] #0287/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:28:52] #0288/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.990 conf=0.550 gap=0.200
[2026-05-11 23:29:10] #0289/00747 | true=stairs_down | pred=lying | ✗ | ent=1.584 conf=0.300 gap=0.050
[2026-05-11 23:29:27] #0290/00747 | true=stairs_down | pred=walk | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-11 23:30:02] #0291/00747 | true=stairs_down | pred=walk | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 23:31:05] #0292/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:31:19] #0293/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:32:21] #0294/00747 | true=stairs_down | pred=run | ✗ | ent=0.481 conf=0.900 gap=0.870
[2026-05-11 23:32:36] #0295/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.366 conf=0.400 gap=0.050
[2026-05-11 23:32:47] #0296/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.381 conf=0.550 gap=0.400
[2026-05-11 23:33:04] #0297/00747 | true=stairs_down | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 23:33:11] #0298/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:33:27] #0299/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:34:03] #0300/00747 | true=stairs_down | pred=walk | ✗ | ent=0.902 conf=0.780 gap=0.700
[2026-05-11 23:34:03]   [300/747] acc=23% filt=244
[2026-05-11 23:34:18] #0301/00747 | true=stairs_down | pred=run | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:35:15] #0302/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:35:28] #0303/00747 | true=stairs_down | pred=walk | ✗ | ent=0.635 conf=0.850 gap=0.770
[2026-05-11 23:35:45] #0304/00747 | true=stairs_down | pred=walk | ✗ | ent=0.652 conf=0.850 gap=0.790
[2026-05-11 23:35:56] #0305/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.466 conf=0.500 gap=0.300
[2026-05-11 23:36:10] #0306/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 23:36:28] #0307/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.943 conf=0.750 gap=0.650
[2026-05-11 23:36:58] #0308/00747 | true=stairs_down | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 23:37:10] #0309/00747 | true=stairs_down | pred=walk | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:37:21] #0310/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.352 conf=0.380 gap=0.030
[2026-05-11 23:37:38] #0311/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.170 conf=0.650 gap=0.470
[2026-05-11 23:37:58] #0312/00747 | true=stairs_down | pred=walk | ✗ | ent=1.552 conf=0.400 gap=0.150
[2026-05-11 23:39:43] #0313/00747 | true=stairs_down | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:39:54] #0314/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.431 conf=0.420 gap=0.070
[2026-05-11 23:40:26] #0315/00747 | true=stairs_down | pred=walk | ✗ | ent=1.293 conf=0.650 gap=0.550
[2026-05-11 23:40:34] #0316/00747 | true=stairs_down | pred=run | ✗ | ent=0.526 conf=0.891 gap=0.842
[2026-05-11 23:40:46] #0317/00747 | true=stairs_down | pred=walk | ✗ | ent=0.924 conf=0.780 gap=0.730
[2026-05-11 23:41:18] #0318/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.304 conf=0.350 gap=0.000
[2026-05-11 23:41:32] #0319/00747 | true=stairs_down | pred=walk | ✗ | ent=0.289 conf=0.950 gap=0.940
[2026-05-11 23:41:45] #0320/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:41:45]   [320/747] acc=23% filt=259
[2026-05-11 23:42:07] #0321/00747 | true=stairs_down | pred=walk | ✗ | ent=1.267 conf=0.600 gap=0.450
[2026-05-11 23:42:37] #0322/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:42:48] #0323/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.623 conf=0.400 gap=0.150
[2026-05-11 23:42:58] #0324/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.575 conf=0.350 gap=0.050
[2026-05-11 23:43:47] #0325/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:43:56] #0326/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.106 conf=0.450 gap=0.050
[2026-05-11 23:45:01] #0327/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.879 conf=0.470 gap=0.000
[2026-05-11 23:45:18] #0328/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.650 gap=0.500
[2026-05-11 23:46:50] #0329/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:47:14] #0330/00747 | true=stairs_down | pred=walk | ✗ | ent=0.706 conf=0.780 gap=0.630
[2026-05-11 23:48:09] #0331/00747 | true=stairs_down | pred=walk | ✗ | ent=0.653 conf=0.850 gap=0.800
[2026-05-11 23:48:37] #0332/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:48:54] #0333/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.461 conf=0.900 gap=0.850
[2026-05-11 23:49:22] #0334/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.504 conf=0.450 gap=0.200
[2026-05-11 23:50:26] #0335/00747 | true=stairs_down | pred=walk | ✗ | ent=0.372 conf=0.930 gap=0.910
[2026-05-11 23:50:31] #0336/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.096 conf=0.350 gap=0.000
[2026-05-11 23:51:34] #0337/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:51:45] #0338/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.181 conf=0.580 gap=0.300
[2026-05-11 23:51:58] #0339/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.947 conf=0.750 gap=0.630
[2026-05-11 23:52:32] #0340/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:52:32]   [340/747] acc=24% filt=272
[2026-05-11 23:53:02] #0341/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 23:53:39] #0342/00747 | true=stairs_down | pred=walk | ✗ | ent=1.050 conf=0.720 gap=0.620
[2026-05-11 23:53:54] #0343/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.751 conf=0.300 gap=0.050
[2026-05-11 23:54:33] #0344/00747 | true=stairs_down | pred=walk | ✗ | ent=0.526 conf=0.850 gap=0.770
[2026-05-11 23:54:53] #0345/00747 | true=stairs_down | pred=walk | ✗ | ent=0.691 conf=0.842 gap=0.792
[2026-05-11 23:55:25] #0346/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.032 conf=0.650 gap=0.400
[2026-05-11 23:55:41] #0347/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.062 conf=0.650 gap=0.450
[2026-05-11 23:56:44] #0348/00747 | true=stairs_down | pred=walk | ✗ | ent=1.187 conf=0.550 gap=0.250
[2026-05-11 23:56:55] #0349/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.138 conf=0.700 gap=0.600
[2026-05-11 23:57:03] #0350/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:57:29] #0351/00747 | true=stairs_down | pred=walk | ✗ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 23:57:35] #0352/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:57:43] #0353/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:57:50] #0354/00747 | true=stairs_down | pred=walk | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:58:44] #0355/00747 | true=stairs_down | pred=walk | ✗ | ent=0.694 conf=0.850 gap=0.810
[2026-05-11 23:59:01] #0356/00747 | true=stairs_down | pred=walk | ✗ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:00:00] #0357/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.211 conf=0.444 gap=0.167
[2026-05-12 00:00:29] #0358/00747 | true=stairs_down | pred=walk | ✗ | ent=1.712 conf=0.350 gap=0.100
[2026-05-12 00:00:58] #0359/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:01:12] #0360/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 00:01:12]   [360/747] acc=24% filt=289
[2026-05-12 00:01:46] #0361/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.197 conf=0.650 gap=0.500
[2026-05-12 00:02:10] #0362/00747 | true=stairs_down | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:02:18] #0363/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 00:02:34] #0364/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 00:03:01] #0365/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.118 conf=0.650 gap=0.450
[2026-05-12 00:04:20] #0366/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 00:04:30] #0367/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:05:26] #0368/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 00:05:46] #0369/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.226 conf=0.550 gap=0.250
[2026-05-12 00:06:17] #0370/00747 | true=stairs_down | pred=run | ✗ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 00:06:38] #0371/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.569 conf=0.350 gap=0.100
[2026-05-12 00:07:23] #0372/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.813 conf=0.700 gap=0.450
[2026-05-12 00:07:38] #0373/00747 | true=stairs_down | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:08:34] #0374/00747 | true=stairs_down | pred=walk | ✗ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 00:09:07] #0375/00747 | true=stairs_down | pred=walk | ✗ | ent=1.113 conf=0.700 gap=0.600
[2026-05-12 00:09:25] #0376/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.061 conf=0.700 gap=0.550
[2026-05-12 00:09:36] #0377/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 00:09:53] #0378/00747 | true=stairs_down | pred=walk | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 00:10:39] #0379/00747 | true=stairs_down | pred=walk | ✗ | ent=1.073 conf=0.700 gap=0.550
[2026-05-12 00:11:02] #0380/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.741 conf=0.300 gap=0.050
[2026-05-12 00:11:02]   [380/747] acc=24% filt=306
[2026-05-12 00:11:20] #0381/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:11:33] #0382/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:12:07] #0383/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.590 conf=0.350 gap=0.000
[2026-05-12 00:12:36] #0384/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 00:13:01] #0385/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 00:13:13] #0386/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.787 conf=0.667 gap=0.389
[2026-05-12 00:13:27] #0387/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:13:40] #0388/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:13:54] #0389/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:14:09] #0390/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:14:18] #0391/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:15:07] #0392/00747 | true=stairs_down | pred=walk | ✗ | ent=0.735 conf=0.833 gap=0.784
[2026-05-12 00:15:17] #0393/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:15:32] #0394/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.263 conf=0.400 gap=0.000
[2026-05-12 00:15:55] #0395/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.301 conf=0.550 gap=0.350
[2026-05-12 00:16:14] #0396/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.228 conf=0.450 gap=0.050
[2026-05-12 00:16:32] #0397/00747 | true=stairs_down | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 00:16:47] #0398/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:17:10] #0399/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:17:44] #0400/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:17:44]   [400/747] acc=24% filt=323
[2026-05-12 00:17:56] #0401/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:18:04] #0402/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 00:19:07] #0403/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:19:16] #0404/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.732 conf=0.250 gap=0.000
[2026-05-12 00:19:25] #0405/00747 | true=stairs_down | pred=walk | ✗ | ent=1.124 conf=0.700 gap=0.620
[2026-05-12 00:19:35] #0406/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.506 conf=0.400 gap=0.050
[2026-05-12 00:19:56] #0407/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.898 conf=0.550 gap=0.150
[2026-05-12 00:20:09] #0408/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:20:23] #0409/00747 | true=stairs_down | pred=walk | ✗ | ent=1.194 conf=0.400 gap=0.000
[2026-05-12 00:20:31] #0410/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.907 conf=0.250 gap=0.050
[2026-05-12 00:20:44] #0411/00747 | true=stairs_down | pred=walk | ✗ | ent=0.898 conf=0.780 gap=0.720
[2026-05-12 00:21:20] #0412/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:21:31] #0413/00747 | true=stairs_down | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 00:22:21] #0414/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:22:53] #0415/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:23:27] #0416/00747 | true=stairs_down | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:23:36] #0417/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:24:37] #0418/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 00:24:52] #0419/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:25:16] #0420/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:25:16]   [420/747] acc=24% filt=336
[2026-05-12 00:25:30] #0421/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:25:42] #0422/00747 | true=stairs_down | pred=walk | ✗ | ent=0.950 conf=0.600 gap=0.400
[2026-05-12 00:25:57] #0423/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 00:26:29] #0424/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:26:50] #0425/00747 | true=stairs_down | pred=shuffle | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:27:44] #0426/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
