[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 23:22:13] #0274/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.419 conf=0.898 gap=0.818
[2026-05-11 23:23:16] #0275/00747 | true=stairs_down | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 23:23:32] #0276/00747 | true=stairs_down | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:23:56] #0277/00747 | true=stairs_down | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:24:05] #0278/00747 | true=stairs_down | pred=walk | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:25:57] #0279/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.892 conf=0.750 gap=0.600
[2026-05-11 23:26:08] #0280/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 23:26:16] #0281/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:26:55] #0283/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:27:08] #0284/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.904 conf=0.600 gap=0.250
[2026-05-11 23:27:39] #0285/00747 | true=stairs_down | pred=walk | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-11 23:28:02] #0286/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-11 23:28:33] #0287/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:28:52] #0288/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.990 conf=0.550 gap=0.200
[2026-05-11 23:29:27] #0290/00747 | true=stairs_down | pred=walk | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-11 23:30:02] #0291/00747 | true=stairs_down | pred=walk | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 23:31:05] #0292/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:31:19] #0293/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:32:21] #0294/00747 | true=stairs_down | pred=run | ✗ | ent=0.481 conf=0.900 gap=0.870
[2026-05-11 23:32:47] #0296/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.381 conf=0.550 gap=0.400
[2026-05-11 23:33:04] #0297/00747 | true=stairs_down | pred=walk | ✗ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 23:33:11] #0298/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:33:27] #0299/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:34:03] #0300/00747 | true=stairs_down | pred=walk | ✗ | ent=0.902 conf=0.780 gap=0.700
[2026-05-11 23:34:18] #0301/00747 | true=stairs_down | pred=run | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:35:15] #0302/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 23:35:28] #0303/00747 | true=stairs_down | pred=walk | ✗ | ent=0.635 conf=0.850 gap=0.770
[2026-05-11 23:35:45] #0304/00747 | true=stairs_down | pred=walk | ✗ | ent=0.652 conf=0.850 gap=0.790
[2026-05-11 23:36:10] #0306/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 23:36:28] #0307/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.943 conf=0.750 gap=0.650
[2026-05-11 23:36:58] #0308/00747 | true=stairs_down | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 23:37:10] #0309/00747 | true=stairs_down | pred=walk | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:37:38] #0311/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.170 conf=0.650 gap=0.470
[2026-05-11 23:39:43] #0313/00747 | true=stairs_down | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:40:26] #0315/00747 | true=stairs_down | pred=walk | ✗ | ent=1.293 conf=0.650 gap=0.550
[2026-05-11 23:40:34] #0316/00747 | true=stairs_down | pred=run | ✗ | ent=0.526 conf=0.891 gap=0.842
[2026-05-11 23:40:46] #0317/00747 | true=stairs_down | pred=walk | ✗ | ent=0.924 conf=0.780 gap=0.730
[2026-05-11 23:41:32] #0319/00747 | true=stairs_down | pred=walk | ✗ | ent=0.289 conf=0.950 gap=0.940
[2026-05-11 23:41:45] #0320/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:42:07] #0321/00747 | true=stairs_down | pred=walk | ✗ | ent=1.267 conf=0.600 gap=0.450
[2026-05-11 23:42:37] #0322/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:45:18] #0328/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.650 gap=0.500
[2026-05-11 23:46:50] #0329/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 23:47:14] #0330/00747 | true=stairs_down | pred=walk | ✗ | ent=0.706 conf=0.780 gap=0.630
[2026-05-11 23:48:09] #0331/00747 | true=stairs_down | pred=walk | ✗ | ent=0.653 conf=0.850 gap=0.800
[2026-05-11 23:48:37] #0332/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:48:54] #0333/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.461 conf=0.900 gap=0.850
[2026-05-11 23:50:26] #0335/00747 | true=stairs_down | pred=walk | ✗ | ent=0.372 conf=0.930 gap=0.910
[2026-05-11 23:51:34] #0337/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:51:45] #0338/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.181 conf=0.580 gap=0.300
[2026-05-11 23:51:58] #0339/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.947 conf=0.750 gap=0.630
[2026-05-11 23:52:32] #0340/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:53:02] #0341/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 23:53:39] #0342/00747 | true=stairs_down | pred=walk | ✗ | ent=1.050 conf=0.720 gap=0.620
[2026-05-11 23:54:33] #0344/00747 | true=stairs_down | pred=walk | ✗ | ent=0.526 conf=0.850 gap=0.770
[2026-05-11 23:54:53] #0345/00747 | true=stairs_down | pred=walk | ✗ | ent=0.691 conf=0.842 gap=0.792
[2026-05-11 23:55:25] #0346/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.032 conf=0.650 gap=0.400
[2026-05-11 23:55:41] #0347/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.062 conf=0.650 gap=0.450
[2026-05-11 23:56:44] #0348/00747 | true=stairs_down | pred=walk | ✗ | ent=1.187 conf=0.550 gap=0.250
[2026-05-11 23:56:55] #0349/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.138 conf=0.700 gap=0.600
[2026-05-11 23:57:03] #0350/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:57:29] #0351/00747 | true=stairs_down | pred=walk | ✗ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 23:57:35] #0352/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:57:43] #0353/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:57:50] #0354/00747 | true=stairs_down | pred=walk | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:58:44] #0355/00747 | true=stairs_down | pred=walk | ✗ | ent=0.694 conf=0.850 gap=0.810
[2026-05-11 23:59:01] #0356/00747 | true=stairs_down | pred=walk | ✗ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 00:00:58] #0359/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:01:12] #0360/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 00:01:46] #0361/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.197 conf=0.650 gap=0.500
[2026-05-12 00:02:10] #0362/00747 | true=stairs_down | pred=run | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:02:18] #0363/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 00:03:01] #0365/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.118 conf=0.650 gap=0.450
[2026-05-12 00:04:20] #0366/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 00:04:30] #0367/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:05:26] #0368/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 00:05:46] #0369/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.226 conf=0.550 gap=0.250
[2026-05-12 00:06:17] #0370/00747 | true=stairs_down | pred=run | ✗ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 00:07:23] #0372/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.813 conf=0.700 gap=0.450
[2026-05-12 00:07:38] #0373/00747 | true=stairs_down | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:08:34] #0374/00747 | true=stairs_down | pred=walk | ✗ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 00:09:07] #0375/00747 | true=stairs_down | pred=walk | ✗ | ent=1.113 conf=0.700 gap=0.600
[2026-05-12 00:09:25] #0376/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.061 conf=0.700 gap=0.550
[2026-05-12 00:09:36] #0377/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 00:09:53] #0378/00747 | true=stairs_down | pred=walk | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 00:10:39] #0379/00747 | true=stairs_down | pred=walk | ✗ | ent=1.073 conf=0.700 gap=0.550
[2026-05-12 00:11:20] #0381/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:11:33] #0382/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 00:12:36] #0384/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 00:13:01] #0385/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 00:13:13] #0386/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.787 conf=0.667 gap=0.389
[2026-05-12 00:13:27] #0387/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:13:40] #0388/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:13:54] #0389/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:14:09] #0390/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:14:18] #0391/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 00:15:07] #0392/00747 | true=stairs_down | pred=walk | ✗ | ent=0.735 conf=0.833 gap=0.784
[2026-05-12 00:15:17] #0393/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:15:55] #0395/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.301 conf=0.550 gap=0.350
[2026-05-12 00:16:32] #0397/00747 | true=stairs_down | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 00:16:47] #0398/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:17:10] #0399/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:17:44] #0400/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:17:56] #0401/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:18:04] #0402/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 00:19:25] #0405/00747 | true=stairs_down | pred=walk | ✗ | ent=1.124 conf=0.700 gap=0.620
[2026-05-12 00:19:56] #0407/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.898 conf=0.550 gap=0.150
[2026-05-12 00:20:09] #0408/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 00:20:44] #0411/00747 | true=stairs_down | pred=walk | ✗ | ent=0.898 conf=0.780 gap=0.720
[2026-05-12 00:21:20] #0412/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:21:31] #0413/00747 | true=stairs_down | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 00:22:21] #0414/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:22:53] #0415/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 00:23:27] #0416/00747 | true=stairs_down | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:23:36] #0417/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:24:52] #0419/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:25:30] #0421/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:25:42] #0422/00747 | true=stairs_down | pred=walk | ✗ | ent=0.950 conf=0.600 gap=0.400
[2026-05-12 00:25:57] #0423/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-12 00:26:29] #0424/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:26:50] #0425/00747 | true=stairs_down | pred=shuffle | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:27:44] #0426/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 00:28:11] #0427/00747 | true=stairs_down | pred=walk | ✗ | ent=0.657 conf=0.816 gap=0.677
[2026-05-12 00:28:34] #0428/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:28:42] #0429/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 00:29:41] #0430/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 00:29:50] #0431/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:30:02] #0432/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.232 conf=0.550 gap=0.250
[2026-05-12 00:31:52] #0435/00747 | true=stairs_down | pred=walk | ✗ | ent=0.526 conf=0.850 gap=0.770
[2026-05-12 00:31:59] #0436/00747 | true=stairs_down | pred=walk | ✗ | ent=1.124 conf=0.700 gap=0.600
[2026-05-12 00:32:14] #0438/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 00:32:28] #0439/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 00:33:22] #0441/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.065 conf=0.700 gap=0.550
[2026-05-12 00:33:34] #0442/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:35:04] #0444/00747 | true=stairs_down | pred=walk | ✗ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 00:35:19] #0445/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 00:35:56] #0446/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.001 conf=0.600 gap=0.300
[2026-05-12 00:36:17] #0448/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.297 conf=0.550 gap=0.300
[2026-05-12 00:36:23] #0449/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 00:36:29] #0450/00747 | true=stairs_down | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 00:36:40] #0451/00747 | true=stairs_down | pred=walk | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:37:05] #0452/00747 | true=stairs_down | pred=walk | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 00:37:17] #0453/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:37:28] #0454/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:38:16] #0456/00747 | true=stairs_down | pred=walk | ✗ | ent=0.674 conf=0.850 gap=0.800
[2026-05-12 00:38:44] #0457/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:38:53] #0458/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:39:54] #0459/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 00:41:09] #0460/00747 | true=stairs_down | pred=walk | ✗ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 00:41:33] #0461/00747 | true=stairs_down | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 00:41:44] #0462/00747 | true=stairs_down | pred=walk | ✗ | ent=0.790 conf=0.800 gap=0.700
[2026-05-12 00:41:56] #0463/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.482 conf=0.850 gap=0.720
[2026-05-12 00:42:37] #0465/00747 | true=stairs_down | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:43:09] #0467/00747 | true=stairs_down | pred=walk | ✗ | ent=0.970 conf=0.750 gap=0.670
[2026-05-12 00:45:44] #0469/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 00:46:30] #0472/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:46:49] #0473/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 00:47:03] #0474/00747 | true=stairs_down | pred=walk | ✗ | ent=0.764 conf=0.820 gap=0.760
[2026-05-12 00:47:36] #0475/00747 | true=stairs_down | pred=walk | ✗ | ent=0.688 conf=0.850 gap=0.800
[2026-05-12 00:47:46] #0476/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.342 conf=0.550 gap=0.300
[2026-05-12 00:47:57] #0477/00747 | true=stairs_down | pred=walk | ✗ | ent=0.714 conf=0.842 gap=0.792
[2026-05-12 00:48:07] #0478/00747 | true=stairs_down | pred=run | ✗ | ent=0.563 conf=0.880 gap=0.840
[2026-05-12 00:48:34] #0479/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.650 gap=0.500
[2026-05-12 00:49:35] #0480/00747 | true=stairs_down | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 00:50:00] #0482/00747 | true=stairs_down | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 00:50:31] #0483/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.183 conf=0.700 gap=0.650
[2026-05-12 00:51:07] #0485/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 00:51:17] #0486/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 00:51:30] #0487/00747 | true=stairs_down | pred=walk | ✗ | ent=1.032 conf=0.750 gap=0.700
[2026-05-12 00:52:09] #0488/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.231 conf=0.550 gap=0.250
[2026-05-12 00:52:19] #0489/00747 | true=stairs_down | pred=walk | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 00:52:46] #0490/00747 | true=stairs_down | pred=walk | ✗ | ent=0.962 conf=0.750 gap=0.650
[2026-05-12 00:52:53] #0491/00747 | true=stairs_down | pred=walk | ✗ | ent=0.940 conf=0.750 gap=0.670
[2026-05-12 00:53:02] #0492/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-12 00:53:48] #0495/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:53:57] #0496/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 00:54:13] #0497/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:54:57] #0499/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.898 conf=0.550 gap=0.150
[2026-05-12 00:55:16] #0500/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.854 conf=0.580 gap=0.200
[2026-05-12 00:55:27] #0501/00747 | true=stairs_down | pred=walk | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:55:51] #0502/00747 | true=stairs_down | pred=walk | ✗ | ent=1.132 conf=0.700 gap=0.600
[2026-05-12 00:56:04] #0503/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:56:16] #0504/00747 | true=stairs_down | pred=walk | ✗ | ent=0.526 conf=0.850 gap=0.770
[2026-05-12 00:56:24] #0505/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:56:47] #0506/00747 | true=stairs_down | pred=walk | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 00:57:00] #0507/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.192 conf=0.600 gap=0.400
[2026-05-12 00:57:17] #0508/00747 | true=stairs_down | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 00:57:32] #0509/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.284 conf=0.650 gap=0.550
[2026-05-12 00:58:10] #0511/00747 | true=stairs_down | pred=walk | ✗ | ent=1.032 conf=0.750 gap=0.700
[2026-05-12 00:58:44] #0513/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:00:14] #0514/00747 | true=stairs_down | pred=walk | ✗ | ent=0.738 conf=0.833 gap=0.784
[2026-05-12 01:00:57] #0516/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 01:01:11] #0517/00747 | true=stairs_down | pred=walk | ✗ | ent=1.012 conf=0.750 gap=0.700
[2026-05-12 01:01:27] #0518/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:01:51] #0519/00747 | true=stairs_down | pred=walk | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:02:20] #0521/00747 | true=stairs_down | pred=walk | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:03:21] #0522/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:03:38] #0523/00747 | true=stairs_down | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:05:08] #0526/00747 | true=stairs_down | pred=walk | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 01:05:40] #0527/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.007 conf=0.650 gap=0.400
[2026-05-12 01:06:00] #0528/00747 | true=stairs_down | pred=walk | ✗ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 01:06:39] #0530/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:07:16] #0531/00747 | true=stairs_down | pred=walk | ✗ | ent=0.911 conf=0.758 gap=0.636
[2026-05-12 01:08:16] #0533/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:08:33] #0534/00747 | true=stairs_down | pred=walk | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:08:44] #0535/00747 | true=stairs_down | pred=walk | ✗ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 01:09:21] #0536/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.231 conf=0.650 gap=0.500
[2026-05-12 01:11:28] #0537/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:12:04] #0538/00747 | true=stairs_down | pred=walk | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:12:14] #0539/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-12 01:13:48] #0541/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:14:29] #0542/00747 | true=stairs_down | pred=walk | ✗ | ent=1.029 conf=0.750 gap=0.700
[2026-05-12 01:15:07] #0543/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.235 conf=0.550 gap=0.350
[2026-05-12 01:16:35] #0544/00747 | true=stairs_down | pred=shuffle | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:17:07] #0545/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:17:28] #0547/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 01:17:57] #0548/00747 | true=stairs_down | pred=walk | ✗ | ent=1.146 conf=0.650 gap=0.500
[2026-05-12 01:18:04] #0549/00747 | true=stairs_down | pred=walk | ✗ | ent=0.998 conf=0.750 gap=0.670
[2026-05-12 01:18:17] #0550/00747 | true=stairs_down | pred=walk | ✗ | ent=1.327 conf=0.550 gap=0.300
