[2026-05-11 21:51:29] HARTH class 2 (shuffle) T=0.8
[2026-05-11 21:51:29]   2770 windows
[2026-05-11 21:51:34] #0001/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:30:16] #0629/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:30:48] #0630/02770 | true=shuffle | pred=lying | ✗ | ent=1.259 conf=0.580 gap=0.380
[2026-05-12 01:31:15] #0631/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:31:18] #0632/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:31:30] #0633/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.462 conf=0.450 gap=0.150
[2026-05-12 01:31:53] #0634/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 01:32:12] #0635/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.203 conf=0.550 gap=0.250
[2026-05-12 01:32:21] #0636/02770 | true=shuffle | pred=walk | ✗ | ent=0.481 conf=0.900 gap=0.870
[2026-05-12 01:32:24] #0637/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:32:42] #0638/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:33:15] #0639/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:33:34] #0640/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:33:34]   [640/2770] acc=58% filt=473
[2026-05-12 01:34:37] #0641/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:35:03] #0642/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:35:13] #0643/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:35:25] #0644/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 01:36:07] #0645/02770 | true=shuffle | pred=walk | ✗ | ent=1.854 conf=0.300 gap=0.100
[2026-05-12 01:36:22] #0646/02770 | true=shuffle | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:36:43] #0647/02770 | true=shuffle | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 01:37:27] #0648/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:37:30] #0649/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 01:38:03] #0650/02770 | true=shuffle | pred=stand | ✗ | ent=0.852 conf=0.800 gap=0.730
[2026-05-12 01:38:47] #0651/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:39:11] #0652/02770 | true=shuffle | pred=stand | ✗ | ent=1.062 conf=0.700 gap=0.550
[2026-05-12 01:39:16] #0653/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:39:19] #0654/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:39:36] #0655/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.103 conf=0.700 gap=0.580
[2026-05-12 01:39:42] #0656/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 01:40:41] #0657/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.179 conf=0.650 gap=0.500
[2026-05-12 01:41:07] #0658/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 01:41:23] #0659/02770 | true=shuffle | pred=walk | ✗ | ent=1.583 conf=0.350 gap=0.100
[2026-05-12 01:41:33] #0660/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.524 conf=0.450 gap=0.170
[2026-05-12 01:41:33]   [660/2770] acc=58% filt=487
[2026-05-12 01:41:56] #0661/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 01:42:13] #0662/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 01:42:38] #0663/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.399 conf=0.350 gap=0.000
[2026-05-12 01:43:10] #0664/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:43:18] #0665/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:43:34] #0666/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:43:40] #0667/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:43:47] #0668/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:44:04] #0669/02770 | true=shuffle | pred=lying | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:44:08] #0670/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:44:11] #0671/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:44:29] #0672/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:45:00] #0673/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:46:13] #0674/02770 | true=shuffle | pred=walk | ✗ | ent=1.361 conf=0.450 gap=0.200
[2026-05-12 01:46:20] #0675/02770 | true=shuffle | pred=lying | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:46:28] #0676/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:47:04] #0677/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.228 conf=0.600 gap=0.400
[2026-05-12 01:47:18] #0678/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 01:48:00] #0679/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.868 conf=0.700 gap=0.460
[2026-05-12 01:48:23] #0680/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.231 conf=0.350 gap=0.000
[2026-05-12 01:48:23]   [680/2770] acc=58% filt=502
[2026-05-12 01:48:38] #0681/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.164 conf=0.680 gap=0.580
[2026-05-12 01:48:53] #0682/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.379 conf=0.450 gap=0.100
[2026-05-12 01:48:56] #0683/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 01:49:04] #0684/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.033 conf=0.670 gap=0.450
[2026-05-12 01:49:10] #0685/02770 | true=shuffle | pred=walk | ✗ | ent=0.712 conf=0.750 gap=0.550
[2026-05-12 01:50:20] #0686/02770 | true=shuffle | pred=stand | ✗ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 01:50:32] #0687/02770 | true=shuffle | pred=stand | ✗ | ent=0.254 conf=0.940 gap=0.890
[2026-05-12 01:50:36] #0688/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:51:04] #0689/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.173 conf=0.550 gap=0.250
[2026-05-12 01:51:19] #0690/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:51:35] #0691/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-12 01:51:56] #0692/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:51:59] #0693/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:52:09] #0694/02770 | true=shuffle | pred=stand | ✗ | ent=0.649 conf=0.850 gap=0.770
[2026-05-12 01:52:36] #0695/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:53:46] #0696/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.209 conf=0.450 gap=0.050
[2026-05-12 01:53:59] #0697/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 01:54:08] #0698/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.722 conf=0.780 gap=0.620
[2026-05-12 01:54:12] #0699/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.256 conf=0.450 gap=0.050
[2026-05-12 01:54:25] #0700/02770 | true=shuffle | pred=stand | ✗ | ent=0.979 conf=0.730 gap=0.580
[2026-05-12 01:54:25]   [700/2770] acc=58% filt=513
[2026-05-12 01:54:49] #0701/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.400 conf=0.450 gap=0.150
[2026-05-12 01:55:14] #0702/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 01:55:34] #0703/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:55:38] #0704/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:56:01] #0705/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 01:56:25] #0706/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.702 conf=0.850 gap=0.820
[2026-05-12 01:56:32] #0707/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:56:45] #0708/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:56:55] #0709/02770 | true=shuffle | pred=run | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 01:59:00] #0710/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:00:21] #0711/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:00:26] #0712/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.303 conf=0.590 gap=0.390
[2026-05-12 02:00:30] #0713/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:00:51] #0714/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 02:01:31] #0715/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:01:59] #0716/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:02:24] #0717/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.332 conf=0.400 gap=0.000
[2026-05-12 02:02:46] #0718/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.379 conf=0.450 gap=0.100
[2026-05-12 02:03:21] #0719/02770 | true=shuffle | pred=walk | ✗ | ent=1.577 conf=0.350 gap=0.100
[2026-05-12 02:03:45] #0720/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:03:45]   [720/2770] acc=58% filt=527
[2026-05-12 02:04:16] #0721/02770 | true=shuffle | pred=stand | ✗ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 02:04:42] #0722/02770 | true=shuffle | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 02:04:57] #0723/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:05:08] #0724/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:05:29] #0725/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:05:51] #0726/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:06:12] #0727/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:06:36] #0728/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:06:50] #0729/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:07:47] #0730/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.315 conf=0.600 gap=0.450
[2026-05-12 02:08:11] #0731/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 02:08:42] #0732/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:08:56] #0733/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 02:09:18] #0734/02770 | true=shuffle | pred=walk | ✗ | ent=0.557 conf=0.833 gap=0.722
[2026-05-12 02:09:24] #0735/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:09:28] #0736/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.607 conf=0.450 gap=0.300
[2026-05-12 02:09:41] #0737/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.275 conf=0.550 gap=0.300
[2026-05-12 02:09:52] #0738/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.182 conf=0.700 gap=0.650
[2026-05-12 02:10:07] #0739/02770 | true=shuffle | pred=walk | ✗ | ent=1.096 conf=0.700 gap=0.600
[2026-05-12 02:10:54] #0740/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 02:10:54]   [740/2770] acc=57% filt=543
[2026-05-12 02:11:32] #0741/02770 | true=shuffle | pred=stand | ✗ | ent=0.788 conf=0.700 gap=0.460
[2026-05-12 02:11:52] #0742/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 02:12:44] #0743/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:12:48] #0744/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:13:09] #0745/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:13:26] #0746/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.885 conf=0.720 gap=0.520
[2026-05-12 02:13:36] #0747/02770 | true=shuffle | pred=stand | ✗ | ent=0.841 conf=0.800 gap=0.730
[2026-05-12 02:13:50] #0748/02770 | true=shuffle | pred=lying | ✗ | ent=1.415 conf=0.400 gap=0.150
[2026-05-12 02:14:03] #0749/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-12 02:14:19] #0750/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.809 conf=0.820 gap=0.770
[2026-05-12 02:14:33] #0751/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.235 conf=0.550 gap=0.350
[2026-05-12 02:14:38] #0752/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:15:40] #0753/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 02:15:47] #0754/02770 | true=shuffle | pred=sit | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:16:27] #0755/02770 | true=shuffle | pred=walk | ✗ | ent=1.596 conf=0.350 gap=0.050
[2026-05-12 02:16:40] #0756/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.539 conf=0.450 gap=0.300
[2026-05-12 02:16:58] #0757/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:17:29] #0758/02770 | true=shuffle | pred=walk | ✗ | ent=1.649 conf=0.350 gap=0.100
[2026-05-12 02:17:49] #0759/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.243 conf=0.650 gap=0.550
[2026-05-12 02:18:04] #0760/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:18:04]   [760/2770] acc=58% filt=556
[2026-05-12 02:18:23] #0761/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.635 conf=0.850 gap=0.800
[2026-05-12 02:18:59] #0762/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:19:19] #0763/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:19:31] #0764/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:20:29] #0765/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:20:43] #0766/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:21:12] #0767/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:21:20] #0768/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:21:24] #0769/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:21:37] #0770/02770 | true=shuffle | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:22:04] #0771/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.417 conf=0.500 gap=0.250
[2026-05-12 02:22:28] #0772/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.579 conf=0.350 gap=0.000
[2026-05-12 02:22:48] #0773/02770 | true=shuffle | pred=walk | ✗ | ent=1.517 conf=0.400 gap=0.050
[2026-05-12 02:23:02] #0774/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-12 02:23:37] #0775/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.375 conf=0.350 gap=0.050
[2026-05-12 02:23:47] #0776/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.274 conf=0.650 gap=0.550
[2026-05-12 02:24:44] #0777/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:24:51] #0778/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:24:57] #0779/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:25:00] #0780/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:25:00]   [780/2770] acc=58% filt=569
[2026-05-12 02:25:05] #0781/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:25:36] #0782/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:25:47] #0783/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.672 conf=0.350 gap=0.050
[2026-05-12 02:26:02] #0784/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:26:20] #0785/02770 | true=shuffle | pred=stand | ✗ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 02:26:40] #0786/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 02:26:44] #0787/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.378 conf=0.550 gap=0.320
[2026-05-12 02:26:50] #0788/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:27:23] #0789/02770 | true=shuffle | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:27:30] #0790/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 02:27:35] #0791/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:27:40] #0792/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:27:59] #0793/02770 | true=shuffle | pred=stand | ✗ | ent=0.649 conf=0.850 gap=0.770
[2026-05-12 02:28:19] #0794/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.828 conf=0.250 gap=0.030
[2026-05-12 02:28:49] #0795/02770 | true=shuffle | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:29:58] #0796/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-12 02:30:11] #0797/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.543 conf=0.350 gap=0.050
[2026-05-12 02:30:19] #0798/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.014 conf=0.700 gap=0.520
[2026-05-12 02:30:59] #0799/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:31:25] #0800/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.304 conf=0.350 gap=0.000
[2026-05-12 02:31:25]   [800/2770] acc=58% filt=581
[2026-05-12 02:31:38] #0801/02770 | true=shuffle | pred=stand | ✗ | ent=0.940 conf=0.480 gap=0.030
[2026-05-12 02:31:53] #0802/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:32:01] #0803/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.194 conf=0.400 gap=0.000
[2026-05-12 02:32:04] #0804/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:32:31] #0805/02770 | true=shuffle | pred=stand | ✗ | ent=1.013 conf=0.700 gap=0.550
[2026-05-12 02:33:24] #0806/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 02:33:34] #0807/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 02:33:59] #0808/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:34:14] #0809/02770 | true=shuffle | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 02:34:32] #0810/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.359 conf=0.620 gap=0.540
[2026-05-12 02:34:42] #0811/02770 | true=shuffle | pred=stand | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:35:11] #0812/02770 | true=shuffle | pred=stand | ✗ | ent=0.742 conf=0.792 gap=0.644
[2026-05-12 02:35:20] #0813/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.280 conf=0.600 gap=0.400
[2026-05-12 02:35:51] #0814/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:35:53] #0815/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:35:59] #0816/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:36:29] #0817/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:36:40] #0818/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.765 conf=0.350 gap=0.150
[2026-05-12 02:37:49] #0819/02770 | true=shuffle | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:38:22] #0820/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:38:22]   [820/2770] acc=58% filt=597
[2026-05-12 02:38:25] #0821/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 02:38:38] #0822/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:38:41] #0823/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.825 conf=0.250 gap=0.000
[2026-05-12 02:38:54] #0824/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.338 conf=0.420 gap=0.020
[2026-05-12 02:39:09] #0825/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.474 conf=0.400 gap=0.050
[2026-05-12 02:39:23] #0826/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:39:39] #0827/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:40:16] #0828/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:40:34] #0829/02770 | true=shuffle | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:40:37] #0830/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 02:40:46] #0831/02770 | true=shuffle | pred=walk | ✗ | ent=1.012 conf=0.750 gap=0.700
[2026-05-12 02:40:54] #0832/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.228 conf=0.600 gap=0.400
[2026-05-12 02:40:58] #0833/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.375 conf=0.550 gap=0.350
[2026-05-12 02:41:09] #0834/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 02:41:33] #0835/02770 | true=shuffle | pred=stand | ✗ | ent=1.089 conf=0.400 gap=0.100
[2026-05-12 02:41:55] #0836/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 02:42:25] #0837/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.448 conf=0.550 gap=0.430
[2026-05-12 02:42:41] #0838/02770 | true=shuffle | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 02:42:49] #0839/02770 | true=shuffle | pred=stand | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 02:43:24] #0840/02770 | true=shuffle | pred=walk | ✗ | ent=0.631 conf=0.850 gap=0.770
[2026-05-12 02:43:24]   [840/2770] acc=58% filt=613
[2026-05-12 02:43:33] #0841/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.318 conf=0.400 gap=0.050
[2026-05-12 02:43:36] #0842/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:43:52] #0843/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:44:25] #0844/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
