[2026-05-11 21:51:38] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 23:55:33] #0393/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 23:55:36] #0394/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:55:58] #0395/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:56:26] #0396/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 23:56:39] #0397/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:56:42] #0398/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 23:57:53] #0399/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:58:07] #0400/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:58:43] #0401/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.723 conf=0.840 gap=0.790
[2026-05-11 23:59:02] #0402/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:00:02] #0403/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:00:18] #0404/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:01:16] #0405/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.124 conf=0.450 gap=0.000
[2026-05-12 00:01:24] #0406/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:01:36] #0407/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-12 00:02:05] #0408/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 00:02:13] #0409/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:02:17] #0410/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.937 conf=0.490 gap=0.030
[2026-05-12 00:06:24] #0420/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:08:16] #0423/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.711 conf=0.400 gap=0.200
[2026-05-12 00:08:23] #0424/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 00:08:31] #0425/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.672 conf=0.350 gap=0.050
[2026-05-12 00:08:43] #0426/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.759 conf=0.780 gap=0.630
[2026-05-12 00:11:59] #0430/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.373 conf=0.500 gap=0.250
[2026-05-12 00:12:06] #0431/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 00:14:30] #0436/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.736 conf=0.498 gap=0.002
[2026-05-12 00:15:38] #0439/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:16:19] #0441/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.124 conf=0.450 gap=0.000
[2026-05-12 00:17:14] #0442/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-12 00:17:56] #0444/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 00:18:04] #0445/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 00:18:17] #0446/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 00:19:15] #0449/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:19:27] #0450/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-12 00:20:23] #0452/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:20:26] #0453/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:20:41] #0454/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.593 conf=0.400 gap=0.200
[2026-05-12 00:20:54] #0455/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 00:21:39] #0457/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:21:49] #0458/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.858 conf=0.650 gap=0.350
[2026-05-12 00:22:25] #0459/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.796 conf=0.780 gap=0.640
[2026-05-12 00:22:28] #0460/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:22:49] #0461/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 00:22:52] #0462/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.469 conf=0.450 gap=0.150
[2026-05-12 00:23:23] #0463/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 00:24:23] #0466/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.627 conf=0.450 gap=0.300
[2026-05-12 00:25:36] #0470/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.064 conf=0.720 gap=0.640
[2026-05-12 00:26:56] #0472/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 00:27:56] #0473/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.745 conf=0.250 gap=0.000
[2026-05-12 00:28:50] #0475/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 00:29:01] #0476/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.517 conf=0.400 gap=0.050
[2026-05-12 00:29:52] #0477/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 00:29:57] #0478/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.793 conf=0.730 gap=0.510
[2026-05-12 00:31:01] #0480/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:32:09] #0481/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:32:12] #0482/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:33:06] #0485/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 00:33:09] #0486/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.388 conf=0.450 gap=0.130
[2026-05-12 00:33:37] #0488/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:34:07] #0489/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:34:11] #0490/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 00:34:20] #0491/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-12 00:34:27] #0492/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.195 conf=0.680 gap=0.580
[2026-05-12 00:36:42] #0496/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:37:07] #0497/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 00:37:22] #0498/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.928 conf=0.750 gap=0.630
[2026-05-12 00:37:40] #0499/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.630 conf=0.850 gap=0.770
[2026-05-12 00:38:36] #0500/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 00:39:14] #0503/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:39:54] #0505/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.211 conf=0.450 gap=0.030
[2026-05-12 00:41:47] #0507/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:41:51] #0508/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:41:54] #0509/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-12 00:42:26] #0511/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:43:47] #0514/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:45:15] #0517/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 00:47:56] #0518/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.065 conf=0.500 gap=0.100
[2026-05-12 00:48:13] #0519/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 00:48:33] #0520/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:48:47] #0521/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 00:50:11] #0524/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.293 conf=0.650 gap=0.550
[2026-05-12 00:51:10] #0528/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 00:52:09] #0530/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.528 conf=0.450 gap=0.180
[2026-05-12 00:53:51] #0532/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:54:15] #0533/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 00:54:22] #0534/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:54:48] #0535/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:55:04] #0537/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 00:57:11] #0540/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 00:58:10] #0543/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.760 conf=0.350 gap=0.150
[2026-05-12 00:59:18] #0545/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 00:59:28] #0546/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 00:59:32] #0547/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 01:00:30] #0548/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.445 conf=0.400 gap=0.020
[2026-05-12 01:02:40] #0551/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.515 conf=0.880 gap=0.810
[2026-05-12 01:02:47] #0552/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:03:58] #0555/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 01:04:03] #0556/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.470 conf=0.350 gap=0.100
[2026-05-12 01:04:32] #0558/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.204 conf=0.680 gap=0.580
[2026-05-12 01:04:34] #0559/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 01:04:37] #0560/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.358 conf=0.350 gap=0.100
[2026-05-12 01:06:47] #0566/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:07:48] #0569/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.627 conf=0.350 gap=0.050
[2026-05-12 01:08:20] #0570/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:08:44] #0571/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:09:20] #0573/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.977 conf=0.750 gap=0.650
[2026-05-12 01:09:33] #0574/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:09:47] #0575/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.742 conf=0.300 gap=0.100
[2026-05-12 01:10:32] #0577/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-12 01:10:49] #0578/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:11:12] #0579/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.859 conf=0.800 gap=0.750
[2026-05-12 01:12:04] #0582/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:12:20] #0583/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-12 01:12:33] #0584/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.753 conf=0.300 gap=0.100
[2026-05-12 01:12:37] #0585/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:13:04] #0586/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 01:13:08] #0587/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:13:34] #0588/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:13:56] #0589/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:14:24] #0590/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.624 conf=0.250 gap=0.000
[2026-05-12 01:14:41] #0591/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 01:14:58] #0592/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.482 conf=0.850 gap=0.720
[2026-05-12 01:15:02] #0593/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 01:16:09] #0596/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 01:18:12] #0602/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:18:59] #0604/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.450 gap=0.100
[2026-05-12 01:19:14] #0605/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:22:10] #0609/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:22:32] #0610/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:23:21] #0612/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:23:58] #0614/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.333 conf=0.550 gap=0.300
[2026-05-12 01:24:28] #0615/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.621 conf=0.850 gap=0.770
[2026-05-12 01:25:00] #0617/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.082 conf=0.550 gap=0.200
[2026-05-12 01:25:12] #0618/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.307 conf=0.500 gap=0.200
[2026-05-12 01:26:08] #0621/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:28:03] #0623/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.043 conf=0.700 gap=0.600
[2026-05-12 01:28:39] #0625/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:29:17] #0626/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 01:29:59] #0627/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 01:30:11] #0628/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.543 conf=0.880 gap=0.830
[2026-05-12 01:30:16] #0629/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:31:18] #0632/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:31:30] #0633/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.462 conf=0.450 gap=0.150
[2026-05-12 01:32:12] #0635/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.203 conf=0.550 gap=0.250
[2026-05-12 01:32:24] #0637/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:32:42] #0638/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:33:15] #0639/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:33:34] #0640/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:35:03] #0642/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:35:13] #0643/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:35:25] #0644/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 01:37:27] #0648/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:37:30] #0649/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 01:39:16] #0653/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:39:19] #0654/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:39:36] #0655/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.103 conf=0.700 gap=0.580
[2026-05-12 01:39:42] #0656/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 01:40:41] #0657/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.179 conf=0.650 gap=0.500
[2026-05-12 01:41:07] #0658/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 01:41:33] #0660/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.524 conf=0.450 gap=0.170
[2026-05-12 01:42:13] #0662/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 01:43:10] #0664/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:43:18] #0665/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:43:40] #0667/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:43:47] #0668/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:44:08] #0670/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:44:11] #0671/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:44:29] #0672/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:45:00] #0673/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:47:18] #0678/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 01:48:00] #0679/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.868 conf=0.700 gap=0.460
[2026-05-12 01:48:38] #0681/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.164 conf=0.680 gap=0.580
[2026-05-12 01:48:53] #0682/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.379 conf=0.450 gap=0.100
[2026-05-12 01:48:56] #0683/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 01:49:04] #0684/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.033 conf=0.670 gap=0.450
[2026-05-12 01:50:36] #0688/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:51:04] #0689/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.173 conf=0.550 gap=0.250
[2026-05-12 01:51:19] #0690/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:51:56] #0692/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:51:59] #0693/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:53:59] #0697/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 01:54:08] #0698/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.722 conf=0.780 gap=0.620
[2026-05-12 01:54:12] #0699/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.256 conf=0.450 gap=0.050
[2026-05-12 01:55:34] #0703/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 01:55:38] #0704/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:56:01] #0705/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 01:56:25] #0706/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.702 conf=0.850 gap=0.820
[2026-05-12 01:56:45] #0708/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:59:00] #0710/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:00:26] #0712/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.303 conf=0.590 gap=0.390
[2026-05-12 02:00:30] #0713/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:00:51] #0714/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 02:01:31] #0715/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:03:45] #0720/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:04:57] #0723/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:06:12] #0727/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:07:47] #0730/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.315 conf=0.600 gap=0.450
[2026-05-12 02:08:11] #0731/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 02:08:42] #0732/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:08:56] #0733/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 02:09:24] #0735/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:09:28] #0736/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.607 conf=0.450 gap=0.300
[2026-05-12 02:09:41] #0737/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.275 conf=0.550 gap=0.300
[2026-05-12 02:09:52] #0738/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.182 conf=0.700 gap=0.650
[2026-05-12 02:11:52] #0742/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 02:12:44] #0743/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:12:48] #0744/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:13:09] #0745/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:13:26] #0746/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.885 conf=0.720 gap=0.520
[2026-05-12 02:14:03] #0749/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-12 02:14:19] #0750/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.809 conf=0.820 gap=0.770
[2026-05-12 02:14:33] #0751/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.235 conf=0.550 gap=0.350
[2026-05-12 02:14:38] #0752/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:16:40] #0756/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.539 conf=0.450 gap=0.300
[2026-05-12 02:16:58] #0757/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:17:49] #0759/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.243 conf=0.650 gap=0.550
[2026-05-12 02:18:04] #0760/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:18:23] #0761/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.635 conf=0.850 gap=0.800
[2026-05-12 02:18:59] #0762/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:19:19] #0763/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:19:31] #0764/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
