=== MotionSense all ===


--- Class 0 ---
[2026-05-11 23:14:13] MotionSense class 0 (downstairs) T=0.8
[2026-05-11 23:14:13]   1395 windows
[2026-05-11 23:14:53] #0001/01395 | true=downstairs | pred=walking | ✗ | ent=1.361 conf=0.450 gap=0.200
[2026-05-12 02:55:17] #1171/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 02:56:12] #1172/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:56:16] #1173/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:56:19] #1174/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:56:21] #1175/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:56:33] #1176/03701 | true=sitting | pred=sitting | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 02:56:59] #1177/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:57:03] #1178/03701 | true=sitting | pred=sitting | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 02:57:13] #1179/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:57:23] #1180/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 02:57:23]   [1180/3701] acc=100% filt=1175
[2026-05-12 02:57:33] #1181/03701 | true=sitting | pred=sitting | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-12 02:57:52] #1182/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:58:12] #1183/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:58:20] #1184/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 02:58:30] #1185/03701 | true=sitting | pred=sitting | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:58:34] #1186/03701 | true=sitting | pred=sitting | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 02:58:56] #1187/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:58:59] #1188/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:59:26] #1189/03701 | true=sitting | pred=sitting | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-12 02:59:34] #1190/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:59:40] #1191/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:00:06] #1192/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:00:17] #1193/03701 | true=sitting | pred=sitting | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 03:00:26] #1194/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:00:30] #1195/03701 | true=sitting | pred=sitting | ✓ | ent=0.272 conf=0.950 gap=0.930
[2026-05-12 03:00:33] #1196/03701 | true=sitting | pred=sitting | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 03:00:36] #1197/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:00:41] #1198/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:00:47] #1199/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:00:53] #1200/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:00:53]   [1200/3701] acc=100% filt=1195
[2026-05-12 03:01:50] #1201/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 03:01:59] #1202/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:02:03] #1203/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:02:23] #1204/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:02:42] #1205/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:02:54] #1206/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:02:59] #1207/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:03:11] #1208/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:03:14] #1209/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:03:21] #1210/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:03:33] #1211/03701 | true=sitting | pred=sitting | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 03:04:01] #1212/03701 | true=sitting | pred=sitting | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-12 03:04:12] #1213/03701 | true=sitting | pred=sitting | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 03:04:21] #1214/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:04:43] #1215/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:04:47] #1216/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:04:50] #1217/03701 | true=sitting | pred=sitting | ✓ | ent=0.272 conf=0.950 gap=0.930
[2026-05-12 03:04:54] #1218/03701 | true=sitting | pred=sitting | ✓ | ent=0.543 conf=0.880 gap=0.830
[2026-05-12 03:04:57] #1219/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:05:07] #1220/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 03:05:07]   [1220/3701] acc=100% filt=1215
[2026-05-12 03:05:12] #1221/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:05:14] #1222/03701 | true=sitting | pred=sitting | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 03:05:17] #1223/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:06:09] #1224/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:06:13] #1225/03701 | true=sitting | pred=sitting | ✓ | ent=0.448 conf=0.900 gap=0.840
[2026-05-12 03:06:26] #1226/03701 | true=sitting | pred=sitting | ✓ | ent=0.738 conf=0.650 gap=0.320
[2026-05-12 03:06:46] #1227/03701 | true=sitting | pred=sitting | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 03:06:55] #1228/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:07:02] #1229/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:07:14] #1230/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:07:25] #1231/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:08:17] #1232/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:08:20] #1233/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:08:23] #1234/03701 | true=sitting | pred=sitting | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 03:08:35] #1235/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:08:44] #1236/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:09:02] #1237/03701 | true=sitting | pred=sitting | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 03:09:32] #1238/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:09:57] #1239/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:09:59] #1240/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:09:59]   [1240/3701] acc=100% filt=1235
[2026-05-12 03:10:03] #1241/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:10:15] #1242/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:10:18] #1243/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:10:23] #1244/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:10:34] #1245/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:10:36] #1246/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:10:40] #1247/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:10:44] #1248/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:10:48] #1249/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:10:59] #1250/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:11:11] #1251/03701 | true=sitting | pred=sitting | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 03:11:17] #1252/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:11:22] #1253/03701 | true=sitting | pred=sitting | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 03:11:31] #1254/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:11:33] #1255/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:11:43] #1256/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:12:03] #1257/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:12:32] #1258/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:12:36] #1259/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:12:47] #1260/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 03:12:47]   [1260/3701] acc=100% filt=1255
[2026-05-12 03:13:47] #1261/03701 | true=sitting | pred=sitting | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-12 03:14:00] #1262/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 03:14:04] #1263/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:14:07] #1264/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:14:45] #1265/03701 | true=sitting | pred=sitting | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 03:14:50] #1266/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:14:59] #1267/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:15:03] #1268/03701 | true=sitting | pred=sitting | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:15:06] #1269/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:15:09] #1270/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:15:13] #1271/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:15:32] #1272/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:15:44] #1273/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:15:59] #1274/03701 | true=sitting | pred=sitting | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-12 03:16:09] #1275/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:16:17] #1276/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:16:21] #1277/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:16:43] #1278/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:16:51] #1279/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:16:55] #1280/03701 | true=sitting | pred=sitting | ✓ | ent=0.621 conf=0.850 gap=0.770
[2026-05-12 03:16:55]   [1280/3701] acc=100% filt=1275
[2026-05-12 03:17:04] #1281/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:17:09] #1282/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:17:20] #1283/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:17:28] #1284/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:17:33] #1285/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:17:38] #1286/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:17:40] #1287/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:17:43] #1288/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:17:46] #1289/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:17:48] #1290/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:17:52] #1291/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:17:56] #1292/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:18:09] #1293/03701 | true=sitting | pred=sitting | ✓ | ent=0.237 conf=0.950 gap=0.910
[2026-05-12 03:18:13] #1294/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:18:22] #1295/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:18:50] #1296/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:18:59] #1297/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:19:20] #1298/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:19:23] #1299/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:19:42] #1300/03701 | true=sitting | pred=sitting | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:19:42]   [1300/3701] acc=100% filt=1295
[2026-05-12 03:19:45] #1301/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:19:48] #1302/03701 | true=sitting | pred=sitting | ✓ | ent=0.277 conf=0.950 gap=0.941
[2026-05-12 03:19:52] #1303/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:19:55] #1304/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:20:17] #1305/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:20:20] #1306/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:20:30] #1307/03701 | true=sitting | pred=sitting | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 03:20:34] #1308/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:20:39] #1309/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:21:00] #1310/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:21:03] #1311/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:21:24] #1312/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:21:28] #1313/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:21:38] #1314/03701 | true=sitting | pred=sitting | ✓ | ent=0.227 conf=0.940 gap=0.880
[2026-05-12 03:22:05] #1315/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:22:08] #1316/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:22:12] #1317/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:22:22] #1318/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 03:22:26] #1319/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:22:28] #1320/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:22:28]   [1320/3701] acc=100% filt=1315
[2026-05-12 03:22:31] #1321/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:22:34] #1322/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:22:39] #1323/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:22:59] #1324/03701 | true=sitting | pred=sitting | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 03:23:03] #1325/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:23:12] #1326/03701 | true=sitting | pred=sitting | ✓ | ent=0.237 conf=0.950 gap=0.910
[2026-05-12 03:23:23] #1327/03701 | true=sitting | pred=sitting | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-12 03:23:27] #1328/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:23:30] #1329/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:23:33] #1330/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:23:37] #1331/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:23:40] #1332/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:23:51] #1333/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:23:55] #1334/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:23:59] #1335/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:24:02] #1336/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:24:06] #1337/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:24:10] #1338/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:24:21] #1339/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:24:42] #1340/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:24:42]   [1340/3701] acc=100% filt=1335
[2026-05-12 03:24:46] #1341/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:24:57] #1342/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:25:23] #1343/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:25:33] #1344/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:25:37] #1345/03701 | true=sitting | pred=sitting | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:25:39] #1346/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:25:41] #1347/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:25:44] #1348/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:25:48] #1349/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:26:07] #1350/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:26:10] #1351/03701 | true=sitting | pred=sitting | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 03:26:12] #1352/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:26:16] #1353/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:26:27] #1354/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:26:53] #1355/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:26:56] #1356/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:27:06] #1357/03701 | true=sitting | pred=sitting | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:27:08] #1358/03701 | true=sitting | pred=sitting | ✓ | ent=0.448 conf=0.900 gap=0.840
[2026-05-12 03:27:12] #1359/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:27:22] #1360/03701 | true=sitting | pred=sitting | ✓ | ent=0.474 conf=0.890 gap=0.820
[2026-05-12 03:27:22]   [1360/3701] acc=100% filt=1355
[2026-05-12 03:27:26] #1361/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:27:46] #1362/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:27:55] #1363/03701 | true=sitting | pred=sitting | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 03:27:59] #1364/03701 | true=sitting | pred=sitting | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:28:29] #1365/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.985 gap=0.977
[2026-05-12 03:28:37] #1366/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:28:56] #1367/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:29:00] #1368/03701 | true=sitting | pred=sitting | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 03:29:05] #1369/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:29:09] #1370/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:29:35] #1371/03701 | true=sitting | pred=sitting | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 03:30:07] #1372/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:30:18] #1373/03701 | true=sitting | pred=sitting | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 03:30:21] #1374/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:30:24] #1375/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:30:27] #1376/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:30:41] #1377/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 03:31:09] #1378/03701 | true=sitting | pred=sitting | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 03:31:13] #1379/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:31:15] #1380/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:31:15]   [1380/3701] acc=100% filt=1375
[2026-05-12 03:31:21] #1381/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:31:25] #1382/03701 | true=sitting | pred=sitting | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-12 03:31:45] #1383/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:32:13] #1384/03701 | true=sitting | pred=sitting | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 03:32:15] #1385/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:33:11] #1386/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:33:14] #1387/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:33:40] #1388/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:33:59] #1389/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:34:09] #1390/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:34:20] #1391/03701 | true=sitting | pred=sitting | ✓ | ent=0.168 conf=0.960 gap=0.920
