[2026-05-12 10:27:49] PAMAP2 class 2 (standing) start T=0.8
[2026-05-12 10:27:49]   1989 windows
[2026-05-12 10:28:04] #0001/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 13:15:02] #0502/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 13:15:21] #0503/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 13:15:29] #0504/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 13:15:38] #0505/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 13:15:46] #0506/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:16:05] #0507/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 13:16:14] #0508/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 13:16:56] #0509/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.907 conf=0.650 gap=0.400
[2026-05-12 13:17:34] #0510/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=1.083 conf=0.600 gap=0.350
[2026-05-12 13:17:54] #0511/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.069 conf=0.550 gap=0.250
[2026-05-12 13:18:03] #0512/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.598 conf=0.850 gap=0.780
[2026-05-12 13:18:13] #0513/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.975 conf=0.700 gap=0.550
[2026-05-12 13:18:36] #0514/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 13:18:54] #0515/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 13:19:04] #0516/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 13:19:15] #0517/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 13:19:27] #0518/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 13:19:41] #0519/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:19:50] #0520/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.875 conf=0.750 gap=0.630
[2026-05-12 13:19:50]   [520/1989] acc=385/520=74% filt=504
[2026-05-12 13:20:00] #0521/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 13:20:12] #0522/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 13:20:39] #0523/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.735 conf=0.750 gap=0.550
[2026-05-12 13:20:49] #0524/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 13:21:03] #0525/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 13:21:36] #0526/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 13:21:47] #0527/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 13:21:57] #0528/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 13:22:06] #0529/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 13:22:17] #0530/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:22:29] #0531/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 13:22:31] #0532/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 13:22:42] #0533/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:23:05] #0534/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.475 conf=0.890 gap=0.830
[2026-05-12 13:23:25] #0535/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 13:23:54] #0536/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 13:24:34] #0537/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.261 conf=0.550 gap=0.350
[2026-05-12 13:24:43] #0538/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 13:24:53] #0539/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 13:25:05] #0540/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:25:05]   [540/1989] acc=400/540=74% filt=524
[2026-05-12 13:25:14] #0541/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 13:25:27] #0542/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:25:55] #0543/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 13:26:07] #0544/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 13:26:30] #0545/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.800
[2026-05-12 13:26:54] #0546/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 13:27:19] #0547/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 13:27:31] #0548/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 13:27:36] #0549/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 13:27:45] #0550/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 13:28:01] #0551/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 13:28:15] #0552/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.537 conf=0.870 gap=0.800
[2026-05-12 13:28:25] #0553/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:28:36] #0554/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 13:28:46] #0555/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:28:57] #0556/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:29:11] #0557/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 13:29:21] #0558/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 13:29:32] #0559/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:29:41] #0560/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 13:29:41]   [560/1989] acc=417/560=74% filt=544
[2026-05-12 13:30:00] #0561/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:30:10] #0562/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:30:21] #0563/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 13:30:31] #0564/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:31:00] #0565/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:31:13] #0566/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.519 conf=0.880 gap=0.830
[2026-05-12 13:31:22] #0567/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 13:31:32] #0568/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 13:31:43] #0569/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:31:53] #0570/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 13:32:03] #0571/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 13:32:14] #0572/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.743 conf=0.800 gap=0.700
[2026-05-12 13:32:36] #0573/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.543 conf=0.850 gap=0.750
[2026-05-12 13:32:46] #0574/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 13:32:57] #0575/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 13:33:06] #0576/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:33:09] #0577/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 13:34:12] #0578/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:34:23] #0579/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:34:36] #0580/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.781 conf=0.780 gap=0.660
[2026-05-12 13:34:36]   [580/1989] acc=435/580=75% filt=564
[2026-05-12 13:34:50] #0581/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 13:35:20] #0582/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 13:35:32] #0583/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.379 conf=0.920 gap=0.890
[2026-05-12 13:35:44] #0584/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.006 conf=0.700 gap=0.580
[2026-05-12 13:35:55] #0585/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 13:36:08] #0586/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.705 conf=0.800 gap=0.670
[2026-05-12 13:36:21] #0587/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 13:36:50] #0588/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 13:36:59] #0589/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 13:37:12] #0590/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 13:38:04] #0591/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 13:38:15] #0592/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 13:38:29] #0593/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 13:39:16] #0594/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.156 conf=0.450 gap=0.050
[2026-05-12 13:39:27] #0595/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 13:39:42] #0596/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:39:53] #0597/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.046 conf=0.500 gap=0.100
[2026-05-12 13:40:18] #0598/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.990 conf=0.550 gap=0.200
[2026-05-12 13:40:36] #0599/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 13:40:46] #0600/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.001 conf=0.600 gap=0.300
[2026-05-12 13:40:46]   [600/1989] acc=452/600=75% filt=582
[2026-05-12 13:41:15] #0601/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 13:41:38] #0602/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 13:41:47] #0603/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:41:58] #0604/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 13:42:09] #0605/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:42:17] #0606/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 13:42:57] #0607/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 13:43:18] #0608/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 13:43:41] #0609/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 13:44:05] #0610/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.597 conf=0.850 gap=0.770
[2026-05-12 13:44:29] #0611/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 13:44:42] #0612/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.689 conf=0.820 gap=0.740
[2026-05-12 13:45:01] #0613/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 13:45:12] #0614/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 13:45:35] #0615/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.673 conf=0.780 gap=0.600
[2026-05-12 13:45:52] #0616/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:46:05] #0617/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 13:46:15] #0618/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.750 conf=0.800 gap=0.720
[2026-05-12 13:46:28] #0619/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.140 conf=0.420 gap=0.020
[2026-05-12 13:46:38] #0620/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:46:38]   [620/1989] acc=467/620=75% filt=601
[2026-05-12 13:47:03] #0621/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 13:47:16] #0622/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.709 conf=0.820 gap=0.750
[2026-05-12 13:47:45] #0623/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.709 conf=0.820 gap=0.750
[2026-05-12 13:47:54] #0624/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 13:48:03] #0625/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.706 conf=0.780 gap=0.630
[2026-05-12 13:48:44] #0626/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 13:48:56] #0627/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 13:49:10] #0628/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 13:49:21] #0629/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 13:49:58] #0630/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 13:50:16] #0631/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 13:50:40] #0632/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 13:51:05] #0633/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-12 13:51:14] #0634/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 13:51:30] #0635/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 13:51:56] #0636/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 13:52:07] #0637/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 13:52:19] #0638/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 13:52:22] #0639/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 13:52:32] #0640/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.783 conf=0.770 gap=0.670
[2026-05-12 13:52:32]   [640/1989] acc=481/640=75% filt=621
[2026-05-12 13:52:44] #0641/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:53:08] #0642/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 13:53:20] #0643/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 13:53:45] #0644/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 13:54:09] #0645/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 13:54:30] #0646/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 13:54:42] #0647/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 13:54:53] #0648/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.701 conf=0.820 gap=0.750
[2026-05-12 13:55:01] #0649/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 13:55:20] #0650/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 13:55:36] #0651/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:56:00] #0652/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 13:56:08] #0653/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.835 conf=0.750 gap=0.600
[2026-05-12 13:56:21] #0654/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 13:56:44] #0655/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.033 conf=0.650 gap=0.500
[2026-05-12 13:57:03] #0656/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 13:57:42] #0657/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.046 conf=0.500 gap=0.100
[2026-05-12 13:57:53] #0658/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 13:58:00] #0659/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 13:58:15] #0660/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.226 conf=0.450 gap=0.150
[2026-05-12 13:58:15]   [660/1989] acc=492/660=75% filt=639
[2026-05-12 13:58:24] #0661/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:58:31] #0662/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 13:58:44] #0663/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 13:58:56] #0664/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 13:59:06] #0665/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 13:59:18] #0666/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.688 conf=0.800 gap=0.680
[2026-05-12 14:00:22] #0667/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 14:00:36] #0668/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 14:00:47] #0669/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 14:01:03] #0670/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 14:01:19] #0671/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.010 conf=0.450 gap=0.050
[2026-05-12 14:01:23] #0672/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:01:33] #0673/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 14:01:45] #0674/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 14:01:58] #0675/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 14:02:15] #0676/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 14:02:28] #0677/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 14:02:43] #0678/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 14:02:56] #0679/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 14:03:09] #0680/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.067 conf=0.600 gap=0.350
[2026-05-12 14:03:09]   [680/1989] acc=511/680=75% filt=658
[2026-05-12 14:03:50] #0681/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 14:04:02] #0682/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 14:04:16] #0683/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 14:04:36] #0684/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.533 conf=0.880 gap=0.850
[2026-05-12 14:05:04] #0685/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 14:05:25] #0686/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 14:05:40] #0687/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 14:05:54] #0688/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 14:06:22] #0689/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.627 conf=0.850 gap=0.800
[2026-05-12 14:06:31] #0690/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 14:06:46] #0691/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:07:15] #0692/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 14:07:35] #0693/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 14:08:02] #0694/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.537 conf=0.870 gap=0.800
[2026-05-12 14:08:15] #0695/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 14:08:46] #0696/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 14:09:10] #0697/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.626 conf=0.810 gap=0.660
[2026-05-12 14:09:45] #0698/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.684 conf=0.700 gap=0.420
[2026-05-12 14:10:13] #0699/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:10:27] #0700/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 14:10:27]   [700/1989] acc=524/700=75% filt=678
[2026-05-12 14:11:05] #0701/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.367 conf=0.880 gap=0.760
[2026-05-12 14:11:17] #0702/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 14:11:21] #0703/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 14:11:46] #0704/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.419 conf=0.900 gap=0.830
[2026-05-12 14:11:59] #0705/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 14:12:10] #0706/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 14:12:21] #0707/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.688 conf=0.800 gap=0.680
[2026-05-12 14:12:45] #0708/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.426 conf=0.910 gap=0.880
