[2026-05-11 21:52:16] #0001/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:12] #6618/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:15] #6619/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:22] #6620/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:27] #6621/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:31] #6622/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:37] #6623/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:41] #6624/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:45] #6625/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:49] #6626/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:54] #6627/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:16:58] #6628/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:17:08] #6629/31737 | true=sit | pred=sit | ✓ | ent=0.049 conf=0.993 gap=0.990
[2026-05-12 14:17:28] #6630/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:17:40] #6631/31737 | true=sit | pred=stand | ✗ | ent=0.608 conf=0.860 gap=0.780
[2026-05-12 14:17:44] #6632/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:17:48] #6633/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:17:53] #6634/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:17:57] #6635/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:02] #6636/31737 | true=sit | pred=sit | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 14:18:11] #6637/31737 | true=sit | pred=sit | ✓ | ent=0.016 conf=0.998 gap=0.997
[2026-05-12 14:18:14] #6638/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:17] #6639/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:44] #6640/31737 | true=sit | pred=sit | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 14:18:47] #6641/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:51] #6642/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:54] #6643/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:18:58] #6644/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:03] #6645/31737 | true=sit | pred=sit | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:19:07] #6646/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:17] #6647/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:21] #6648/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:26] #6649/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:35] #6650/31737 | true=sit | pred=sit | ✓ | ent=0.042 conf=0.994 gap=0.990
[2026-05-12 14:19:40] #6651/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:55] #6652/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:19:58] #6653/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:01] #6654/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:08] #6655/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:11] #6656/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:15] #6657/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:19] #6658/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:27] #6659/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:32] #6660/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:35] #6661/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:39] #6662/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:41] #6663/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:53] #6664/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:20:58] #6665/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:00] #6666/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:10] #6667/31737 | true=sit | pred=sit | ✓ | ent=0.062 conf=0.992 gap=0.990
[2026-05-12 14:21:15] #6668/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:22] #6669/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 14:21:29] #6670/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:21:36] #6671/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:38] #6672/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:41] #6673/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:21:49] #6674/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:09] #6675/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:14] #6676/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:20] #6677/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:24] #6678/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:31] #6679/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:41] #6680/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 14:22:48] #6681/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:22:51] #6682/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:23:12] #6683/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:23:15] #6684/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:23:18] #6685/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:23:28] #6686/31737 | true=sit | pred=sit | ✓ | ent=0.177 conf=0.970 gap=0.958
[2026-05-12 14:23:35] #6687/31737 | true=sit | pred=sit | ✓ | ent=0.055 conf=0.993 gap=0.992
[2026-05-12 14:23:38] #6688/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:23:43] #6689/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:23:55] #6690/31737 | true=sit | pred=sit | ✓ | ent=0.075 conf=0.988 gap=0.980
[2026-05-12 14:24:15] #6691/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:24:20] #6692/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:24:25] #6693/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:24:31] #6694/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:24:33] #6695/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:24:54] #6696/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:24:57] #6697/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:04] #6698/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:12] #6699/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:17] #6700/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:22] #6701/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:27] #6702/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:29] #6703/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:40] #6704/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:43] #6705/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:49] #6706/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:25:58] #6707/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 14:26:06] #6708/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:26:14] #6709/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:26:21] #6710/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:25] #6711/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:29] #6712/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:36] #6713/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:39] #6714/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:44] #6715/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:46] #6716/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:26:53] #6717/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:26:57] #6718/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:27:01] #6719/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:27:06] #6720/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:27:10] #6721/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:27:15] #6722/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:27:18] #6723/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:27:27] #6724/31737 | true=sit | pred=sit | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 14:27:37] #6725/31737 | true=sit | pred=sit | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 14:27:39] #6726/31737 | true=sit | pred=sit | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 14:27:46] #6727/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:27:57] #6728/31737 | true=sit | pred=sit | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 14:28:01] #6729/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:05] #6730/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:09] #6731/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:12] #6732/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:15] #6733/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:22] #6734/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:26] #6735/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:30] #6736/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:35] #6737/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:39] #6738/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:42] #6739/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:28:49] #6740/31737 | true=sit | pred=sit | ✓ | ent=0.220 conf=0.965 gap=0.960
[2026-05-12 14:29:03] #6741/31737 | true=sit | pred=stairs_down | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 14:29:07] #6742/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:11] #6743/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:14] #6744/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:22] #6745/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:25] #6746/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:28] #6747/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:33] #6748/31737 | true=sit | pred=sit | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:29:39] #6749/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:42] #6750/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:47] #6751/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:51] #6752/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:29:56] #6753/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:30:04] #6754/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:08] #6755/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:12] #6756/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:17] #6757/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:20] #6758/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:23] #6759/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:34] #6760/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:43] #6761/31737 | true=sit | pred=sit | ✓ | ent=0.103 conf=0.984 gap=0.974
[2026-05-12 14:30:46] #6762/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:52] #6763/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:55] #6764/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:30:59] #6765/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:23] #6766/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:29] #6767/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:34] #6768/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:45] #6769/31737 | true=sit | pred=sit | ✓ | ent=0.063 conf=0.990 gap=0.985
[2026-05-12 14:31:52] #6770/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:55] #6771/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:31:59] #6772/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:07] #6773/31737 | true=sit | pred=sit | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 14:32:14] #6774/31737 | true=sit | pred=sit | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 14:32:20] #6775/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:23] #6776/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:29] #6777/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:33] #6778/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:32:37] #6779/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:46] #6780/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:32:51] #6781/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:32:59] #6782/31737 | true=sit | pred=sit | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 14:33:03] #6783/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:08] #6784/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:13] #6785/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:21] #6786/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:29] #6787/31737 | true=sit | pred=sit | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 14:33:33] #6788/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:38] #6789/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:42] #6790/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:49] #6791/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:33:54] #6792/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:02] #6793/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:07] #6794/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:10] #6795/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:18] #6796/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:34:27] #6797/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:32] #6798/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:37] #6799/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:40] #6800/31737 | true=sit | pred=sit | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:34:42] #6801/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:46] #6802/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:34:49] #6803/31737 | true=sit | pred=sit | ✓ | ent=0.008 conf=0.999 gap=0.998
[2026-05-12 14:35:11] #6804/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:19] #6805/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:24] #6806/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:33] #6807/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:38] #6808/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:48] #6809/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:52] #6810/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:35:56] #6811/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:02] #6812/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:06] #6813/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:11] #6814/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:15] #6815/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:18] #6816/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:30] #6817/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:41] #6818/31737 | true=sit | pred=sit | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 14:36:45] #6819/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:48] #6820/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:36:51] #6821/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:00] #6822/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:06] #6823/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:08] #6824/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:12] #6825/31737 | true=sit | pred=sit | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 14:37:18] #6826/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:21] #6827/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:26] #6828/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:41] #6829/31737 | true=sit | pred=sit | ✓ | ent=0.109 conf=0.980 gap=0.965
[2026-05-12 14:37:48] #6830/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:37:54] #6831/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:37:58] #6832/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:01] #6833/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:04] #6834/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:10] #6835/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:14] #6836/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:19] #6837/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:25] #6838/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:48] #6839/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:52] #6840/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:38:56] #6841/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:17] #6842/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:21] #6843/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:26] #6844/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:30] #6845/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:34] #6846/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:38] #6847/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:39:58] #6848/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:40:05] #6849/31737 | true=sit | pred=sit | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 14:40:11] #6850/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:40:16] #6851/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 14:40:26] #6852/31737 | true=sit | pred=sit | ✓ | ent=0.055 conf=0.993 gap=0.992
[2026-05-12 14:40:31] #6853/31737 | true=sit | pred=sit | ✓ | ent=0.000 conf=1.000 gap=1.000
